symbol,date,time,open,high,low,close,volume
ACC,2016-08-25,15:30:00,1651.00,1666.10,1641.10,1650.00,192518
ACC,2016-08-26,15:30:00,1648.20,1663.40,1622.75,1637.95,132820
ACC,2016-08-29,15:30:00,1638.00,1641.85,1623.45,1634.50,118427
ACC,2016-08-30,15:30:00,1640.50,1695.00,1640.05,1692.20,293777
ACC,2016-08-31,15:30:00,1688.60,1725.00,1688.60,1713.95,612017
ACC,2016-09-01,15:30:00,1668.00,1699.00,1668.00,1690.00,460835
ACC,2016-09-02,15:30:00,1690.30,1696.00,1665.40,1667.00,233411
ACC,2016-09-06,15:30:00,1685.00,1708.25,1673.50,1696.25,283811
ACC,2016-09-07,15:30:00,1701.00,1706.80,1682.10,1696.00,246479
ACC,2016-09-08,15:30:00,1687.20,1715.00,1683.55,1691.20,261065
ACC,2016-09-09,15:30:00,1693.00,1693.00,1651.20,1659.10,287571
ACC,2016-09-12,15:30:00,1640.00,1640.00,1570.25,1584.00,256445
ACC,2016-09-14,15:30:00,1584.00,1626.90,1582.65,1621.40,282022
ACC,2016-09-15,15:30:00,1615.05,1623.85,1592.70,1623.85,226222
ACC,2016-09-16,15:30:00,1625.00,1639.90,1613.40,1626.35,250388
ACC,2016-09-19,15:30:00,1636.00,1658.00,1632.15,1647.10,256936
ACC,2016-09-20,15:30:00,1652.00,1656.30,1625.50,1629.00,276332
ACC,2016-09-21,15:30:00,1631.50,1645.75,1625.05,1625.30,205138
ACC,2016-09-22,15:30:00,1644.00,1671.00,1640.00,1667.00,314131
ACC,2016-09-23,15:30:00,1672.00,1672.00,1610.70,1613.25,268908
ACC,2016-09-26,15:30:00,1608.20,1618.50,1593.40,1610.00,244376
ACC,2016-09-27,15:30:00,1612.30,1624.00,1604.00,1608.00,148821
ACC,2016-09-28,15:30:00,1605.00,1623.00,1603.00,1613.25,123374
ACC,2016-09-29,15:30:00,1620.00,1627.40,1577.35,1601.00,718082
ACC,2016-09-30,15:30:00,1576.25,1611.85,1576.25,1611.85,155560
ACC,2016-10-03,15:30:00,1615.00,1639.00,1605.00,1633.60,151874
ACC,2016-10-04,15:30:00,1633.70,1643.40,1622.00,1635.55,354672
ACC,2016-10-05,15:30:00,1640.00,1647.90,1622.50,1633.20,264589
ACC,2016-10-06,15:30:00,1642.00,1653.00,1619.20,1625.10,252352
