symbol,date,time,open,high,low,close,volume
ADANIPORTS,2015-10-28,15:30:00,309.00,310.75,298.25,301.20,6552757
ADANIPORTS,2015-10-29,15:30:00,300.85,303.35,298.15,300.10,4435704
ADANIPORTS,2015-10-30,15:30:00,301.80,302.75,294.35,295.50,3247944
ADANIPORTS,2015-11-02,15:30:00,293.10,302.70,290.10,295.20,7004865
ADANIPORTS,2015-11-03,15:30:00,298.35,301.50,290.30,291.25,3207025
ADANIPORTS,2015-11-04,15:30:00,293.45,295.20,287.55,289.20,2575040
ADANIPORTS,2015-11-05,15:30:00,289.20,292.95,283.00,283.80,2305175
ADANIPORTS,2015-11-06,15:30:00,284.50,287.90,281.30,285.00,2510273
ADANIPORTS,2015-11-09,19:00:00,277.95,283.50,274.40,276.15,5642736
ADANIPORTS,2015-11-10,15:30:00,276.00,276.60,262.45,266.00,5013279
ADANIPORTS,2015-11-11,19:05:00,266.95,268.95,266.40,267.70,255406
ADANIPORTS,2015-11-13,15:30:00,266.50,268.95,261.60,267.80,4675141
ADANIPORTS,2015-11-16,15:30:00,267.00,273.25,266.60,272.65,2383616
ADANIPORTS,2015-11-17,15:30:00,275.80,276.40,269.55,270.25,2545418
ADANIPORTS,2015-11-18,15:30:00,270.40,272.40,265.70,267.05,2005924
ADANIPORTS,2015-11-19,15:30:00,268.15,271.50,265.35,271.30,2036037
ADANIPORTS,2015-11-20,15:30:00,268.10,273.50,268.10,270.30,3352666
ADANIPORTS,2015-11-23,15:30:00,274.40,278.90,273.40,275.90,3246402
ADANIPORTS,2015-11-24,15:30:00,276.50,277.00,269.50,270.25,2730094
ADANIPORTS,2015-11-26,15:30:00,271.50,272.50,267.05,268.20,5489324
ADANIPORTS,2015-11-27,15:30:00,269.00,271.70,267.55,267.60,3022945
ADANIPORTS,2015-11-30,15:30:00,268.50,269.20,264.25,268.00,4828780
ADANIPORTS,2015-12-01,15:30:00,269.00,269.35,261.10,263.00,5104457
ADANIPORTS,2015-12-02,15:30:00,263.70,265.80,260.05,260.20,3928835
ADANIPORTS,2015-12-03,15:30:00,259.95,262.95,256.85,256.85,5427457
ADANIPORTS,2015-12-04,15:30:00,255.00,257.90,254.55,255.80,3911817
ADANIPORTS,2015-12-07,15:30:00,257.85,258.90,254.50,255.15,2699537
ADANIPORTS,2015-12-08,15:30:00,255.00,255.00,250.05,250.05,2741462
ADANIPORTS,2015-12-09,15:30:00,249.00,251.30,243.65,243.85,4226145
ADANIPORTS,2015-12-10,15:30:00,245.10,249.45,242.15,245.95,4531790
ADANIPORTS,2015-12-11,15:30:00,247.95,250.40,238.75,241.30,3975604
ADANIPORTS,2015-12-14,15:30:00,239.80,255.50,239.15,254.90,4625481
ADANIPORTS,2015-12-15,15:30:00,256.60,257.40,251.10,251.60,3908369
