symbol,date,time,open,high,low,close,volume
AMBUJACEM,2016-08-09,15:30:00,277.00,277.00,267.70,269.50,2564563
AMBUJACEM,2016-08-10,15:30:00,271.20,271.20,259.00,259.50,3625493
AMBUJACEM,2016-08-11,15:30:00,263.00,264.00,256.25,259.55,3841083
AMBUJACEM,2016-08-12,15:30:00,260.45,265.50,260.45,263.55,1527202
AMBUJACEM,2016-08-16,15:30:00,265.25,270.45,263.20,269.50,7699939
AMBUJACEM,2016-08-17,15:30:00,268.00,271.95,264.90,271.00,1319046
AMBUJACEM,2016-08-18,15:30:00,272.25,274.85,269.65,271.75,1825211
AMBUJACEM,2016-08-19,15:30:00,272.75,277.60,272.00,276.05,2054831
AMBUJACEM,2016-08-22,15:30:00,275.35,277.35,270.00,270.00,1097012
AMBUJACEM,2016-08-23,15:30:00,269.80,273.95,265.40,271.90,1487494
AMBUJACEM,2016-08-24,15:30:00,270.80,270.95,265.00,266.10,1248576
AMBUJACEM,2016-08-25,15:30:00,267.60,270.50,262.55,265.25,5272138
AMBUJACEM,2016-08-26,15:30:00,265.00,268.90,262.20,265.95,1427315
AMBUJACEM,2016-08-29,15:30:00,265.00,265.90,262.45,265.00,804577
AMBUJACEM,2016-08-30,15:30:00,265.80,278.40,264.80,274.70,3635226
AMBUJACEM,2016-08-31,15:30:00,275.05,281.70,275.00,281.70,8488820
AMBUJACEM,2016-09-01,15:30:00,273.70,278.85,272.40,278.00,3369272
AMBUJACEM,2016-09-02,15:30:00,275.10,278.75,273.35,276.20,1481785
AMBUJACEM,2016-09-06,15:30:00,279.00,279.35,275.70,277.05,1601423
AMBUJACEM,2016-09-07,15:30:00,277.50,278.85,273.20,274.60,3232463
AMBUJACEM,2016-09-08,15:30:00,274.05,278.00,273.65,275.10,2096981
AMBUJACEM,2016-09-09,15:30:00,275.50,276.10,271.50,273.35,1727563
AMBUJACEM,2016-09-12,15:30:00,269.10,269.85,259.00,260.00,1068330
AMBUJACEM,2016-09-14,15:30:00,260.00,266.00,260.00,264.45,2426881
AMBUJACEM,2016-09-15,15:30:00,263.20,264.80,257.60,261.75,1956420
AMBUJACEM,2016-09-16,15:30:00,262.75,266.95,261.55,263.25,2048885
AMBUJACEM,2016-09-19,15:30:00,263.50,268.60,262.75,268.10,1626067
AMBUJACEM,2016-09-20,15:30:00,267.35,269.30,264.55,267.85,1718370
AMBUJACEM,2016-09-21,15:30:00,267.10,269.30,263.00,264.00,1487530
AMBUJACEM,2016-09-22,15:30:00,266.60,268.60,263.60,265.25,1727116
AMBUJACEM,2016-09-23,15:30:00,266.00,266.00,258.15,258.20,2209059
AMBUJACEM,2016-09-26,15:30:00,256.40,257.70,253.45,255.45,2197248
AMBUJACEM,2016-09-27,15:30:00,254.85,261.40,252.30,257.80,3217108
AMBUJACEM,2016-09-28,15:30:00,256.80,262.00,256.80,259.65,1300572
AMBUJACEM,2016-09-29,15:30:00,263.00,263.00,253.35,255.80,3691665
AMBUJACEM,2016-09-30,15:30:00,255.80,255.80,249.55,251.70,2507938
AMBUJACEM,2016-10-03,15:30:00,253.40,259.50,253.00,258.75,1887091
AMBUJACEM,2016-10-04,15:30:00,261.00,261.00,254.35,255.65,1959624
AMBUJACEM,2016-10-05,15:30:00,257.00,257.75,253.05,256.20,2378894
AMBUJACEM,2016-10-06,15:30:00,258.05,258.80,250.25,253.00,2156677
AMBUJACEM,2016-10-07,15:30:00,252.00,254.00,249.25,253.60,944786
AMBUJACEM,2016-10-10,15:30:00,254.00,258.30,253.55,256.20,2052030
AMBUJACEM,2016-10-13,15:30:00,255.00,255.65,250.30,252.00,1326731
AMBUJACEM,2016-10-14,15:30:00,252.50,254.95,251.75,252.95,741714
AMBUJACEM,2016-10-17,15:30:00,253.20,253.75,245.10,245.25,1089984
AMBUJACEM,2016-10-18,15:30:00,246.20,252.30,244.10,250.85,2689051
AMBUJACEM,2016-10-19,15:30:00,251.50,253.70,249.00,250.70,1045041
AMBUJACEM,2016-10-20,15:30:00,252.40,255.30,251.10,252.70,2187759
AMBUJACEM,2016-10-21,15:30:00,252.05,253.90,245.10,247.00,1340192
