symbol,date,time,open,high,low,close,volume
ASIANPAINT,2016-08-09,15:30:00,1153.60,1154.95,1134.00,1143.90,541100
ASIANPAINT,2016-08-10,15:30:00,1142.10,1148.45,1128.10,1132.00,788849
ASIANPAINT,2016-08-11,15:30:00,1130.00,1147.50,1118.60,1146.00,651399
ASIANPAINT,2016-08-12,15:30:00,1143.00,1161.25,1125.40,1137.10,795382
ASIANPAINT,2016-08-16,15:30:00,1135.50,1147.80,1126.90,1129.80,921462
ASIANPAINT,2016-08-17,15:30:00,1115.00,1127.70,1108.15,1114.90,742834
ASIANPAINT,2016-08-18,15:30:00,1119.75,1119.75,1102.55,1105.10,1263890
ASIANPAINT,2016-08-19,15:30:00,1101.35,1126.90,1101.35,1115.70,864966
ASIANPAINT,2016-08-22,15:30:00,1121.00,1121.00,1105.00,1113.15,827995
ASIANPAINT,2016-08-23,15:30:00,1112.70,1129.65,1108.15,1129.05,684493
ASIANPAINT,2016-08-24,15:30:00,1130.00,1130.20,1115.60,1120.55,417969
ASIANPAINT,2016-08-25,15:30:00,1120.10,1126.50,1102.80,1105.20,554850
ASIANPAINT,2016-08-26,15:30:00,1106.25,1127.55,1091.05,1123.00,869672
ASIANPAINT,2016-08-29,15:30:00,1123.30,1124.65,1104.15,1108.55,452947
ASIANPAINT,2016-08-30,15:30:00,1115.00,1148.00,1110.00,1145.20,674826
ASIANPAINT,2016-08-31,15:30:00,1157.00,1173.90,1149.00,1160.00,1668417
ASIANPAINT,2016-09-01,15:30:00,1159.85,1164.05,1142.00,1160.95,621894
ASIANPAINT,2016-09-02,15:30:00,1158.95,1172.00,1151.30,1164.55,710106
ASIANPAINT,2016-09-06,15:30:00,1175.00,1213.90,1170.60,1212.00,1131704
ASIANPAINT,2016-09-07,15:30:00,1208.00,1209.00,1170.70,1178.50,1092266
ASIANPAINT,2016-09-08,15:30:00,1179.00,1190.00,1171.00,1180.00,888245
ASIANPAINT,2016-09-09,15:30:00,1181.90,1181.90,1168.00,1168.20,575102
ASIANPAINT,2016-09-12,15:30:00,1156.35,1163.00,1137.00,1155.00,465079
ASIANPAINT,2016-09-14,15:30:00,1150.10,1178.95,1150.10,1165.00,704633
ASIANPAINT,2016-09-15,15:30:00,1170.00,1175.50,1160.00,1173.70,616127
ASIANPAINT,2016-09-16,15:30:00,1173.60,1181.25,1152.00,1157.00,1136226
ASIANPAINT,2016-09-19,15:30:00,1157.20,1172.00,1157.20,1161.00,550698
ASIANPAINT,2016-09-20,15:30:00,1164.00,1173.70,1162.60,1163.30,966451
ASIANPAINT,2016-09-21,15:30:00,1165.90,1176.00,1165.90,1170.00,615798
ASIANPAINT,2016-09-22,15:30:00,1182.30,1197.00,1175.00,1189.00,913747
ASIANPAINT,2016-09-23,15:30:00,1201.00,1203.50,1185.00,1192.00,668223
ASIANPAINT,2016-09-26,15:30:00,1195.00,1195.00,1174.90,1181.50,817715
ASIANPAINT,2016-09-27,15:30:00,1184.20,1203.00,1184.20,1195.90,532323
ASIANPAINT,2016-09-28,15:30:00,1193.00,1201.00,1188.10,1193.50,566690
ASIANPAINT,2016-09-29,15:30:00,1194.35,1203.35,1160.00,1185.00,1125599
ASIANPAINT,2016-09-30,15:30:00,1167.00,1179.95,1156.00,1160.00,478253
ASIANPAINT,2016-10-03,15:30:00,1170.00,1199.00,1165.40,1197.00,747111
ASIANPAINT,2016-10-04,15:30:00,1202.00,1203.00,1179.40,1184.75,503642
ASIANPAINT,2016-10-05,15:30:00,1188.00,1224.00,1185.00,1206.25,1080751
ASIANPAINT,2016-10-06,15:30:00,1210.10,1222.40,1201.70,1210.00,746006
ASIANPAINT,2016-10-07,15:30:00,1208.00,1210.00,1180.80,1183.00,873434
ASIANPAINT,2016-10-10,15:30:00,1189.00,1219.00,1189.00,1211.00,570180
ASIANPAINT,2016-10-13,15:30:00,1227.00,1227.30,1208.85,1214.00,1391322
ASIANPAINT,2016-10-14,15:30:00,1216.10,1220.00,1202.25,1205.00,354200
ASIANPAINT,2016-10-17,15:30:00,1208.10,1208.40,1178.50,1185.00,365921
ASIANPAINT,2016-10-18,15:30:00,1186.40,1193.35,1165.55,1175.00,1339044
ASIANPAINT,2016-10-19,15:30:00,1180.00,1184.15,1163.25,1171.20,1201677
ASIANPAINT,2016-10-20,15:30:00,1175.00,1177.00,1163.25,1165.25,448785
ASIANPAINT,2016-10-21,15:30:00,1172.90,1172.90,1144.40,1153.70,948987
