symbol,date,time,open,high,low,close,volume
BAJAJ-AUTO,2015-10-28,15:30:00,2580.10,2585.00,2558.30,2568.50,317563
BAJAJ-AUTO,2015-10-29,15:30:00,2572.00,2600.00,2562.65,2570.20,395616
BAJAJ-AUTO,2015-10-30,15:30:00,2575.10,2583.00,2539.95,2547.25,167715
BAJAJ-AUTO,2015-11-02,15:30:00,2542.00,2575.00,2392.00,2431.00,535525
BAJAJ-AUTO,2015-11-03,15:30:00,2444.95,2450.15,2411.10,2419.90,192324
BAJAJ-AUTO,2015-11-04,15:30:00,2435.00,2474.00,2435.00,2445.25,261171
BAJAJ-AUTO,2015-11-05,15:30:00,2449.95,2468.25,2405.30,2414.00,201885
BAJAJ-AUTO,2015-11-06,15:30:00,2411.10,2448.85,2411.10,2430.00,178321
BAJAJ-AUTO,2015-11-09,19:00:00,2394.80,2430.00,2382.55,2410.10,157878
BAJAJ-AUTO,2015-11-10,15:30:00,2401.00,2475.00,2381.65,2452.55,273391
BAJAJ-AUTO,2015-11-11,19:05:00,2465.20,2472.00,2432.70,2450.00,30457
BAJAJ-AUTO,2015-11-13,15:30:00,2440.00,2470.00,2367.05,2372.00,255389
BAJAJ-AUTO,2015-11-16,15:30:00,2374.00,2408.85,2344.15,2372.00,285955
BAJAJ-AUTO,2015-11-17,15:30:00,2384.00,2417.80,2355.00,2363.10,254396
BAJAJ-AUTO,2015-11-18,15:30:00,2369.00,2384.25,2336.50,2358.20,245945
BAJAJ-AUTO,2015-11-19,15:30:00,2361.00,2442.10,2361.00,2424.60,289124
BAJAJ-AUTO,2015-11-20,15:30:00,2427.95,2510.00,2425.25,2468.10,378408
BAJAJ-AUTO,2015-11-23,15:30:00,2481.00,2529.00,2481.00,2521.15,545369
BAJAJ-AUTO,2015-11-24,15:30:00,2515.00,2544.90,2471.00,2477.00,325768
BAJAJ-AUTO,2015-11-26,15:30:00,2494.80,2522.80,2405.00,2440.00,393155
BAJAJ-AUTO,2015-11-27,15:30:00,2433.05,2462.80,2425.10,2451.90,170413
BAJAJ-AUTO,2015-11-30,15:30:00,2458.00,2515.00,2452.00,2480.50,565457
BAJAJ-AUTO,2015-12-01,15:30:00,2490.00,2500.00,2460.00,2461.00,153290
BAJAJ-AUTO,2015-12-02,15:30:00,2470.00,2515.00,2426.35,2490.00,401153
BAJAJ-AUTO,2015-12-03,15:30:00,2499.00,2506.95,2473.75,2477.25,246228
BAJAJ-AUTO,2015-12-04,15:30:00,2455.20,2489.45,2455.20,2460.30,187184
BAJAJ-AUTO,2015-12-07,15:30:00,2471.05,2485.00,2442.10,2445.00,187375
BAJAJ-AUTO,2015-12-08,15:30:00,2440.50,2484.00,2430.00,2456.05,186909
BAJAJ-AUTO,2015-12-09,15:30:00,2463.00,2471.60,2383.25,2389.60,206433
BAJAJ-AUTO,2015-12-10,15:30:00,2391.60,2451.95,2391.60,2450.30,194126
BAJAJ-AUTO,2015-12-11,15:30:00,2454.70,2454.70,2404.95,2420.00,189746
BAJAJ-AUTO,2015-12-14,15:30:00,2412.00,2428.00,2375.10,2415.00,184395
BAJAJ-AUTO,2015-12-15,15:30:00,2409.10,2445.05,2391.00,2435.00,166399
BAJAJ-AUTO,2015-12-16,15:30:00,2462.00,2464.00,2430.00,2460.30,153649
BAJAJ-AUTO,2015-12-17,15:30:00,2460.00,2541.70,2455.60,2525.00,275504
BAJAJ-AUTO,2015-12-18,15:30:00,2490.25,2503.00,2460.00,2471.20,452519
BAJAJ-AUTO,2015-12-21,15:30:00,2489.00,2507.00,2472.85,2488.00,176689
BAJAJ-AUTO,2015-12-22,15:30:00,2489.95,2499.50,2470.00,2479.00,167772
BAJAJ-AUTO,2015-12-23,15:30:00,2494.90,2502.95,2468.20,2468.20,252059
BAJAJ-AUTO,2015-12-24,15:30:00,2496.90,2496.90,2467.65,2484.35,100232
BAJAJ-AUTO,2015-12-28,15:30:00,2483.00,2499.00,2483.00,2493.60,151653
BAJAJ-AUTO,2015-12-29,15:30:00,2496.00,2535.95,2496.00,2535.00,215967
BAJAJ-AUTO,2015-12-30,15:30:00,2540.00,2545.00,2510.00,2517.00,207046
BAJAJ-AUTO,2015-12-31,15:30:00,2515.00,2546.10,2504.00,2541.00,243382
BAJAJ-AUTO,2016-01-01,15:30:00,2530.10,2530.10,2511.00,2517.00,70853
BAJAJ-AUTO,2016-01-04,15:30:00,2490.00,2547.60,2475.45,2484.70,190056
BAJAJ-AUTO,2016-01-05,15:30:00,2500.00,2523.35,2491.45,2504.00,192154
