symbol,date,time,open,high,low,close,volume
BANKBARODA,2016-08-25,15:30:00,163.95,164.80,161.40,162.35,10027674
BANKBARODA,2016-08-26,15:30:00,161.75,163.20,157.60,158.50,5393070
BANKBARODA,2016-08-29,15:30:00,158.40,160.70,157.10,160.40,4125681
BANKBARODA,2016-08-30,15:30:00,161.00,164.75,160.55,164.40,6148036
BANKBARODA,2016-08-31,15:30:00,164.50,165.70,161.90,162.15,8047620
BANKBARODA,2016-09-01,15:30:00,163.50,164.25,160.60,161.70,6466506
BANKBARODA,2016-09-02,15:30:00,161.70,166.90,161.15,166.40,8185748
BANKBARODA,2016-09-06,15:30:00,168.00,170.90,167.60,169.45,9021719
BANKBARODA,2016-09-07,15:30:00,171.25,177.65,170.50,175.10,16469703
BANKBARODA,2016-09-08,15:30:00,175.50,177.45,173.30,174.60,6806480
BANKBARODA,2016-09-09,15:30:00,174.60,174.85,171.25,171.95,7304893
BANKBARODA,2016-09-12,15:30:00,167.95,167.95,161.15,162.10,8733499
BANKBARODA,2016-09-14,15:30:00,162.00,168.70,161.75,168.55,7533651
BANKBARODA,2016-09-15,15:30:00,168.35,168.90,164.15,166.65,5395997
BANKBARODA,2016-09-16,15:30:00,168.25,171.35,164.15,164.80,11408056
BANKBARODA,2016-09-19,15:30:00,166.95,167.90,165.40,166.30,3003890
BANKBARODA,2016-09-20,15:30:00,167.15,168.35,165.35,165.95,3272265
BANKBARODA,2016-09-21,15:30:00,166.25,168.30,163.90,164.00,4207634
BANKBARODA,2016-09-22,15:30:00,167.10,170.00,166.65,169.60,5591092
BANKBARODA,2016-09-23,15:30:00,169.95,172.40,168.20,169.10,6444029
BANKBARODA,2016-09-26,15:30:00,168.50,169.40,165.50,165.65,5315511
BANKBARODA,2016-09-27,15:30:00,167.15,167.70,163.55,164.10,3742387
BANKBARODA,2016-09-28,15:30:00,163.90,169.70,163.50,168.20,6284089
BANKBARODA,2016-09-29,15:30:00,169.50,170.90,159.55,162.55,11281815
BANKBARODA,2016-09-30,15:30:00,160.50,168.20,160.05,167.70,7164669
BANKBARODA,2016-10-03,15:30:00,168.10,170.60,167.75,168.70,5528006
BANKBARODA,2016-10-04,15:30:00,169.50,171.40,165.65,170.70,16698890
BANKBARODA,2016-10-05,15:30:00,172.50,173.20,168.50,168.75,11698120
BANKBARODA,2016-10-06,15:30:00,169.95,169.95,163.50,164.55,6697536
