symbol,date,time,open,high,low,close,volume
BHEL,2016-08-25,15:30:00,136.50,142.00,136.30,141.20,13325383
BHEL,2016-08-26,15:30:00,140.00,142.20,138.00,139.00,4432756
BHEL,2016-08-29,15:30:00,139.25,141.50,137.65,140.60,3901041
BHEL,2016-08-30,15:30:00,140.50,142.25,139.15,140.70,4345174
BHEL,2016-08-31,15:30:00,140.10,141.65,138.15,138.55,4848650
BHEL,2016-09-01,15:30:00,139.10,139.95,134.60,135.10,5065992
BHEL,2016-09-02,15:30:00,134.25,136.90,134.25,135.70,4706381
BHEL,2016-09-06,15:30:00,137.00,138.90,137.00,137.95,3761711
BHEL,2016-09-07,15:30:00,137.95,161.55,134.05,159.90,79287107
BHEL,2016-09-08,15:30:00,158.45,162.90,153.55,156.20,40482042
BHEL,2016-09-09,15:30:00,155.05,156.90,153.00,153.55,12309772
BHEL,2016-09-12,15:30:00,150.50,153.85,146.25,147.60,11723587
BHEL,2016-09-14,15:30:00,148.00,149.45,144.70,146.40,10833513
BHEL,2016-09-15,15:30:00,147.40,151.45,145.35,150.30,16496905
BHEL,2016-09-16,15:30:00,152.95,153.30,145.60,146.90,13625503
BHEL,2016-09-19,15:30:00,146.90,149.40,146.55,146.75,6780450
BHEL,2016-09-20,15:30:00,147.50,148.30,145.25,145.25,10277767
BHEL,2016-09-21,15:30:00,148.00,148.00,143.55,144.35,7132314
BHEL,2016-09-22,15:30:00,146.50,147.80,145.60,146.85,6075695
BHEL,2016-09-23,15:30:00,147.50,150.70,145.60,146.10,13606551
BHEL,2016-09-26,15:30:00,146.00,146.75,142.30,142.45,8015791
BHEL,2016-09-27,15:30:00,143.70,143.95,140.50,141.25,5911208
BHEL,2016-09-28,15:30:00,141.95,144.70,140.80,143.85,5655891
BHEL,2016-09-29,15:30:00,144.80,145.30,129.60,133.50,17649238
BHEL,2016-09-30,15:30:00,133.00,135.35,131.90,134.75,7896315
BHEL,2016-10-03,15:30:00,136.60,137.90,135.30,137.25,5971271
BHEL,2016-10-04,15:30:00,139.00,139.10,136.70,138.00,4890091
BHEL,2016-10-05,15:30:00,138.30,138.90,135.70,136.55,5046364
BHEL,2016-10-06,15:30:00,137.65,140.00,135.80,136.05,9079770
