symbol,date,time,open,high,low,close,volume
BPCL,2016-08-25,15:30:00,587.00,600.00,581.10,595.60,5646779
BPCL,2016-08-26,15:30:00,597.90,601.95,593.10,594.70,3074469
BPCL,2016-08-29,15:30:00,596.95,601.80,593.90,597.50,2451442
BPCL,2016-08-30,15:30:00,602.80,611.35,601.50,607.50,2978395
BPCL,2016-08-31,15:30:00,609.00,609.95,597.60,601.05,9920847
BPCL,2016-09-01,15:30:00,600.30,606.95,583.50,588.45,3724608
BPCL,2016-09-02,15:30:00,590.00,591.00,581.30,586.05,2598224
BPCL,2016-09-06,15:30:00,592.50,599.90,588.75,598.55,2275751
BPCL,2016-09-07,15:30:00,599.90,599.95,587.05,590.00,1646553
BPCL,2016-09-08,15:30:00,590.00,593.05,584.45,587.10,2110088
BPCL,2016-09-09,15:30:00,587.10,595.00,585.05,586.50,1825706
BPCL,2016-09-12,15:30:00,580.35,585.60,563.10,566.00,2745541
BPCL,2016-09-14,15:30:00,571.60,578.50,566.40,575.20,2397330
BPCL,2016-09-15,15:30:00,579.80,579.80,565.40,568.00,1934028
BPCL,2016-09-16,15:30:00,575.00,581.90,569.10,580.00,11505994
BPCL,2016-09-19,15:30:00,581.00,587.60,579.85,585.65,2150046
BPCL,2016-09-20,15:30:00,587.00,589.95,582.80,585.00,2093194
BPCL,2016-09-21,15:30:00,590.00,595.40,580.15,585.50,1773718
BPCL,2016-09-22,15:30:00,593.00,600.50,588.70,597.80,2585088
BPCL,2016-09-23,15:30:00,601.30,608.15,600.60,603.20,2083872
BPCL,2016-09-26,15:30:00,605.00,624.90,595.30,623.00,3162720
BPCL,2016-09-27,15:30:00,628.20,628.60,608.40,612.50,2788078
BPCL,2016-09-28,15:30:00,612.00,619.75,609.45,615.70,1387151
BPCL,2016-09-29,15:30:00,615.70,622.85,600.40,612.05,4478599
BPCL,2016-09-30,15:30:00,605.00,618.70,604.00,613.60,1758366
BPCL,2016-10-03,15:30:00,616.00,630.50,615.00,628.50,1837223
BPCL,2016-10-04,15:30:00,628.25,639.00,628.05,637.65,1619606
BPCL,2016-10-05,15:30:00,637.70,652.05,627.00,649.10,1679388
BPCL,2016-10-06,15:30:00,653.70,683.60,652.00,673.00,3359114
