symbol,date,time,open,high,low,close,volume
CIPLA,2015-10-28,15:30:00,682.25,702.25,675.80,701.95,1537365
CIPLA,2015-10-29,15:30:00,699.00,704.90,689.50,692.75,2975896
CIPLA,2015-10-30,15:30:00,699.00,703.90,688.05,689.10,1885373
CIPLA,2015-11-02,15:30:00,688.95,688.95,674.40,678.55,766804
CIPLA,2015-11-03,15:30:00,686.05,686.05,671.10,677.40,1048233
CIPLA,2015-11-04,15:30:00,680.00,680.95,668.10,671.05,1321427
CIPLA,2015-11-05,15:30:00,675.00,675.40,655.20,655.20,1833741
CIPLA,2015-11-06,15:30:00,655.00,672.70,651.00,656.50,1715887
CIPLA,2015-11-09,19:00:00,644.10,649.70,638.60,649.00,1192556
CIPLA,2015-11-10,15:30:00,647.00,648.50,637.50,638.85,1166182
CIPLA,2015-11-11,19:05:00,644.80,645.60,639.10,644.30,200797
CIPLA,2015-11-13,15:30:00,635.00,635.95,615.10,616.45,2193410
CIPLA,2015-11-16,15:30:00,617.85,631.15,613.15,626.00,1127051
CIPLA,2015-11-17,15:30:00,628.95,638.90,628.00,635.40,808720
CIPLA,2015-11-18,15:30:00,634.80,642.00,627.40,631.80,1026565
CIPLA,2015-11-19,15:30:00,635.00,637.40,629.85,636.05,523990
CIPLA,2015-11-20,15:30:00,635.90,648.90,631.10,647.55,1070873
CIPLA,2015-11-23,15:30:00,647.60,648.00,633.50,641.10,878175
CIPLA,2015-11-24,15:30:00,640.00,646.80,635.00,637.95,909556
CIPLA,2015-11-26,15:30:00,639.80,641.90,633.10,635.80,1319195
CIPLA,2015-11-27,15:30:00,637.40,645.70,635.55,643.40,1110713
CIPLA,2015-11-30,15:30:00,643.00,651.50,639.00,644.65,2146672
CIPLA,2015-12-01,15:30:00,645.50,650.00,645.00,649.50,670534
CIPLA,2015-12-02,15:30:00,648.60,661.40,648.50,657.75,1610659
CIPLA,2015-12-03,15:30:00,652.75,656.00,642.25,651.50,1484709
CIPLA,2015-12-04,15:30:00,649.65,655.00,643.60,645.40,1127553
CIPLA,2015-12-07,15:30:00,647.95,654.00,640.10,645.50,921343
CIPLA,2015-12-08,15:30:00,642.00,648.50,638.40,640.55,730708
CIPLA,2015-12-09,15:30:00,642.05,644.90,620.00,621.85,1044192
CIPLA,2015-12-10,15:30:00,625.05,640.85,622.00,638.00,1030589
CIPLA,2015-12-11,15:30:00,636.55,642.95,630.75,639.00,1104857
CIPLA,2015-12-14,15:30:00,637.90,643.80,631.05,637.15,721113
CIPLA,2015-12-15,15:30:00,637.05,641.50,636.55,638.95,948636
CIPLA,2015-12-16,15:30:00,642.95,643.95,637.10,637.65,1166504
CIPLA,2015-12-17,15:30:00,639.00,644.95,636.30,642.50,1333918
CIPLA,2015-12-18,15:30:00,642.80,649.30,640.10,641.15,995474
CIPLA,2015-12-21,15:30:00,649.80,649.80,641.10,644.25,738842
CIPLA,2015-12-22,15:30:00,643.95,648.00,641.50,645.25,508379
CIPLA,2015-12-23,15:30:00,646.00,649.40,644.50,647.80,342498
CIPLA,2015-12-24,15:30:00,648.80,654.40,645.20,648.00,395801
CIPLA,2015-12-28,15:30:00,648.15,659.45,647.30,655.50,793844
CIPLA,2015-12-29,15:30:00,660.00,660.00,652.00,653.10,472504
CIPLA,2015-12-30,15:30:00,653.80,657.00,650.10,652.05,587218
CIPLA,2015-12-31,15:30:00,653.00,655.00,647.20,652.70,765254
CIPLA,2016-01-01,15:30:00,653.20,658.45,648.50,654.25,556012
CIPLA,2016-01-04,15:30:00,652.05,653.80,639.40,645.00,631534
CIPLA,2016-01-05,15:30:00,646.20,649.95,638.05,639.70,642269
CIPLA,2016-01-06,15:30:00,639.70,655.95,638.70,650.55,1234096
CIPLA,2016-01-07,15:30:00,648.00,650.00,629.00,629.70,732335
CIPLA,2016-01-08,15:30:00,637.30,645.00,614.00,624.00,1553402
CIPLA,2016-01-11,15:30:00,617.40,617.40,604.25,610.50,1668698
CIPLA,2016-01-12,15:30:00,609.00,616.90,605.70,612.45,1278522
CIPLA,2016-01-13,15:30:00,615.25,615.95,596.10,607.20,794118
CIPLA,2016-01-14,15:30:00,603.40,617.05,596.75,613.20,986574
CIPLA,2016-01-15,15:30:00,616.00,616.95,602.35,604.90,1119442
CIPLA,2016-01-18,15:30:00,608.00,608.05,586.40,591.00,1435098
CIPLA,2016-01-19,15:30:00,590.35,600.80,583.00,598.00,849433
CIPLA,2016-01-20,15:30:00,594.80,603.15,588.00,593.50,1002709
CIPLA,2016-01-21,15:30:00,600.25,601.45,576.55,577.20,1452498
CIPLA,2016-01-22,15:30:00,582.80,588.50,577.40,584.80,1297154
CIPLA,2016-01-25,15:30:00,590.00,590.00,579.20,581.00,910559
CIPLA,2016-01-27,15:30:00,582.00,587.65,572.30,580.30,982504
CIPLA,2016-01-28,15:30:00,581.00,585.50,575.00,577.20,1336930
CIPLA,2016-01-29,15:30:00,579.95,592.00,578.10,590.50,1146060
CIPLA,2016-02-01,15:30:00,591.90,605.95,589.15,597.00,1045333
CIPLA,2016-02-02,15:30:00,601.00,606.05,562.00,577.40,1779141
CIPLA,2016-02-03,15:30:00,570.00,578.80,559.40,566.00,1188642
