symbol,date,time,open,high,low,close,volume
COALINDIA,2016-08-25,15:30:00,334.50,336.70,329.35,331.65,3658893
COALINDIA,2016-08-26,15:30:00,331.45,334.30,329.50,333.10,2682815
COALINDIA,2016-08-29,15:30:00,333.00,334.40,330.50,334.10,1292318
COALINDIA,2016-08-30,15:30:00,335.10,336.10,332.40,335.10,1531387
COALINDIA,2016-08-31,15:30:00,334.00,336.40,331.10,335.00,3834244
COALINDIA,2016-09-01,15:30:00,334.10,339.00,332.60,338.15,2860233
COALINDIA,2016-09-02,15:30:00,337.00,337.15,331.45,332.05,3458571
COALINDIA,2016-09-06,15:30:00,333.55,333.75,325.15,328.40,2989741
COALINDIA,2016-09-07,15:30:00,329.00,332.40,327.10,330.80,2982805
COALINDIA,2016-09-08,15:30:00,331.00,333.00,328.80,332.50,2998354
COALINDIA,2016-09-09,15:30:00,333.00,333.00,330.55,332.00,2194843
COALINDIA,2016-09-12,15:30:00,327.70,333.00,327.50,330.30,2607009
COALINDIA,2016-09-14,15:30:00,323.60,327.55,321.50,325.00,6425242
COALINDIA,2016-09-15,15:30:00,325.35,326.90,321.80,324.00,2277264
COALINDIA,2016-09-16,15:30:00,325.20,327.00,322.30,326.00,4151279
COALINDIA,2016-09-19,15:30:00,324.00,329.10,324.00,328.20,2730095
COALINDIA,2016-09-20,15:30:00,328.80,330.40,327.15,329.10,2955423
COALINDIA,2016-09-21,15:30:00,329.30,331.95,327.55,330.80,3433714
COALINDIA,2016-09-22,15:30:00,333.35,333.55,326.65,327.15,2589917
COALINDIA,2016-09-23,15:30:00,327.15,329.95,327.15,329.00,3605797
COALINDIA,2016-09-26,15:30:00,328.85,334.10,328.15,334.00,3256853
COALINDIA,2016-09-27,15:30:00,335.50,337.20,332.00,332.40,3058963
COALINDIA,2016-09-28,15:30:00,332.75,335.70,327.60,328.50,1620533
COALINDIA,2016-09-29,15:30:00,330.30,332.45,322.55,329.90,4747212
COALINDIA,2016-09-30,15:30:00,326.15,328.80,316.90,323.00,4445950
COALINDIA,2016-10-03,15:30:00,323.10,328.70,321.50,328.20,3104019
COALINDIA,2016-10-04,15:30:00,328.00,329.00,319.35,320.85,5945963
COALINDIA,2016-10-05,15:30:00,322.10,323.60,318.75,321.00,5316324
COALINDIA,2016-10-06,15:30:00,323.00,323.00,317.20,318.70,3130353
