symbol,date,time,open,high,low,close,volume
EICHERMOT,2016-08-09,15:30:00,22489.00,22489.00,21765.85,21990.05,25730
EICHERMOT,2016-08-10,15:30:00,22082.40,22087.35,21620.30,21620.30,31457
EICHERMOT,2016-08-11,15:30:00,21735.00,22400.00,21525.15,22349.95,44439
EICHERMOT,2016-08-12,15:30:00,22359.95,22523.00,22079.25,22170.00,32342
EICHERMOT,2016-08-16,15:30:00,22334.80,22649.00,22141.15,22449.00,41238
EICHERMOT,2016-08-17,15:30:00,22500.00,22500.00,22212.10,22344.90,22529
EICHERMOT,2016-08-18,15:30:00,22348.00,22480.95,22078.05,22159.00,20215
EICHERMOT,2016-08-19,15:30:00,22279.00,22399.95,21713.00,21755.00,30560
EICHERMOT,2016-08-22,15:30:00,21795.00,21959.95,21547.30,21794.00,32520
EICHERMOT,2016-08-23,15:30:00,21749.00,22061.00,21654.00,22061.00,23027
EICHERMOT,2016-08-24,15:30:00,22168.00,22230.00,21890.00,22077.00,28828
EICHERMOT,2016-08-25,15:30:00,22230.00,22353.50,21971.35,22045.25,40151
EICHERMOT,2016-08-26,15:30:00,22122.00,22350.00,22100.00,22280.00,23347
EICHERMOT,2016-08-29,15:30:00,22300.00,22350.00,22160.00,22345.00,46540
EICHERMOT,2016-08-30,15:30:00,22400.00,23084.00,22175.95,23031.15,59546
EICHERMOT,2016-08-31,15:30:00,23100.00,23429.25,22601.00,22651.15,143618
EICHERMOT,2016-09-01,15:30:00,22751.00,22950.05,22675.45,22755.00,36586
EICHERMOT,2016-09-02,15:30:00,22890.00,23024.25,22755.00,22775.00,30121
EICHERMOT,2016-09-06,15:30:00,22841.00,23045.15,22827.00,22950.00,43845
EICHERMOT,2016-09-07,15:30:00,23124.00,23124.00,22810.00,22930.00,44872
EICHERMOT,2016-09-08,15:30:00,22972.75,23499.00,22858.00,23499.00,38488
EICHERMOT,2016-09-09,15:30:00,23449.00,23572.95,22860.90,22892.00,32036
EICHERMOT,2016-09-12,15:30:00,22695.80,22825.00,22445.15,22750.00,65298
EICHERMOT,2016-09-14,15:30:00,22882.00,22914.00,22350.00,22540.35,58070
EICHERMOT,2016-09-15,15:30:00,22600.00,22679.95,22266.05,22413.10,39284
EICHERMOT,2016-09-16,15:30:00,22501.05,23239.90,22501.05,23050.00,55294
EICHERMOT,2016-09-19,15:30:00,23043.00,23332.85,23000.00,23150.00,29134
EICHERMOT,2016-09-20,15:30:00,23260.50,23545.05,23156.05,23450.00,55909
EICHERMOT,2016-09-21,15:30:00,23420.00,24280.00,23333.70,24178.00,95652
EICHERMOT,2016-09-22,15:30:00,24415.00,24850.00,24265.80,24800.90,71474
EICHERMOT,2016-09-23,15:30:00,24844.00,25000.00,24550.00,24800.05,53795
EICHERMOT,2016-09-26,15:30:00,24840.00,24995.00,24605.00,24640.00,52009
EICHERMOT,2016-09-27,15:30:00,24752.00,24850.00,24480.00,24690.00,32364
EICHERMOT,2016-09-28,15:30:00,24625.00,26045.00,24620.05,26010.00,102186
EICHERMOT,2016-09-29,15:30:00,26344.00,26641.30,24451.50,25199.00,138500
EICHERMOT,2016-09-30,15:30:00,25149.80,25550.00,24549.40,24892.50,72690
EICHERMOT,2016-10-03,15:30:00,25320.00,25969.00,25143.50,25900.00,55210
EICHERMOT,2016-10-04,15:30:00,25989.70,26077.45,25542.00,25799.00,39827
EICHERMOT,2016-10-05,15:30:00,25850.00,26345.90,25612.20,26250.00,39397
EICHERMOT,2016-10-06,15:30:00,26280.00,26505.00,26061.35,26140.05,38261
EICHERMOT,2016-10-07,15:30:00,26340.00,26340.00,25750.10,25763.10,25969
EICHERMOT,2016-10-10,15:30:00,25915.25,26082.00,25761.75,25800.00,20010
EICHERMOT,2016-10-13,15:30:00,25700.00,25978.00,25567.20,25888.00,49996
EICHERMOT,2016-10-14,15:30:00,25987.75,25990.00,25330.95,25330.95,45733
EICHERMOT,2016-10-17,15:30:00,25430.10,25578.20,24564.90,24645.00,45648
EICHERMOT,2016-10-18,15:30:00,24795.00,25220.30,24700.00,25102.15,41222
EICHERMOT,2016-10-19,15:30:00,25110.00,25299.00,24900.00,24910.00,22366
EICHERMOT,2016-10-20,15:30:00,25140.00,25240.00,24800.00,24991.00,27484
EICHERMOT,2016-10-21,15:30:00,25124.00,25193.85,24815.00,25110.00,17880
