symbol,date,time,open,high,low,close,volume
GRASIM,2016-08-25,15:30:00,4575.00,4625.00,4515.65,4530.00,269452
GRASIM,2016-08-26,15:30:00,4550.00,4571.40,4508.00,4533.95,81277
GRASIM,2016-08-29,15:30:00,4544.00,4569.00,4513.50,4524.10,69317
GRASIM,2016-08-30,15:30:00,4535.05,4734.80,4535.05,4684.40,287301
GRASIM,2016-08-31,15:30:00,4710.00,4754.35,4657.60,4663.20,195604
GRASIM,2016-09-01,15:30:00,4651.00,4724.00,4581.00,4619.10,166901
GRASIM,2016-09-02,15:30:00,4628.00,4640.00,4537.05,4621.00,207073
GRASIM,2016-09-06,15:30:00,4649.95,4749.90,4631.50,4701.00,161594
GRASIM,2016-09-07,15:30:00,4687.95,4715.00,4636.10,4653.50,127828
GRASIM,2016-09-08,15:30:00,4657.00,4819.90,4653.00,4780.00,259701
GRASIM,2016-09-09,15:30:00,4775.95,4778.95,4691.20,4707.85,115723
GRASIM,2016-09-12,15:30:00,4660.00,4696.00,4577.00,4642.00,107152
GRASIM,2016-09-14,15:30:00,4634.70,4737.90,4630.05,4721.00,126571
GRASIM,2016-09-15,15:30:00,4725.00,4777.95,4697.25,4744.00,117109
GRASIM,2016-09-16,15:30:00,4750.00,4873.50,4750.00,4850.15,185473
GRASIM,2016-09-19,15:30:00,4853.35,4904.75,4835.00,4859.90,85760
GRASIM,2016-09-20,15:30:00,4861.00,4929.80,4817.50,4861.00,114344
GRASIM,2016-09-21,15:30:00,4905.00,4915.00,4857.95,4859.50,102814
GRASIM,2016-09-22,15:30:00,4910.00,4939.90,4880.40,4932.00,107637
GRASIM,2016-09-23,15:30:00,4930.00,4976.00,4883.75,4896.30,104081
GRASIM,2016-09-26,15:30:00,4893.00,4938.45,4831.00,4837.00,111523
GRASIM,2016-09-27,15:30:00,4898.90,4898.90,4811.25,4836.00,69592
GRASIM,2016-09-28,15:30:00,4829.00,4898.25,4812.05,4874.95,90844
GRASIM,2016-09-29,15:30:00,4931.00,4931.00,4664.80,4760.10,308159
GRASIM,2016-09-30,15:30:00,4709.95,4862.60,4707.60,4854.00,133750
GRASIM,2016-10-03,15:30:00,4865.00,4931.25,4855.65,4901.00,81303
GRASIM,2016-10-04,15:30:00,4916.85,4934.85,4880.00,4920.00,74198
GRASIM,2016-10-05,15:30:00,4939.00,4991.45,4902.00,4942.00,116071
GRASIM,2016-10-06,15:30:00,994.00,1019.00,988.20,1009.00,1278041
