symbol,date,time,open,high,low,close,volume
HCLTECH,2015-10-28,15:30:00,867.00,880.00,854.00,878.00,1675640
HCLTECH,2015-10-29,15:30:00,877.70,885.20,873.25,875.00,2121777
HCLTECH,2015-10-30,15:30:00,876.00,877.00,867.55,870.40,1327897
HCLTECH,2015-11-02,15:30:00,875.00,880.90,870.10,875.95,1010052
HCLTECH,2015-11-03,15:30:00,876.25,881.90,874.25,877.00,1057805
HCLTECH,2015-11-04,15:30:00,879.00,884.40,875.00,880.60,841844
HCLTECH,2015-11-05,15:30:00,881.60,883.80,874.05,877.25,1185249
HCLTECH,2015-11-06,15:30:00,877.50,889.50,874.60,885.00,1326926
HCLTECH,2015-11-09,19:00:00,878.90,885.00,870.10,880.25,1521940
HCLTECH,2015-11-10,15:30:00,876.25,879.85,847.20,851.00,839191
HCLTECH,2015-11-11,19:05:00,854.90,860.00,842.00,852.95,113979
HCLTECH,2015-11-13,15:30:00,825.00,856.80,823.20,841.05,1475398
HCLTECH,2015-11-16,15:30:00,828.10,842.40,825.00,840.65,1438057
HCLTECH,2015-11-17,15:30:00,844.50,859.90,835.75,853.40,1702888
HCLTECH,2015-11-18,15:30:00,853.95,853.95,835.25,845.00,1523474
HCLTECH,2015-11-19,15:30:00,850.00,876.85,846.05,873.70,1764168
HCLTECH,2015-11-20,15:30:00,872.00,874.40,855.50,863.25,1693461
HCLTECH,2015-11-23,15:30:00,862.00,867.95,858.60,865.50,589656
HCLTECH,2015-11-24,15:30:00,862.10,872.50,856.60,864.00,1124337
HCLTECH,2015-11-26,15:30:00,861.20,869.00,856.85,862.50,1040829
HCLTECH,2015-11-27,15:30:00,864.00,875.00,863.20,874.90,790471
HCLTECH,2015-11-30,15:30:00,872.15,881.75,862.65,871.00,2582573
HCLTECH,2015-12-01,15:30:00,870.95,885.70,869.05,877.00,1273589
HCLTECH,2015-12-02,15:30:00,882.00,882.00,856.00,860.10,1287691
HCLTECH,2015-12-03,15:30:00,856.00,856.00,849.25,852.00,1918307
HCLTECH,2015-12-04,15:30:00,849.25,850.00,831.15,838.80,1889164
