symbol,date,time,open,high,low,close,volume
HDFCBANK,2016-08-09,15:30:00,1252.90,1252.90,1237.70,1245.50,1052714
HDFCBANK,2016-08-10,15:30:00,1245.00,1250.95,1219.75,1224.00,904930
HDFCBANK,2016-08-11,15:30:00,1226.80,1235.00,1222.00,1229.00,714018
HDFCBANK,2016-08-12,15:30:00,1231.05,1235.00,1219.40,1227.80,1160374
HDFCBANK,2016-08-16,15:30:00,1233.00,1238.45,1213.80,1226.50,867142
HDFCBANK,2016-08-17,15:30:00,1233.40,1237.50,1226.00,1236.25,1377759
HDFCBANK,2016-08-18,15:30:00,1238.00,1254.90,1234.55,1250.00,1527914
HDFCBANK,2016-08-19,15:30:00,1250.00,1250.00,1241.45,1249.00,1027659
HDFCBANK,2016-08-22,15:30:00,1245.05,1254.45,1241.00,1251.95,1375323
HDFCBANK,2016-08-23,15:30:00,1251.00,1254.00,1246.05,1254.00,1328631
HDFCBANK,2016-08-24,15:30:00,1252.05,1264.20,1247.05,1262.25,1392734
HDFCBANK,2016-08-25,15:30:00,1264.00,1266.80,1254.30,1259.00,2182472
HDFCBANK,2016-08-26,15:30:00,1260.00,1261.90,1253.90,1254.15,630284
HDFCBANK,2016-08-29,15:30:00,1255.50,1255.50,1236.20,1238.55,736046
HDFCBANK,2016-08-30,15:30:00,1245.10,1270.50,1243.95,1270.50,2466902
HDFCBANK,2016-08-31,15:30:00,1269.00,1295.00,1265.50,1291.00,2790341
HDFCBANK,2016-09-01,15:30:00,1288.00,1290.00,1275.40,1285.55,1306169
HDFCBANK,2016-09-02,15:30:00,1285.50,1289.00,1281.15,1286.10,988797
HDFCBANK,2016-09-06,15:30:00,1290.05,1303.90,1290.05,1300.65,1377221
HDFCBANK,2016-09-07,15:30:00,1301.00,1305.00,1283.10,1291.35,1004111
HDFCBANK,2016-09-08,15:30:00,1290.00,1295.25,1283.60,1290.80,726345
HDFCBANK,2016-09-09,15:30:00,1290.00,1294.50,1278.30,1290.00,1003442
HDFCBANK,2016-09-12,15:30:00,1274.70,1284.40,1271.50,1279.60,996432
HDFCBANK,2016-09-14,15:30:00,1275.00,1277.00,1265.40,1272.00,962377
HDFCBANK,2016-09-15,15:30:00,1272.00,1283.90,1269.85,1282.90,875453
HDFCBANK,2016-09-16,15:30:00,1283.80,1304.50,1283.80,1297.50,1631454
HDFCBANK,2016-09-19,15:30:00,1297.00,1302.50,1288.00,1289.65,1473708
HDFCBANK,2016-09-20,15:30:00,1292.65,1295.00,1284.05,1290.35,944562
HDFCBANK,2016-09-21,15:30:00,1292.00,1298.00,1287.90,1292.20,1064100
HDFCBANK,2016-09-22,15:30:00,1305.00,1316.95,1300.55,1305.05,1638950
HDFCBANK,2016-09-23,15:30:00,1306.05,1318.45,1301.50,1312.00,1219202
HDFCBANK,2016-09-26,15:30:00,1306.10,1308.90,1293.70,1299.00,1394193
HDFCBANK,2016-09-27,15:30:00,1299.00,1306.15,1294.85,1300.00,1014203
HDFCBANK,2016-09-28,15:30:00,1299.90,1300.00,1289.00,1295.90,1247413
HDFCBANK,2016-09-29,15:30:00,1297.95,1306.00,1267.95,1274.65,4112503
HDFCBANK,2016-09-30,15:30:00,1277.10,1281.00,1267.40,1275.00,1034607
HDFCBANK,2016-10-03,15:30:00,1281.00,1289.90,1276.40,1288.25,975137
HDFCBANK,2016-10-04,15:30:00,1288.60,1295.00,1282.30,1291.00,693878
HDFCBANK,2016-10-05,15:30:00,1298.00,1300.05,1276.40,1285.85,911755
HDFCBANK,2016-10-06,15:30:00,1287.10,1295.60,1279.05,1282.85,723928
HDFCBANK,2016-10-07,15:30:00,1284.00,1287.75,1276.25,1281.70,834366
HDFCBANK,2016-10-10,15:30:00,1285.00,1287.90,1278.75,1284.60,1179828
HDFCBANK,2016-10-13,15:30:00,1279.00,1279.00,1256.45,1264.60,1129839
HDFCBANK,2016-10-14,15:30:00,1265.75,1268.00,1254.00,1263.45,1016779
HDFCBANK,2016-10-17,15:30:00,1265.50,1266.40,1232.75,1239.05,1283840
HDFCBANK,2016-10-18,15:30:00,1243.20,1260.00,1239.00,1255.30,652742
HDFCBANK,2016-10-19,15:30:00,1261.10,1263.00,1248.00,1257.65,761226
HDFCBANK,2016-10-20,15:30:00,1260.25,1267.45,1251.00,1258.75,800089
HDFCBANK,2016-10-21,15:30:00,1256.00,1272.95,1250.00,1269.00,989102
