symbol,date,time,open,high,low,close,volume
HINDUNILVR,2016-08-25,15:30:00,921.00,922.00,907.20,908.00,1760911
HINDUNILVR,2016-08-26,15:30:00,914.80,914.80,900.00,901.55,753284
HINDUNILVR,2016-08-29,15:30:00,906.00,908.00,901.00,907.50,488018
HINDUNILVR,2016-08-30,15:30:00,908.00,926.30,907.60,924.70,921470
HINDUNILVR,2016-08-31,15:30:00,925.00,926.50,911.85,915.45,2185015
HINDUNILVR,2016-09-01,15:30:00,917.10,929.50,913.35,928.00,654587
HINDUNILVR,2016-09-02,15:30:00,923.50,926.55,917.55,920.50,968873
HINDUNILVR,2016-09-06,15:30:00,924.25,939.75,922.30,938.60,811241
HINDUNILVR,2016-09-07,15:30:00,937.00,938.90,927.40,933.15,728867
HINDUNILVR,2016-09-08,15:30:00,933.00,953.60,931.50,951.00,1528195
HINDUNILVR,2016-09-09,15:30:00,950.00,954.00,927.40,930.55,888951
HINDUNILVR,2016-09-12,15:30:00,924.85,924.85,912.45,919.00,677577
HINDUNILVR,2016-09-14,15:30:00,917.00,924.50,905.00,911.50,1349809
HINDUNILVR,2016-09-15,15:30:00,910.20,920.85,906.00,913.50,964711
HINDUNILVR,2016-09-16,15:30:00,916.25,928.60,909.40,913.00,1542460
HINDUNILVR,2016-09-19,15:30:00,915.45,922.50,909.10,910.55,793036
HINDUNILVR,2016-09-20,15:30:00,912.15,916.80,900.90,901.90,1133099
HINDUNILVR,2016-09-21,15:30:00,902.00,914.55,900.55,911.95,1102665
HINDUNILVR,2016-09-22,15:30:00,913.00,917.95,903.25,910.00,1250220
HINDUNILVR,2016-09-23,15:30:00,911.00,912.50,901.00,910.00,1498875
HINDUNILVR,2016-09-26,15:30:00,909.00,913.90,886.50,895.00,1153660
HINDUNILVR,2016-09-27,15:30:00,895.00,900.95,889.40,900.35,849724
HINDUNILVR,2016-09-28,15:30:00,900.00,900.85,881.25,888.30,1877866
HINDUNILVR,2016-09-29,15:30:00,891.00,892.80,873.50,880.65,3307074
HINDUNILVR,2016-09-30,15:30:00,877.10,879.85,865.00,870.60,3104818
HINDUNILVR,2016-10-03,15:30:00,878.00,878.00,860.20,869.90,2066037
HINDUNILVR,2016-10-04,15:30:00,872.00,872.00,858.80,860.00,1465854
HINDUNILVR,2016-10-05,15:30:00,865.00,873.70,862.40,872.00,1781339
HINDUNILVR,2016-10-06,15:30:00,874.00,886.85,874.00,883.30,1360160
