symbol,date,time,open,high,low,close,volume
ICICIBANK,2016-08-25,15:30:00,247.95,250.20,246.10,247.00,13546690
ICICIBANK,2016-08-26,15:30:00,248.20,248.80,243.20,245.75,10445840
ICICIBANK,2016-08-29,15:30:00,245.00,252.65,244.60,250.50,8369603
ICICIBANK,2016-08-30,15:30:00,252.00,256.90,252.00,255.90,13864560
ICICIBANK,2016-08-31,15:30:00,257.10,260.85,257.00,257.85,15369111
ICICIBANK,2016-09-01,15:30:00,258.75,264.00,258.75,261.10,16453500
ICICIBANK,2016-09-02,15:30:00,262.50,264.30,260.25,261.65,7303642
ICICIBANK,2016-09-06,15:30:00,262.70,273.90,262.70,272.40,21158220
ICICIBANK,2016-09-07,15:30:00,274.00,283.75,272.15,278.00,32162895
ICICIBANK,2016-09-08,15:30:00,278.60,280.70,275.55,276.50,11924069
ICICIBANK,2016-09-09,15:30:00,274.55,276.00,270.10,274.00,15136252
ICICIBANK,2016-09-12,15:30:00,267.00,269.45,262.70,267.85,18743066
ICICIBANK,2016-09-14,15:30:00,266.70,273.80,266.35,271.85,15279813
ICICIBANK,2016-09-15,15:30:00,271.70,273.75,268.20,270.50,11032157
ICICIBANK,2016-09-16,15:30:00,271.75,275.60,266.30,267.90,29959544
ICICIBANK,2016-09-19,15:30:00,268.00,272.40,267.80,271.85,13767636
ICICIBANK,2016-09-20,15:30:00,271.90,274.20,269.35,272.50,10027634
ICICIBANK,2016-09-21,15:30:00,272.80,273.00,266.95,270.00,11578862
ICICIBANK,2016-09-22,15:30:00,276.00,277.90,272.30,275.05,13532986
ICICIBANK,2016-09-23,15:30:00,275.80,275.85,269.90,271.15,16343247
ICICIBANK,2016-09-26,15:30:00,268.50,268.70,261.80,263.00,14426187
ICICIBANK,2016-09-27,15:30:00,263.55,264.30,259.00,260.35,15778949
ICICIBANK,2016-09-28,15:30:00,260.40,262.45,259.05,260.80,16256169
ICICIBANK,2016-09-29,15:30:00,263.00,263.50,243.30,251.95,43764238
ICICIBANK,2016-09-30,15:30:00,248.05,253.30,246.95,252.40,13731746
ICICIBANK,2016-10-03,15:30:00,251.00,256.90,250.10,256.45,16420289
ICICIBANK,2016-10-04,15:30:00,256.85,259.95,254.90,258.30,14728477
ICICIBANK,2016-10-05,15:30:00,259.95,260.60,254.60,255.40,14581438
ICICIBANK,2016-10-06,15:30:00,257.00,257.05,249.20,252.25,12594971
