symbol,date,time,open,high,low,close,volume
IDEA,2016-08-25,15:30:00,98.05,98.55,95.20,95.70,9490949
IDEA,2016-08-26,15:30:00,95.15,95.70,93.20,94.00,6069746
IDEA,2016-08-29,15:30:00,93.50,95.25,93.10,94.70,4411536
IDEA,2016-08-30,15:30:00,94.95,95.20,93.30,93.85,5065951
IDEA,2016-08-31,15:30:00,93.70,94.45,93.20,93.40,7054599
IDEA,2016-09-01,15:30:00,93.10,93.70,83.10,83.25,62238716
IDEA,2016-09-02,15:30:00,82.10,85.15,80.60,84.35,50448831
IDEA,2016-09-06,15:30:00,83.75,85.30,82.25,84.50,24026589
IDEA,2016-09-07,15:30:00,83.65,84.85,83.25,83.70,13850658
IDEA,2016-09-08,15:30:00,83.70,85.35,83.60,84.30,12383247
IDEA,2016-09-09,15:30:00,84.50,85.15,83.45,83.60,6334864
IDEA,2016-09-12,15:30:00,82.50,83.80,82.05,82.70,8544887
IDEA,2016-09-14,15:30:00,82.85,84.15,82.80,83.85,5343815
IDEA,2016-09-15,15:30:00,83.60,85.10,83.05,84.25,6273150
IDEA,2016-09-16,15:30:00,84.65,86.05,83.50,84.80,9389129
IDEA,2016-09-19,15:30:00,84.30,85.70,84.30,84.70,3340291
IDEA,2016-09-20,15:30:00,85.20,85.20,83.65,84.00,3768779
IDEA,2016-09-21,15:30:00,84.30,84.70,83.80,84.50,5714051
IDEA,2016-09-22,15:30:00,84.90,84.90,83.00,83.15,6186887
IDEA,2016-09-23,15:30:00,83.40,83.50,82.10,82.20,5772899
IDEA,2016-09-26,15:30:00,82.30,82.50,80.00,80.15,7827593
IDEA,2016-09-27,15:30:00,79.90,80.50,79.15,79.50,9748496
IDEA,2016-09-28,15:30:00,79.50,83.20,79.50,82.65,10044087
IDEA,2016-09-29,15:30:00,82.95,83.10,78.50,80.60,13390649
IDEA,2016-09-30,15:30:00,78.00,81.20,78.00,79.25,9836110
IDEA,2016-10-03,15:30:00,80.10,81.40,79.00,81.05,6320690
IDEA,2016-10-04,15:30:00,80.50,81.90,80.10,81.10,5319482
IDEA,2016-10-05,15:30:00,82.30,82.60,79.50,79.90,10691648
IDEA,2016-10-06,15:30:00,80.05,80.80,79.55,80.00,4704550
