symbol,date,time,open,high,low,close,volume
INDUSINDBK,2016-08-25,15:30:00,1183.50,1198.95,1178.15,1179.95,855844
INDUSINDBK,2016-08-26,15:30:00,1182.05,1185.00,1159.35,1165.00,926062
INDUSINDBK,2016-08-29,15:30:00,1161.20,1167.15,1148.10,1154.00,455774
INDUSINDBK,2016-08-30,15:30:00,1160.00,1170.00,1157.35,1161.50,1611563
INDUSINDBK,2016-08-31,15:30:00,1168.00,1199.60,1160.20,1185.00,2488483
INDUSINDBK,2016-09-01,15:30:00,1191.75,1196.65,1180.65,1184.50,656421
INDUSINDBK,2016-09-02,15:30:00,1184.70,1194.50,1181.55,1191.00,641723
INDUSINDBK,2016-09-06,15:30:00,1196.35,1233.00,1196.35,1228.00,1525293
INDUSINDBK,2016-09-07,15:30:00,1238.90,1256.05,1213.45,1220.00,1397324
INDUSINDBK,2016-09-08,15:30:00,1219.80,1224.95,1201.00,1222.00,857870
INDUSINDBK,2016-09-09,15:30:00,1218.00,1223.80,1200.00,1222.15,731533
INDUSINDBK,2016-09-12,15:30:00,1198.00,1203.05,1185.10,1195.35,1029013
INDUSINDBK,2016-09-14,15:30:00,1185.00,1200.80,1182.00,1191.80,1892851
INDUSINDBK,2016-09-15,15:30:00,1193.70,1194.80,1176.00,1185.80,1007709
INDUSINDBK,2016-09-16,15:30:00,1187.50,1196.10,1161.90,1176.00,2514415
INDUSINDBK,2016-09-19,15:30:00,1173.20,1207.00,1165.10,1201.65,1267795
INDUSINDBK,2016-09-20,15:30:00,1205.40,1207.05,1182.10,1183.90,948837
INDUSINDBK,2016-09-21,15:30:00,1185.40,1192.50,1182.00,1185.00,1050601
INDUSINDBK,2016-09-22,15:30:00,1198.00,1226.00,1198.00,1216.40,1207430
INDUSINDBK,2016-09-23,15:30:00,1220.00,1230.70,1209.20,1213.00,1080432
INDUSINDBK,2016-09-26,15:30:00,1209.00,1214.30,1196.20,1198.90,835969
INDUSINDBK,2016-09-27,15:30:00,1201.90,1214.85,1193.00,1208.00,933054
INDUSINDBK,2016-09-28,15:30:00,1206.90,1225.25,1200.10,1221.35,802709
INDUSINDBK,2016-09-29,15:30:00,1226.00,1231.90,1190.20,1201.00,1750323
INDUSINDBK,2016-09-30,15:30:00,1190.00,1206.90,1181.55,1194.95,752725
INDUSINDBK,2016-10-03,15:30:00,1201.00,1240.00,1193.90,1230.95,1151991
INDUSINDBK,2016-10-04,15:30:00,1234.90,1237.00,1215.05,1228.35,1229639
INDUSINDBK,2016-10-05,15:30:00,1229.10,1233.00,1209.80,1211.20,278544
INDUSINDBK,2016-10-06,15:30:00,1215.00,1234.70,1205.55,1219.20,570718
