symbol,date,time,open,high,low,close,volume
INFRATEL,2016-08-25,15:30:00,347.50,348.30,338.00,339.80,1160464
INFRATEL,2016-08-26,15:30:00,341.00,349.00,341.00,345.50,1664446
INFRATEL,2016-08-29,15:30:00,348.00,348.00,336.25,338.70,824483
INFRATEL,2016-08-30,15:30:00,338.95,346.70,336.10,344.05,1424732
INFRATEL,2016-08-31,15:30:00,345.00,353.25,344.40,350.55,1824862
INFRATEL,2016-09-01,15:30:00,347.50,357.10,341.65,344.00,1279911
INFRATEL,2016-09-02,15:30:00,344.85,350.95,340.15,343.70,1944767
INFRATEL,2016-09-06,15:30:00,343.70,348.35,338.40,346.40,768989
INFRATEL,2016-09-07,15:30:00,347.90,351.75,344.35,349.35,1189628
INFRATEL,2016-09-08,15:30:00,349.35,361.50,349.35,355.70,1352844
INFRATEL,2016-09-09,15:30:00,360.70,364.15,349.25,351.80,973739
INFRATEL,2016-09-12,15:30:00,347.85,347.85,341.00,343.75,1069599
INFRATEL,2016-09-14,15:30:00,340.00,348.30,340.00,343.95,1748146
INFRATEL,2016-09-15,15:30:00,344.00,347.75,341.00,344.95,1472694
INFRATEL,2016-09-16,15:30:00,345.95,354.85,345.85,349.85,2705753
INFRATEL,2016-09-19,15:30:00,348.60,351.55,345.30,349.85,1306652
INFRATEL,2016-09-20,15:30:00,349.90,359.35,345.45,355.50,2102455
INFRATEL,2016-09-21,15:30:00,355.10,375.80,355.10,372.50,3491757
INFRATEL,2016-09-22,15:30:00,378.00,387.80,371.20,375.10,3252622
INFRATEL,2016-09-23,15:30:00,375.00,382.95,368.65,370.75,2201774
INFRATEL,2016-09-26,15:30:00,368.30,370.90,363.30,365.90,1611661
INFRATEL,2016-09-27,15:30:00,364.90,370.25,354.70,361.00,1615207
INFRATEL,2016-09-28,15:30:00,357.00,367.00,355.55,362.25,1316601
INFRATEL,2016-09-29,15:30:00,363.30,375.80,360.00,375.40,2818900
INFRATEL,2016-09-30,15:30:00,373.30,373.80,361.30,367.70,3708103
INFRATEL,2016-10-03,15:30:00,369.00,369.00,357.10,363.50,1705477
INFRATEL,2016-10-04,15:30:00,366.70,372.00,361.25,369.50,2454810
INFRATEL,2016-10-05,15:30:00,370.00,378.80,364.65,374.40,1198100
INFRATEL,2016-10-06,15:30:00,380.45,384.95,378.40,379.55,1483313
