symbol,date,time,open,high,low,close,volume
ITC,2015-10-28,15:30:00,236.23,239.30,236.00,236.40,9712458
ITC,2015-10-29,15:30:00,236.70,237.30,231.40,237.30,7638666
ITC,2015-10-30,15:30:00,234.30,234.30,220.60,222.90,27778047
ITC,2015-11-02,15:30:00,222.00,226.47,219.97,224.00,10326032
ITC,2015-11-03,15:30:00,224.50,225.90,221.90,222.90,3911080
ITC,2015-11-04,15:30:00,224.57,225.47,222.67,223.50,4980087
ITC,2015-11-05,15:30:00,222.67,226.13,222.17,224.27,5388102
ITC,2015-11-06,15:30:00,223.77,226.30,223.33,225.63,4463298
ITC,2015-11-09,19:00:00,221.00,229.33,220.23,228.50,11999874
ITC,2015-11-10,15:30:00,227.20,230.03,223.43,223.47,7228746
ITC,2015-11-11,19:05:00,225.90,226.00,222.10,222.80,793040
ITC,2015-11-13,15:30:00,220.30,222.50,218.10,220.00,18630920
ITC,2015-11-16,15:30:00,220.00,226.00,219.70,225.10,8773749
ITC,2015-11-17,15:30:00,228.13,233.50,226.07,232.37,11572887
ITC,2015-11-18,15:30:00,234.00,234.10,229.40,232.07,9966220
ITC,2015-11-19,15:30:00,233.30,235.30,232.50,235.00,16937770
ITC,2015-11-20,15:30:00,234.83,234.83,228.73,229.40,9858141
ITC,2015-11-23,15:30:00,228.90,229.90,224.17,224.97,8989701
ITC,2015-11-24,15:30:00,226.10,226.40,221.53,224.00,13086351
ITC,2015-11-26,15:30:00,224.10,230.00,223.23,229.57,9415474
ITC,2015-11-27,15:30:00,229.60,230.00,225.90,229.70,5677126
ITC,2015-11-30,15:30:00,228.80,231.20,227.03,230.77,17255164
ITC,2015-12-01,15:30:00,230.10,231.30,227.30,230.70,10126924
ITC,2015-12-02,15:30:00,230.67,233.17,228.27,232.73,4635016
ITC,2015-12-03,15:30:00,230.70,231.90,228.20,229.00,5594216
ITC,2015-12-04,15:30:00,227.53,227.83,223.33,223.87,13623824
ITC,2015-12-07,15:30:00,223.33,223.93,207.03,208.67,50870427
ITC,2015-12-08,15:30:00,207.30,212.10,207.10,209.50,19004238
ITC,2015-12-09,15:30:00,213.00,213.00,210.17,211.67,15074450
ITC,2015-12-10,15:30:00,211.67,214.50,211.33,214.13,8328300
ITC,2015-12-11,15:30:00,214.00,214.97,210.27,213.67,9011226
ITC,2015-12-14,15:30:00,213.33,214.93,211.43,214.00,7292186
ITC,2015-12-15,15:30:00,213.30,215.90,212.00,215.60,10089568
ITC,2015-12-16,15:30:00,215.33,216.43,212.07,212.93,7798696
ITC,2015-12-17,15:30:00,213.13,214.50,210.87,213.20,8683828
ITC,2015-12-18,15:30:00,213.90,215.30,210.90,211.30,14226303
ITC,2015-12-21,15:30:00,213.33,218.30,211.37,217.23,8042634
ITC,2015-12-22,15:30:00,216.70,217.00,213.00,213.73,6092220
ITC,2015-12-23,15:30:00,214.67,216.00,213.33,214.17,5272521
ITC,2015-12-24,15:30:00,215.33,216.50,213.73,215.73,3658226
ITC,2015-12-28,15:30:00,215.13,218.03,214.97,217.00,9082360
ITC,2015-12-29,15:30:00,217.63,218.67,215.57,217.70,4435326
ITC,2015-12-30,15:30:00,217.67,218.33,216.17,217.37,4799706
ITC,2015-12-31,15:30:00,217.00,220.00,215.57,219.10,8033028
ITC,2016-01-01,15:30:00,218.40,219.33,217.10,218.07,1479458
ITC,2016-01-04,15:30:00,217.00,217.40,214.37,217.03,5906445
ITC,2016-01-05,15:30:00,216.73,217.60,216.03,216.33,5816482
ITC,2016-01-06,15:30:00,218.00,218.00,209.70,210.00,15234480
ITC,2016-01-07,15:30:00,209.20,209.20,205.77,206.70,11809210
ITC,2016-01-08,15:30:00,207.47,211.33,206.50,208.30,9840336
ITC,2016-01-11,15:30:00,206.67,211.20,206.50,210.63,6876723
ITC,2016-01-12,15:30:00,210.17,211.27,208.33,211.23,6954766
ITC,2016-01-13,15:30:00,211.57,213.60,209.77,211.30,6862586
ITC,2016-01-14,15:30:00,209.10,212.50,208.17,210.60,11491224
ITC,2016-01-15,15:30:00,210.10,211.60,208.20,208.50,7979745
ITC,2016-01-18,15:30:00,209.27,212.43,208.83,210.23,11830011
ITC,2016-01-19,15:30:00,210.17,211.67,207.97,208.53,6836110
ITC,2016-01-20,15:30:00,206.93,213.33,203.33,206.50,9643707
ITC,2016-01-21,15:30:00,207.77,207.77,202.43,204.47,12559260
ITC,2016-01-22,15:30:00,206.00,208.50,201.73,202.77,15241478
ITC,2016-01-25,15:30:00,203.57,207.90,202.70,207.17,9329444
ITC,2016-01-27,15:30:00,206.30,209.47,204.63,208.93,8511430
ITC,2016-01-28,15:30:00,208.47,214.57,207.77,212.10,13890530
ITC,2016-01-29,15:30:00,215.23,217.33,211.23,211.67,12496232
ITC,2016-02-01,15:30:00,212.43,216.67,209.90,216.67,7351552
ITC,2016-02-02,15:30:00,215.93,217.27,214.30,216.53,7066827
ITC,2016-02-03,15:30:00,214.50,216.17,213.07,216.00,4921792
ITC,2016-02-04,15:30:00,214.90,216.40,214.00,214.10,3186770
ITC,2016-02-05,15:30:00,215.33,217.30,214.67,215.93,6504092
ITC,2016-02-08,15:30:00,216.53,216.60,209.50,210.20,6267885
ITC,2016-02-09,15:30:00,208.83,209.17,206.50,208.70,11473299
ITC,2016-02-10,15:30:00,208.07,208.63,204.67,206.33,7865656
ITC,2016-02-11,15:30:00,207.13,207.13,198.30,199.53,14039940
ITC,2016-02-12,15:30:00,199.47,203.43,199.23,200.47,13195534
ITC,2016-02-15,15:30:00,202.00,204.00,198.93,202.03,12016136
ITC,2016-02-16,15:30:00,203.00,204.00,195.77,196.03,10581429
ITC,2016-02-17,15:30:00,197.67,201.20,192.70,200.07,13094396
ITC,2016-02-18,15:30:00,201.00,204.47,200.57,203.33,9389506
ITC,2016-02-19,15:30:00,203.30,204.10,200.70,202.40,6927288
ITC,2016-02-22,15:30:00,201.77,201.77,195.60,199.33,14704284
ITC,2016-02-23,15:30:00,198.63,198.63,195.10,195.93,8856930
ITC,2016-02-24,15:30:00,195.30,196.90,190.70,191.80,13820902
ITC,2016-02-25,15:30:00,189.70,193.50,189.30,190.70,14568018
ITC,2016-02-26,15:30:00,192.67,194.67,190.10,193.50,12006186
ITC,2016-02-29,15:30:00,193.33,201.10,178.67,197.13,76486230
ITC,2016-03-01,15:30:00,203.30,218.00,203.30,217.70,64902460
ITC,2016-03-02,15:30:00,218.67,222.60,212.30,213.00,23765316
ITC,2016-03-03,15:30:00,215.33,216.67,211.17,212.57,9848283
ITC,2016-03-04,15:30:00,213.33,214.50,209.83,211.17,11380186
ITC,2016-03-08,15:30:00,210.70,216.00,210.70,213.50,12623628
ITC,2016-03-09,15:30:00,211.30,213.80,208.50,212.90,20128458
ITC,2016-03-10,15:30:00,213.17,214.53,208.57,210.93,13399833
ITC,2016-03-11,15:30:00,210.73,214.67,210.00,214.37,11699415
ITC,2016-03-14,15:30:00,215.00,217.30,214.70,216.60,7422849
