symbol,date,time,open,high,low,close,volume
LUPIN,2015-10-28,15:30:00,1933.75,1948.00,1885.00,1915.00,2460613
LUPIN,2015-10-29,15:30:00,1919.30,1935.75,1906.40,1927.00,1290089
LUPIN,2015-10-30,15:30:00,1924.00,1944.45,1911.10,1929.00,692739
LUPIN,2015-11-02,15:30:00,1928.90,1935.20,1868.00,1899.85,777056
LUPIN,2015-11-03,15:30:00,1910.00,1910.95,1865.00,1869.00,1430773
LUPIN,2015-11-04,15:30:00,1894.00,1894.00,1851.00,1851.00,1364087
LUPIN,2015-11-05,15:30:00,1856.40,1856.40,1833.50,1836.30,660862
LUPIN,2015-11-06,15:30:00,1834.00,1870.00,1812.05,1864.00,815336
LUPIN,2015-11-09,19:00:00,1829.00,1883.70,1811.10,1869.00,732452
LUPIN,2015-11-10,15:30:00,1860.00,1870.90,1774.95,1792.00,782457
LUPIN,2015-11-11,19:05:00,1814.00,1817.20,1792.60,1806.00,85572
LUPIN,2015-11-13,15:30:00,1774.85,1796.40,1760.00,1785.00,1358843
LUPIN,2015-11-16,15:30:00,1788.00,1826.90,1761.00,1811.65,765419
LUPIN,2015-11-17,15:30:00,1825.00,1833.75,1790.85,1798.00,712453
LUPIN,2015-11-18,15:30:00,1793.00,1815.25,1772.50,1784.00,647838
LUPIN,2015-11-19,15:30:00,1790.10,1820.00,1759.60,1816.05,633380
LUPIN,2015-11-20,15:30:00,1807.00,1827.50,1790.50,1815.00,430279
LUPIN,2015-11-23,15:30:00,1817.00,1845.00,1810.10,1842.70,477851
LUPIN,2015-11-24,15:30:00,1842.60,1868.00,1828.35,1857.00,834864
LUPIN,2015-11-26,15:30:00,1863.10,1864.40,1831.80,1850.75,858019
LUPIN,2015-11-27,15:30:00,1850.15,1852.90,1805.30,1822.85,699849
LUPIN,2015-11-30,15:30:00,1807.00,1819.95,1783.00,1795.00,1461767
LUPIN,2015-12-01,15:30:00,1800.00,1817.90,1792.80,1810.10,477542
LUPIN,2015-12-02,15:30:00,1819.95,1879.00,1812.85,1872.25,878243
LUPIN,2015-12-03,15:30:00,1870.00,1870.00,1817.25,1824.80,860554
LUPIN,2015-12-04,15:30:00,1815.00,1836.00,1796.50,1801.20,953977
LUPIN,2015-12-07,15:30:00,1822.00,1836.00,1808.00,1832.80,511541
LUPIN,2015-12-08,15:30:00,1825.00,1827.90,1800.00,1803.10,584132
LUPIN,2015-12-09,15:30:00,1804.35,1815.00,1747.75,1750.00,916636
LUPIN,2015-12-10,15:30:00,1763.50,1763.50,1688.50,1729.25,1715942
LUPIN,2015-12-11,15:30:00,1727.00,1770.00,1726.05,1740.05,1067350
LUPIN,2015-12-14,15:30:00,1730.00,1758.45,1722.50,1752.00,565502
LUPIN,2015-12-15,15:30:00,1742.10,1797.70,1742.10,1789.00,665220
LUPIN,2015-12-16,15:30:00,1801.00,1835.00,1794.00,1825.85,987172
LUPIN,2015-12-17,15:30:00,1835.00,1846.60,1796.00,1820.00,1319749
LUPIN,2015-12-18,15:30:00,1805.60,1835.00,1780.00,1789.95,1127533
LUPIN,2015-12-21,15:30:00,1784.00,1813.00,1782.10,1797.65,423456
LUPIN,2015-12-22,15:30:00,1800.00,1807.95,1781.00,1787.55,393457
LUPIN,2015-12-23,15:30:00,1801.10,1813.00,1792.00,1803.00,472162
