symbol,date,time,open,high,low,close,volume
RELIANCE,2016-08-09,15:30:00,1027.00,1034.50,1021.00,1029.90,3038046
RELIANCE,2016-08-10,15:30:00,1031.25,1034.55,1002.00,1002.20,3079463
RELIANCE,2016-08-11,15:30:00,1001.95,1022.85,999.60,1014.00,3238899
RELIANCE,2016-08-12,15:30:00,1017.00,1042.90,1017.00,1032.55,3740861
RELIANCE,2016-08-16,15:30:00,1036.25,1044.80,1015.50,1023.65,3055603
RELIANCE,2016-08-17,15:30:00,1024.10,1028.80,1007.20,1014.00,3539970
RELIANCE,2016-08-18,15:30:00,1016.00,1023.65,1016.00,1018.00,1771449
RELIANCE,2016-08-19,15:30:00,1018.00,1022.00,1007.10,1013.30,1869308
RELIANCE,2016-08-22,15:30:00,1012.00,1019.70,1007.20,1010.05,1527904
RELIANCE,2016-08-23,15:30:00,1012.00,1015.00,1005.00,1011.20,1673328
RELIANCE,2016-08-24,15:30:00,1011.70,1021.95,1011.00,1021.25,1993153
RELIANCE,2016-08-25,15:30:00,1021.20,1029.00,1009.00,1013.95,3419775
RELIANCE,2016-08-26,15:30:00,1017.90,1030.80,1014.60,1026.60,2203465
RELIANCE,2016-08-29,15:30:00,1027.25,1059.75,1026.10,1059.30,3701495
RELIANCE,2016-08-30,15:30:00,1062.00,1068.50,1053.00,1064.75,4153522
RELIANCE,2016-08-31,15:30:00,1064.90,1074.00,1047.00,1047.90,5324960
RELIANCE,2016-09-01,15:30:00,1053.00,1072.75,1025.70,1028.05,9742454
RELIANCE,2016-09-02,15:30:00,1031.10,1032.55,1002.30,1013.00,6428814
RELIANCE,2016-09-06,15:30:00,1019.90,1025.00,1015.00,1021.70,2631091
RELIANCE,2016-09-07,15:30:00,1022.00,1027.05,1013.05,1017.00,2954995
RELIANCE,2016-09-08,15:30:00,1023.05,1035.95,1020.20,1034.00,2790196
RELIANCE,2016-09-09,15:30:00,1035.00,1049.90,1030.00,1041.50,3490441
RELIANCE,2016-09-12,15:30:00,1030.40,1056.00,1029.15,1046.95,7699800
RELIANCE,2016-09-14,15:30:00,1048.00,1059.00,1040.90,1043.00,4252754
RELIANCE,2016-09-15,15:30:00,1047.00,1070.20,1047.00,1064.80,7170885
RELIANCE,2016-09-16,15:30:00,1067.00,1093.85,1059.10,1072.90,8988926
RELIANCE,2016-09-19,15:30:00,1072.55,1088.00,1071.00,1083.00,3812324
RELIANCE,2016-09-20,15:30:00,1084.00,1084.75,1069.05,1073.55,2635854
RELIANCE,2016-09-21,15:30:00,1074.00,1084.90,1069.00,1070.00,2501476
RELIANCE,2016-09-22,15:30:00,1083.00,1095.80,1079.00,1086.95,4288544
RELIANCE,2016-09-23,15:30:00,1089.00,1109.45,1089.00,1101.60,7105725
RELIANCE,2016-09-26,15:30:00,1103.40,1129.55,1100.25,1106.30,8734943
RELIANCE,2016-09-27,15:30:00,1117.00,1125.95,1106.60,1110.90,4428693
RELIANCE,2016-09-28,15:30:00,1107.90,1108.00,1086.30,1089.00,5673488
RELIANCE,2016-09-29,15:30:00,1095.00,1110.75,1067.40,1074.55,4859746
RELIANCE,2016-09-30,15:30:00,1068.00,1094.55,1066.30,1084.50,2560105
RELIANCE,2016-10-03,15:30:00,1087.00,1107.95,1076.25,1090.00,4143109
RELIANCE,2016-10-04,15:30:00,1093.05,1108.30,1092.00,1095.00,2997544
RELIANCE,2016-10-05,15:30:00,1104.00,1106.50,1085.80,1090.00,2466397
RELIANCE,2016-10-06,15:30:00,1092.00,1126.25,1092.00,1112.00,4825630
RELIANCE,2016-10-07,15:30:00,1114.00,1123.05,1106.50,1106.95,3492838
RELIANCE,2016-10-10,15:30:00,1114.00,1122.00,1094.00,1096.00,2640973
RELIANCE,2016-10-13,15:30:00,1089.00,1089.05,1052.00,1058.50,5014667
RELIANCE,2016-10-14,15:30:00,1063.00,1082.00,1061.65,1078.95,3489473
RELIANCE,2016-10-17,15:30:00,1080.00,1080.80,1058.75,1060.40,2246237
RELIANCE,2016-10-18,15:30:00,1066.00,1082.75,1062.05,1079.55,2531133
RELIANCE,2016-10-19,15:30:00,1084.45,1094.70,1081.40,1087.00,3902656
RELIANCE,2016-10-20,15:30:00,1093.95,1098.00,1084.05,1086.10,2314521
RELIANCE,2016-10-21,15:30:00,1097.00,1097.00,1058.40,1065.00,9968242
