symbol,date,time,open,high,low,close,volume
SBIN,2015-10-28,15:30:00,248.00,249.45,241.20,241.70,12310403
SBIN,2015-10-29,15:30:00,241.50,241.80,236.45,237.00,16114932
SBIN,2015-10-30,15:30:00,238.70,240.40,235.10,237.25,8669606
SBIN,2015-11-02,15:30:00,238.00,238.00,232.70,237.45,7611610
SBIN,2015-11-03,15:30:00,239.35,239.70,235.00,236.55,8323201
SBIN,2015-11-04,15:30:00,239.20,240.50,237.00,238.85,8418352
SBIN,2015-11-05,15:30:00,238.00,239.00,233.10,234.00,8906564
SBIN,2015-11-06,15:30:00,235.60,244.80,233.00,243.90,30821077
SBIN,2015-11-09,19:00:00,236.00,248.30,235.60,245.65,22806485
SBIN,2015-11-10,15:30:00,244.90,247.25,240.10,241.30,11767845
SBIN,2015-11-11,19:05:00,243.00,244.25,242.55,243.20,2061681
SBIN,2015-11-13,15:30:00,241.50,241.80,237.70,240.30,9082062
SBIN,2015-11-16,15:30:00,239.50,249.35,239.10,249.00,14051479
SBIN,2015-11-17,15:30:00,250.00,251.65,246.70,247.60,11273394
SBIN,2015-11-18,15:30:00,247.60,248.70,239.45,240.45,10397889
SBIN,2015-11-19,15:30:00,243.05,245.00,241.40,244.25,7325199
SBIN,2015-11-20,15:30:00,243.95,249.90,242.00,243.00,13718619
SBIN,2015-11-23,15:30:00,243.90,245.25,240.55,242.60,10552151
SBIN,2015-11-24,15:30:00,242.50,244.00,240.60,241.60,6651669
SBIN,2015-11-26,15:30:00,241.95,244.90,241.00,243.50,13629888
SBIN,2015-11-27,15:30:00,243.00,250.50,242.80,249.60,15149912
SBIN,2015-11-30,15:30:00,249.65,253.00,245.00,248.65,12865469
SBIN,2015-12-01,15:30:00,250.85,251.90,249.30,249.95,9501537
SBIN,2015-12-02,15:30:00,250.55,250.65,243.75,244.55,10881754
SBIN,2015-12-03,15:30:00,244.15,244.50,240.40,241.50,7155630
SBIN,2015-12-04,15:30:00,240.00,242.15,238.05,241.75,11115170
SBIN,2015-12-07,15:30:00,242.95,242.95,238.00,238.90,7531729
SBIN,2015-12-08,15:30:00,238.10,239.95,235.30,235.40,8254434
SBIN,2015-12-09,15:30:00,235.40,238.20,233.60,235.00,7408777
SBIN,2015-12-10,15:30:00,236.00,236.75,230.60,232.00,11713559
SBIN,2015-12-11,15:30:00,232.90,233.90,225.10,227.20,12872949
SBIN,2015-12-14,15:30:00,224.90,227.70,224.00,225.60,12464883
SBIN,2015-12-15,15:30:00,227.00,227.15,224.00,226.00,10404430
SBIN,2015-12-16,15:30:00,227.75,229.60,225.25,227.20,13030720
SBIN,2015-12-17,15:30:00,230.00,232.40,228.50,231.00,14539096
SBIN,2015-12-18,15:30:00,229.95,232.35,225.80,226.25,18871084
SBIN,2015-12-21,15:30:00,226.90,231.00,226.50,230.50,9557098
SBIN,2015-12-22,15:30:00,231.65,232.25,227.50,228.65,9155574
SBIN,2015-12-23,15:30:00,230.25,231.00,228.90,229.75,7914311
SBIN,2015-12-24,15:30:00,230.85,231.00,227.60,228.50,7257958
SBIN,2015-12-28,15:30:00,229.05,229.95,228.00,228.60,8756879
SBIN,2015-12-29,15:30:00,228.85,229.95,227.50,228.40,7263286
SBIN,2015-12-30,15:30:00,229.00,229.70,224.85,225.95,11702877
SBIN,2015-12-31,15:30:00,225.95,226.55,224.00,224.75,11558305
SBIN,2016-01-01,15:30:00,225.00,228.90,224.50,227.75,6449426
SBIN,2016-01-04,15:30:00,226.95,226.95,220.05,221.10,14092071
SBIN,2016-01-05,15:30:00,222.80,222.80,217.00,217.75,15074848
SBIN,2016-01-06,15:30:00,217.90,219.90,216.40,217.00,11921123
SBIN,2016-01-07,15:30:00,214.00,214.10,209.00,209.75,14342279
SBIN,2016-01-08,15:30:00,212.00,212.50,208.60,208.90,11745840
SBIN,2016-01-11,15:30:00,206.80,207.50,202.65,204.95,19287860
SBIN,2016-01-12,15:30:00,204.85,205.00,198.60,199.60,20318816
SBIN,2016-01-13,15:30:00,201.35,202.40,194.00,201.20,23788247
SBIN,2016-01-14,15:30:00,197.00,201.50,194.30,195.85,20256636
SBIN,2016-01-15,15:30:00,197.80,197.80,181.00,183.30,29090426
SBIN,2016-01-18,15:30:00,184.90,188.15,179.15,180.85,35653244
SBIN,2016-01-19,15:30:00,182.15,187.80,181.50,183.50,24501774
SBIN,2016-01-20,15:30:00,180.65,180.65,171.50,173.55,28655794
SBIN,2016-01-21,15:30:00,177.00,178.65,172.05,176.20,28697205
SBIN,2016-01-22,15:30:00,179.90,185.40,178.30,184.65,21432409
SBIN,2016-01-25,15:30:00,187.90,188.80,182.50,182.80,17534650
SBIN,2016-01-27,15:30:00,184.40,186.20,181.05,184.00,16569813
SBIN,2016-01-28,15:30:00,184.20,185.90,182.50,185.75,20241030
SBIN,2016-01-29,15:30:00,184.20,185.75,178.10,179.55,24259147
SBIN,2016-02-01,15:30:00,181.95,181.95,172.10,172.90,22915269
SBIN,2016-02-02,15:30:00,173.10,177.40,168.60,168.90,35957332
SBIN,2016-02-03,15:30:00,167.80,167.80,163.25,166.85,24132003
SBIN,2016-02-04,15:30:00,169.30,169.80,160.20,164.00,23811109
