symbol,date,time,open,high,low,close,volume
SUNPHARMA,2016-08-09,15:30:00,834.00,835.20,822.60,826.00,1896252
SUNPHARMA,2016-08-10,15:30:00,831.70,833.00,815.05,816.50,1315780
SUNPHARMA,2016-08-11,15:30:00,814.30,818.80,785.20,810.45,6662203
SUNPHARMA,2016-08-12,15:30:00,816.80,825.90,790.55,796.55,8732728
SUNPHARMA,2016-08-16,15:30:00,808.35,808.35,781.20,782.00,5115466
SUNPHARMA,2016-08-17,15:30:00,778.75,790.80,772.80,784.00,3550406
SUNPHARMA,2016-08-18,15:30:00,790.00,794.40,785.50,788.95,1585900
SUNPHARMA,2016-08-19,15:30:00,792.75,793.50,779.60,783.40,3217425
SUNPHARMA,2016-08-22,15:30:00,784.25,785.00,765.00,767.25,5501620
SUNPHARMA,2016-08-23,15:30:00,770.70,770.70,760.00,762.20,3756220
SUNPHARMA,2016-08-24,15:30:00,765.00,775.35,763.55,770.95,3806381
SUNPHARMA,2016-08-25,15:30:00,773.95,777.30,762.05,765.10,2285008
SUNPHARMA,2016-08-26,15:30:00,766.25,768.65,752.75,754.75,1978922
SUNPHARMA,2016-08-29,15:30:00,757.90,762.40,746.60,760.75,2362413
SUNPHARMA,2016-08-30,15:30:00,763.80,777.00,760.95,775.60,1726397
SUNPHARMA,2016-08-31,15:30:00,778.00,782.00,771.30,773.00,3405144
SUNPHARMA,2016-09-01,15:30:00,775.60,778.90,767.25,772.00,1183855
SUNPHARMA,2016-09-02,15:30:00,774.00,784.30,768.00,781.55,1867621
SUNPHARMA,2016-09-06,15:30:00,786.00,789.00,778.30,780.10,1556462
SUNPHARMA,2016-09-07,15:30:00,783.00,784.55,776.55,777.15,1353192
SUNPHARMA,2016-09-08,15:30:00,780.00,809.75,777.30,807.90,3663747
SUNPHARMA,2016-09-09,15:30:00,811.00,818.50,794.10,794.85,4003165
SUNPHARMA,2016-09-12,15:30:00,789.00,795.90,779.10,786.00,2621800
SUNPHARMA,2016-09-14,15:30:00,795.00,796.20,774.40,779.15,3858523
SUNPHARMA,2016-09-15,15:30:00,784.00,792.60,782.15,788.00,1479337
SUNPHARMA,2016-09-16,15:30:00,790.05,794.00,781.25,783.00,2303954
SUNPHARMA,2016-09-19,15:30:00,784.55,789.70,780.55,781.95,1283403
SUNPHARMA,2016-09-20,15:30:00,785.00,786.60,777.00,777.90,2078649
SUNPHARMA,2016-09-21,15:30:00,782.00,784.50,776.35,778.70,1572757
SUNPHARMA,2016-09-22,15:30:00,786.05,788.85,783.30,786.80,1730313
SUNPHARMA,2016-09-23,15:30:00,790.10,790.75,778.00,778.00,1768021
SUNPHARMA,2016-09-26,15:30:00,781.00,784.25,764.60,765.55,2308824
SUNPHARMA,2016-09-27,15:30:00,766.50,776.90,766.15,770.95,1556490
SUNPHARMA,2016-09-28,15:30:00,766.20,773.75,763.40,765.40,2342694
SUNPHARMA,2016-09-29,15:30:00,769.00,770.00,732.00,740.90,5321213
SUNPHARMA,2016-09-30,15:30:00,739.95,745.00,735.10,743.00,2051308
SUNPHARMA,2016-10-03,15:30:00,750.00,761.00,750.00,758.20,1856097
SUNPHARMA,2016-10-04,15:30:00,762.00,773.00,759.25,764.05,2557812
SUNPHARMA,2016-10-05,15:30:00,768.50,768.50,757.30,762.00,1847125
SUNPHARMA,2016-10-06,15:30:00,765.00,766.55,750.10,752.50,1755184
SUNPHARMA,2016-10-07,15:30:00,756.00,756.20,748.80,749.50,1554398
SUNPHARMA,2016-10-10,15:30:00,752.95,758.00,750.00,755.50,1365905
SUNPHARMA,2016-10-13,15:30:00,749.20,753.90,735.10,741.00,2996697
SUNPHARMA,2016-10-14,15:30:00,740.90,747.00,737.40,744.55,1849542
SUNPHARMA,2016-10-17,15:30:00,747.30,747.40,732.00,732.15,1510291
SUNPHARMA,2016-10-18,15:30:00,735.95,745.30,735.50,743.30,1901132
SUNPHARMA,2016-10-19,15:30:00,748.40,759.00,747.05,750.40,2267328
SUNPHARMA,2016-10-20,15:30:00,754.75,755.90,742.95,745.10,1360596
SUNPHARMA,2016-10-21,15:30:00,747.00,749.00,740.55,747.75,1807639
