symbol,date,time,open,high,low,close,volume
TATAMOTORS,2016-08-09,15:30:00,521.00,522.00,509.20,513.40,6015760
TATAMOTORS,2016-08-10,15:30:00,515.60,516.50,502.30,503.65,6371139
TATAMOTORS,2016-08-11,15:30:00,503.75,505.00,495.10,502.40,4112806
TATAMOTORS,2016-08-12,15:30:00,506.90,519.50,506.15,516.00,7167435
TATAMOTORS,2016-08-16,15:30:00,512.95,515.00,503.30,506.50,6034295
TATAMOTORS,2016-08-17,15:30:00,511.10,514.25,505.85,509.40,5853980
TATAMOTORS,2016-08-18,15:30:00,512.40,517.90,510.75,510.75,4990558
TATAMOTORS,2016-08-19,15:30:00,514.00,515.00,508.20,509.80,4567273
TATAMOTORS,2016-08-22,15:30:00,509.10,513.60,503.10,504.00,4330313
TATAMOTORS,2016-08-23,15:30:00,505.25,508.60,500.45,504.50,5342115
TATAMOTORS,2016-08-24,15:30:00,504.70,506.05,493.60,498.00,5189459
TATAMOTORS,2016-08-25,15:30:00,498.35,503.30,491.30,492.80,8787262
TATAMOTORS,2016-08-26,15:30:00,502.00,515.35,486.00,514.25,16347856
TATAMOTORS,2016-08-29,15:30:00,522.50,528.75,515.40,525.15,12534399
TATAMOTORS,2016-08-30,15:30:00,528.50,530.80,524.10,529.80,6611147
TATAMOTORS,2016-08-31,15:30:00,529.00,548.80,529.00,538.00,15725942
TATAMOTORS,2016-09-01,15:30:00,540.50,546.65,540.00,544.75,7571854
TATAMOTORS,2016-09-02,15:30:00,552.00,555.90,549.10,549.50,10097146
TATAMOTORS,2016-09-06,15:30:00,556.35,593.30,556.35,587.75,15813178
TATAMOTORS,2016-09-07,15:30:00,590.00,598.40,584.00,589.25,13408927
TATAMOTORS,2016-09-08,15:30:00,590.75,591.70,577.75,585.00,10456258
TATAMOTORS,2016-09-09,15:30:00,580.00,582.95,571.70,573.00,7159068
TATAMOTORS,2016-09-12,15:30:00,551.00,560.00,549.25,553.75,7055294
TATAMOTORS,2016-09-14,15:30:00,556.25,565.35,544.10,564.20,12364724
TATAMOTORS,2016-09-15,15:30:00,562.00,566.25,555.40,558.50,5258859
TATAMOTORS,2016-09-16,15:30:00,562.40,568.20,546.35,550.60,10931845
TATAMOTORS,2016-09-19,15:30:00,553.80,556.40,549.45,553.75,6979269
TATAMOTORS,2016-09-20,15:30:00,555.00,556.30,545.50,546.90,6874462
TATAMOTORS,2016-09-21,15:30:00,548.60,556.40,544.00,550.10,5919149
TATAMOTORS,2016-09-22,15:30:00,561.20,562.95,551.35,557.40,6012388
TATAMOTORS,2016-09-23,15:30:00,558.50,558.50,551.20,554.50,4840360
TATAMOTORS,2016-09-26,15:30:00,549.95,549.95,533.75,535.80,6858574
TATAMOTORS,2016-09-27,15:30:00,537.70,542.00,530.25,533.70,4912743
TATAMOTORS,2016-09-28,15:30:00,533.00,545.40,531.50,540.40,6604953
TATAMOTORS,2016-09-29,15:30:00,543.00,546.90,516.65,525.00,9315794
TATAMOTORS,2016-09-30,15:30:00,525.60,536.55,521.20,534.60,5659248
TATAMOTORS,2016-10-03,15:30:00,539.40,546.00,539.00,541.50,4505939
TATAMOTORS,2016-10-04,15:30:00,547.40,552.40,540.65,552.00,5715454
TATAMOTORS,2016-10-05,15:30:00,555.30,562.40,549.75,557.30,5929204
TATAMOTORS,2016-10-06,15:30:00,563.10,564.20,549.10,551.75,4273945
TATAMOTORS,2016-10-07,15:30:00,554.50,567.30,552.60,565.00,9122002
TATAMOTORS,2016-10-10,15:30:00,571.10,571.10,560.90,562.95,3673211
TATAMOTORS,2016-10-13,15:30:00,556.90,556.90,537.00,544.00,9510827
TATAMOTORS,2016-10-14,15:30:00,546.00,557.45,545.00,557.00,5872827
TATAMOTORS,2016-10-17,15:30:00,557.85,557.85,545.90,547.50,3463154
TATAMOTORS,2016-10-18,15:30:00,549.20,556.00,549.20,553.50,3965424
TATAMOTORS,2016-10-19,15:30:00,552.05,554.90,545.05,549.90,4275157
TATAMOTORS,2016-10-20,15:30:00,553.05,554.00,546.00,547.15,2770011
TATAMOTORS,2016-10-21,15:30:00,549.00,550.00,541.50,544.85,2789747
