symbol,date,time,open,high,low,close,volume
TATAMTRDVR,2016-08-25,15:30:00,323.40,325.00,318.10,318.20,2202417
TATAMTRDVR,2016-08-26,15:30:00,322.00,337.70,314.00,336.30,3477685
TATAMTRDVR,2016-08-29,15:30:00,339.80,339.80,333.15,337.50,2725457
TATAMTRDVR,2016-08-30,15:30:00,338.90,340.85,335.70,339.65,1539719
TATAMTRDVR,2016-08-31,15:30:00,338.50,351.35,338.50,343.95,4389201
TATAMTRDVR,2016-09-01,15:30:00,345.00,347.20,342.00,344.25,1287340
TATAMTRDVR,2016-09-02,15:30:00,348.05,352.90,347.20,351.95,1726214
TATAMTRDVR,2016-09-06,15:30:00,355.00,376.20,354.10,371.85,3354583
TATAMTRDVR,2016-09-07,15:30:00,374.90,378.15,369.55,373.95,2260432
TATAMTRDVR,2016-09-08,15:30:00,374.10,376.30,365.05,370.40,2275014
TATAMTRDVR,2016-09-09,15:30:00,368.30,369.55,362.00,363.05,1244048
TATAMTRDVR,2016-09-12,15:30:00,353.00,360.00,345.00,350.40,2168850
TATAMTRDVR,2016-09-14,15:30:00,354.00,362.00,346.15,360.60,2362520
TATAMTRDVR,2016-09-15,15:30:00,359.00,364.00,351.80,355.00,1786716
TATAMTRDVR,2016-09-16,15:30:00,357.40,360.85,350.65,353.25,1833461
TATAMTRDVR,2016-09-19,15:30:00,353.15,356.10,349.25,351.00,2015166
TATAMTRDVR,2016-09-20,15:30:00,351.15,351.15,345.35,347.30,1563349
TATAMTRDVR,2016-09-21,15:30:00,347.90,353.70,345.00,347.40,1081269
TATAMTRDVR,2016-09-22,15:30:00,353.45,357.40,351.70,354.50,1413376
TATAMTRDVR,2016-09-23,15:30:00,355.85,358.40,348.50,351.45,833671
TATAMTRDVR,2016-09-26,15:30:00,350.25,350.55,340.65,342.90,2167827
TATAMTRDVR,2016-09-27,15:30:00,344.95,345.75,336.50,337.70,1742807
TATAMTRDVR,2016-09-28,15:30:00,336.10,345.40,336.10,341.95,1586837
TATAMTRDVR,2016-09-29,15:30:00,344.50,345.30,328.20,335.50,3894456
TATAMTRDVR,2016-09-30,15:30:00,335.00,342.50,331.90,341.90,645064
TATAMTRDVR,2016-10-03,15:30:00,344.00,349.35,343.10,347.30,1381744
TATAMTRDVR,2016-10-04,15:30:00,349.90,351.25,344.70,349.80,1477528
TATAMTRDVR,2016-10-05,15:30:00,352.65,361.10,350.50,357.70,2255349
TATAMTRDVR,2016-10-06,15:30:00,361.00,364.10,351.00,353.50,1790554
