symbol,date,time,open,high,low,close,volume
TATAPOWER,2015-10-28,15:30:00,70.80,71.05,69.40,69.55,2772890
TATAPOWER,2015-10-29,15:30:00,69.60,70.00,68.50,69.55,6150955
TATAPOWER,2015-10-30,15:30:00,69.75,71.50,68.65,68.70,7852546
TATAPOWER,2015-11-02,15:30:00,68.70,69.15,68.10,68.95,1629516
TATAPOWER,2015-11-03,15:30:00,69.50,69.60,68.35,68.80,1841334
TATAPOWER,2015-11-04,15:30:00,69.40,69.50,68.45,68.60,2170065
TATAPOWER,2015-11-05,15:30:00,69.10,69.50,68.15,68.40,1836314
TATAPOWER,2015-11-06,15:30:00,69.40,69.50,66.60,67.55,2400308
TATAPOWER,2015-11-09,19:00:00,67.00,69.55,66.05,68.15,9032436
TATAPOWER,2015-11-10,15:30:00,69.25,69.80,67.35,68.00,4596144
TATAPOWER,2015-11-11,19:05:00,69.00,69.30,68.05,69.00,466299
TATAPOWER,2015-11-13,15:30:00,68.45,68.85,67.55,68.20,1967314
TATAPOWER,2015-11-16,15:30:00,68.15,68.55,66.65,67.35,4186093
TATAPOWER,2015-11-17,15:30:00,67.50,68.20,66.95,67.40,1783141
TATAPOWER,2015-11-18,15:30:00,67.55,68.25,65.65,65.85,2070946
TATAPOWER,2015-11-19,15:30:00,66.05,66.95,66.05,66.75,1319920
TATAPOWER,2015-11-20,15:30:00,66.35,67.50,66.30,66.70,1435324
TATAPOWER,2015-11-23,15:30:00,67.00,67.10,66.50,67.00,1691812
TATAPOWER,2015-11-24,15:30:00,66.90,67.30,66.30,66.70,1807371
TATAPOWER,2015-11-26,15:30:00,66.70,67.05,66.15,66.35,4945512
TATAPOWER,2015-11-27,15:30:00,66.80,67.35,65.90,66.30,1778931
TATAPOWER,2015-11-30,15:30:00,66.50,67.90,66.45,67.20,6754131
TATAPOWER,2015-12-01,15:30:00,68.00,68.00,66.35,66.40,3104617
TATAPOWER,2015-12-02,15:30:00,66.80,66.95,65.85,66.10,1407703
TATAPOWER,2015-12-03,15:30:00,66.00,66.80,65.25,65.30,1727696
TATAPOWER,2015-12-04,15:30:00,64.90,66.00,64.00,64.05,2544924
TATAPOWER,2015-12-07,15:30:00,64.90,64.95,64.00,64.10,1516182
TATAPOWER,2015-12-08,15:30:00,62.90,64.30,62.75,63.25,2207354
TATAPOWER,2015-12-09,15:30:00,63.75,63.75,61.70,62.15,1717959
TATAPOWER,2015-12-10,15:30:00,62.30,62.90,62.00,62.55,1552855
TATAPOWER,2015-12-11,15:30:00,62.40,63.15,61.00,61.80,2013081
TATAPOWER,2015-12-14,15:30:00,62.00,62.55,61.10,61.90,1926459
TATAPOWER,2015-12-15,15:30:00,61.50,62.05,61.10,61.30,1989111
TATAPOWER,2015-12-16,15:30:00,61.95,63.10,61.70,61.80,2509005
TATAPOWER,2015-12-17,15:30:00,62.95,64.95,62.30,64.75,3638996
TATAPOWER,2015-12-18,15:30:00,64.75,66.00,64.50,64.90,3813660
TATAPOWER,2015-12-21,15:30:00,65.00,65.50,64.40,64.95,2932353
TATAPOWER,2015-12-22,15:30:00,65.05,66.40,64.75,65.25,2654585
TATAPOWER,2015-12-23,15:30:00,65.65,66.15,65.30,65.50,1163831
TATAPOWER,2015-12-24,15:30:00,66.00,66.80,65.45,66.55,1359015
TATAPOWER,2015-12-28,15:30:00,67.00,68.35,67.00,67.30,3739245
TATAPOWER,2015-12-29,15:30:00,67.70,67.90,66.80,67.05,1868048
TATAPOWER,2015-12-30,15:30:00,68.45,68.45,67.45,67.85,2193301
TATAPOWER,2015-12-31,15:30:00,67.90,69.00,67.60,67.85,3580051
TATAPOWER,2016-01-01,15:30:00,68.10,69.45,67.80,68.85,1973896
TATAPOWER,2016-01-04,15:30:00,68.90,69.90,67.50,68.40,2644953
TATAPOWER,2016-01-05,15:30:00,68.55,70.70,68.45,69.30,3266085
TATAPOWER,2016-01-06,15:30:00,69.30,69.75,68.00,68.70,3274557
TATAPOWER,2016-01-07,15:30:00,67.95,68.40,65.80,66.30,2616771
TATAPOWER,2016-01-08,15:30:00,67.00,69.30,66.35,68.40,2913346
TATAPOWER,2016-01-11,15:30:00,67.95,67.95,66.20,67.30,3288875
TATAPOWER,2016-01-12,15:30:00,67.65,68.25,66.45,67.10,2857305
TATAPOWER,2016-01-13,15:30:00,67.50,68.00,64.40,65.80,3728023
TATAPOWER,2016-01-14,15:30:00,65.10,65.85,63.50,64.80,2720635
TATAPOWER,2016-01-15,15:30:00,65.00,65.50,61.30,61.60,2254377
TATAPOWER,2016-01-18,15:30:00,61.45,63.45,61.10,61.75,2870369
TATAPOWER,2016-01-19,15:30:00,62.20,64.95,62.00,64.00,3722032
TATAPOWER,2016-01-20,15:30:00,63.20,63.70,60.40,61.60,3483973
TATAPOWER,2016-01-21,15:30:00,62.10,62.75,60.10,61.15,4223902
TATAPOWER,2016-01-22,15:30:00,62.40,62.50,61.50,61.80,2793950
TATAPOWER,2016-01-25,15:30:00,62.55,62.55,61.05,61.40,2573219
TATAPOWER,2016-01-27,15:30:00,62.40,62.40,61.00,61.35,2950538
TATAPOWER,2016-01-28,15:30:00,61.30,61.70,59.75,59.95,5165366
TATAPOWER,2016-01-29,15:30:00,60.20,61.35,59.80,60.05,4490327
TATAPOWER,2016-02-01,15:30:00,61.00,61.00,60.10,60.45,3874248
TATAPOWER,2016-02-02,15:30:00,60.75,60.85,58.40,58.70,4705494
TATAPOWER,2016-02-03,15:30:00,58.50,58.50,56.50,57.25,3077309
TATAPOWER,2016-02-04,15:30:00,57.45,59.85,57.45,59.15,3734608
TATAPOWER,2016-02-05,15:30:00,59.75,60.50,59.45,60.25,4254914
TATAPOWER,2016-02-08,15:30:00,60.25,60.80,58.65,58.90,4217105
TATAPOWER,2016-02-09,15:30:00,58.50,60.00,58.30,59.85,2166595
TATAPOWER,2016-02-10,15:30:00,59.55,59.80,57.65,59.30,2181050
TATAPOWER,2016-02-11,15:30:00,59.00,59.50,55.60,56.30,3390846
TATAPOWER,2016-02-12,15:30:00,56.55,57.90,55.00,56.50,3828563
TATAPOWER,2016-02-15,15:30:00,57.20,60.25,57.15,59.90,11819297
TATAPOWER,2016-02-16,15:30:00,60.80,61.90,58.05,58.80,6203807
TATAPOWER,2016-02-17,15:30:00,58.90,59.45,57.00,58.80,5755969
TATAPOWER,2016-02-18,15:30:00,59.20,59.70,58.35,59.20,3013798
TATAPOWER,2016-02-19,15:30:00,59.15,59.85,58.30,58.60,4420717
TATAPOWER,2016-02-22,15:30:00,59.45,59.45,58.40,58.60,1875698
TATAPOWER,2016-02-23,15:30:00,59.00,59.05,57.80,57.80,1930159
TATAPOWER,2016-02-24,15:30:00,57.90,58.60,57.55,58.00,1459265
TATAPOWER,2016-02-25,15:30:00,58.10,58.95,56.60,57.00,5151016
TATAPOWER,2016-02-26,15:30:00,57.70,58.00,57.00,57.50,1469491
TATAPOWER,2016-02-29,15:30:00,58.00,58.35,56.25,57.60,3685533
TATAPOWER,2016-03-01,15:30:00,57.65,58.80,57.15,58.75,2593429
TATAPOWER,2016-03-02,15:30:00,59.50,59.80,58.55,59.00,4236895
TATAPOWER,2016-03-03,15:30:00,59.30,59.90,58.50,59.70,3763947
