symbol,date,time,open,high,low,close,volume
TCS,2016-08-09,15:30:00,2658.00,2659.80,2578.85,2654.45,1130957
TCS,2016-08-10,15:30:00,2651.00,2682.00,2648.00,2676.00,1031039
TCS,2016-08-11,15:30:00,2665.55,2715.00,2665.55,2706.85,1116569
TCS,2016-08-12,15:30:00,2705.00,2744.80,2702.05,2740.00,1163679
TCS,2016-08-16,15:30:00,2738.00,2740.00,2673.85,2700.00,1591877
TCS,2016-08-17,15:30:00,2699.00,2699.00,2618.00,2628.00,924283
TCS,2016-08-18,15:30:00,2635.00,2657.55,2630.10,2631.00,646032
TCS,2016-08-19,15:30:00,2640.00,2646.45,2600.00,2602.60,1208122
TCS,2016-08-22,15:30:00,2588.00,2594.45,2536.30,2553.50,1132637
TCS,2016-08-23,15:30:00,2544.95,2604.95,2540.20,2600.40,751687
TCS,2016-08-24,15:30:00,2589.80,2602.00,2569.05,2570.65,558439
TCS,2016-08-25,15:30:00,2580.00,2589.70,2526.00,2550.35,969845
TCS,2016-08-26,15:30:00,2559.80,2572.55,2517.20,2527.25,625157
TCS,2016-08-29,15:30:00,2534.95,2534.95,2466.75,2508.00,744364
TCS,2016-08-30,15:30:00,2510.00,2549.80,2501.25,2544.90,722013
TCS,2016-08-31,15:30:00,2550.00,2550.00,2500.85,2514.70,1615834
TCS,2016-09-01,15:30:00,2524.90,2534.95,2487.05,2507.25,672868
TCS,2016-09-02,15:30:00,2512.00,2519.40,2496.05,2511.00,871165
TCS,2016-09-06,15:30:00,2519.90,2520.15,2480.00,2484.70,1119533
TCS,2016-09-07,15:30:00,2499.70,2499.70,2423.00,2452.10,1927020
TCS,2016-09-08,15:30:00,2360.00,2360.00,2284.75,2327.70,3510758
TCS,2016-09-09,15:30:00,2329.70,2366.65,2320.05,2352.00,1371219
TCS,2016-09-12,15:30:00,2337.00,2363.95,2324.00,2358.00,1012227
TCS,2016-09-14,15:30:00,2362.00,2377.60,2310.00,2332.00,1034929
TCS,2016-09-15,15:30:00,2339.95,2342.10,2316.75,2325.00,1409482
TCS,2016-09-16,15:30:00,2336.70,2376.00,2320.00,2368.00,2179002
TCS,2016-09-19,15:30:00,2365.00,2427.00,2350.00,2411.00,1401273
TCS,2016-09-20,15:30:00,2411.00,2416.90,2385.40,2410.00,592276
TCS,2016-09-21,15:30:00,2407.70,2424.00,2400.70,2412.00,839010
TCS,2016-09-22,15:30:00,2425.25,2428.00,2371.10,2380.00,1428787
TCS,2016-09-23,15:30:00,2382.00,2403.85,2371.15,2400.00,900363
TCS,2016-09-26,15:30:00,2401.10,2419.10,2395.00,2395.10,876738
TCS,2016-09-27,15:30:00,2401.10,2448.00,2401.10,2437.00,1019396
TCS,2016-09-28,15:30:00,2431.00,2437.50,2415.20,2425.00,865664
TCS,2016-09-29,15:30:00,2435.00,2456.50,2419.60,2437.00,1801979
TCS,2016-09-30,15:30:00,2437.05,2449.80,2423.10,2432.20,1087682
TCS,2016-10-03,15:30:00,2450.00,2457.65,2401.10,2407.50,909440
TCS,2016-10-04,15:30:00,2420.00,2425.05,2398.00,2407.00,890359
TCS,2016-10-05,15:30:00,2408.00,2415.40,2376.10,2386.00,588177
TCS,2016-10-06,15:30:00,2395.00,2402.40,2372.75,2386.85,1133786
TCS,2016-10-07,15:30:00,2388.00,2388.00,2358.20,2370.00,908256
TCS,2016-10-10,15:30:00,2369.90,2386.90,2355.05,2380.00,601071
TCS,2016-10-13,15:30:00,2363.30,2369.90,2320.90,2334.00,2586667
TCS,2016-10-14,15:30:00,2315.00,2387.00,2291.00,2370.60,3870607
TCS,2016-10-17,15:30:00,2368.90,2375.80,2344.40,2374.95,1364173
TCS,2016-10-18,15:30:00,2376.00,2415.70,2354.80,2398.60,1064316
TCS,2016-10-19,15:30:00,2401.00,2410.00,2370.30,2390.00,992529
TCS,2016-10-20,15:30:00,2396.90,2409.35,2386.00,2403.00,632927
TCS,2016-10-21,15:30:00,2400.00,2431.90,2398.25,2430.00,629830
