symbol,date,time,open,high,low,close,volume
WIPRO,2016-08-25,15:30:00,521.00,521.25,502.25,503.30,4837138
WIPRO,2016-08-26,15:30:00,504.00,506.05,488.00,490.00,3318483
WIPRO,2016-08-29,15:30:00,491.00,491.55,477.10,478.00,5095626
WIPRO,2016-08-30,15:30:00,478.90,490.45,478.15,488.25,4531046
WIPRO,2016-08-31,15:30:00,491.80,496.00,486.25,487.45,2811028
WIPRO,2016-09-01,15:30:00,489.70,489.70,481.50,484.00,1988414
WIPRO,2016-09-02,15:30:00,484.00,485.55,479.30,484.50,1614602
WIPRO,2016-09-06,15:30:00,485.00,485.40,480.00,483.20,1592073
WIPRO,2016-09-07,15:30:00,487.80,489.75,480.05,481.35,2147450
WIPRO,2016-09-08,15:30:00,477.00,479.65,470.20,474.30,2229724
WIPRO,2016-09-09,15:30:00,477.60,483.00,474.30,480.00,1896208
WIPRO,2016-09-12,15:30:00,474.80,483.40,472.15,482.00,1887831
WIPRO,2016-09-14,15:30:00,484.50,484.95,475.85,478.00,1842448
WIPRO,2016-09-15,15:30:00,479.80,479.80,474.25,479.70,1814622
WIPRO,2016-09-16,15:30:00,481.30,482.30,478.00,479.95,2310804
WIPRO,2016-09-19,15:30:00,480.00,481.95,476.20,481.50,2118736
WIPRO,2016-09-20,15:30:00,482.50,482.50,478.10,481.00,1092998
WIPRO,2016-09-21,15:30:00,482.95,484.50,480.25,483.70,1625366
WIPRO,2016-09-22,15:30:00,485.00,485.20,479.60,482.00,1431194
WIPRO,2016-09-23,15:30:00,483.25,483.70,479.05,480.50,2306416
WIPRO,2016-09-26,15:30:00,480.40,481.00,476.10,480.40,2238608
WIPRO,2016-09-27,15:30:00,480.35,485.00,479.00,484.00,1852179
WIPRO,2016-09-28,15:30:00,484.40,484.70,480.35,483.00,795943
WIPRO,2016-09-29,15:30:00,483.70,483.95,470.00,476.00,4940828
WIPRO,2016-09-30,15:30:00,473.00,480.00,473.00,479.05,2103183
WIPRO,2016-10-03,15:30:00,480.00,480.10,474.30,479.00,1000629
WIPRO,2016-10-04,15:30:00,479.00,484.95,479.00,481.05,1330496
WIPRO,2016-10-05,15:30:00,481.80,483.15,476.65,480.10,1413444
WIPRO,2016-10-06,15:30:00,480.00,480.60,477.05,478.00,1386753
