symbol,date,time,open,high,low,close,volume
YESBANK,2016-08-09,15:30:00,1265.15,1265.85,1251.00,1259.85,1739978
YESBANK,2016-08-10,15:30:00,1264.00,1271.85,1247.60,1265.00,2459788
YESBANK,2016-08-11,15:30:00,1265.00,1265.00,1236.10,1254.20,3542392
YESBANK,2016-08-12,15:30:00,1254.00,1294.00,1253.00,1291.00,3488899
YESBANK,2016-08-16,15:30:00,1298.95,1314.95,1289.90,1294.85,2818873
YESBANK,2016-08-17,15:30:00,1301.00,1309.90,1285.30,1307.00,1639390
YESBANK,2016-08-18,15:30:00,1310.20,1324.75,1308.00,1321.30,1852179
YESBANK,2016-08-19,15:30:00,1321.00,1339.00,1316.00,1338.50,1664226
YESBANK,2016-08-22,15:30:00,1335.00,1349.25,1332.70,1341.05,2159542
YESBANK,2016-08-23,15:30:00,1343.20,1351.35,1335.50,1340.05,2124475
YESBANK,2016-08-24,15:30:00,1341.25,1342.85,1330.05,1336.00,1851160
YESBANK,2016-08-25,15:30:00,1339.30,1349.60,1337.00,1347.00,3671732
YESBANK,2016-08-26,15:30:00,1346.60,1347.00,1319.05,1326.60,2314223
YESBANK,2016-08-29,15:30:00,1324.70,1343.00,1317.00,1342.75,2987198
YESBANK,2016-08-30,15:30:00,1343.00,1374.75,1340.20,1355.15,3270579
YESBANK,2016-08-31,15:30:00,1360.00,1382.30,1342.00,1378.05,23168932
YESBANK,2016-09-01,15:30:00,1369.70,1376.65,1360.15,1365.00,2015662
YESBANK,2016-09-02,15:30:00,1365.00,1394.25,1362.30,1391.00,2073640
YESBANK,2016-09-06,15:30:00,1389.95,1449.00,1389.95,1448.00,3144961
YESBANK,2016-09-07,15:30:00,1447.70,1447.70,1390.05,1406.00,5120094
YESBANK,2016-09-08,15:30:00,1387.15,1390.00,1321.25,1323.45,7127308
YESBANK,2016-09-09,15:30:00,1250.05,1315.00,1246.95,1275.50,15748512
YESBANK,2016-09-12,15:30:00,1249.00,1249.00,1197.00,1199.50,8790869
YESBANK,2016-09-14,15:30:00,1203.10,1256.95,1203.10,1254.00,6382271
YESBANK,2016-09-15,15:30:00,1240.00,1240.00,1206.20,1224.60,4831932
YESBANK,2016-09-16,15:30:00,1232.00,1239.35,1158.90,1174.65,10291738
YESBANK,2016-09-19,15:30:00,1166.00,1193.75,1155.80,1179.55,7352710
YESBANK,2016-09-20,15:30:00,1189.10,1213.45,1171.30,1207.00,4774321
YESBANK,2016-09-21,15:30:00,1209.10,1227.80,1209.10,1221.10,3740663
YESBANK,2016-09-22,15:30:00,1245.00,1259.00,1230.90,1243.50,4631410
YESBANK,2016-09-23,15:30:00,1245.00,1248.90,1228.05,1231.55,2034020
YESBANK,2016-09-26,15:30:00,1221.95,1243.00,1216.25,1235.10,2402922
YESBANK,2016-09-27,15:30:00,1247.00,1251.80,1238.20,1250.00,2938429
YESBANK,2016-09-28,15:30:00,1246.00,1274.80,1245.00,1270.90,3143505
YESBANK,2016-09-29,15:30:00,1276.00,1304.95,1225.00,1238.80,8602463
YESBANK,2016-09-30,15:30:00,1231.55,1259.10,1211.55,1256.30,4189759
YESBANK,2016-10-03,15:30:00,1275.00,1283.00,1263.25,1271.60,2167577
YESBANK,2016-10-04,15:30:00,1280.00,1291.80,1270.30,1290.25,2233478
YESBANK,2016-10-05,15:30:00,1294.00,1297.50,1271.00,1274.00,1696408
YESBANK,2016-10-06,15:30:00,1237.10,1295.00,1231.50,1280.05,5919913
YESBANK,2016-10-07,15:30:00,1276.00,1284.80,1266.15,1273.95,1796464
YESBANK,2016-10-10,15:30:00,1279.00,1290.00,1276.00,1279.45,1226587
YESBANK,2016-10-13,15:30:00,1268.00,1283.90,1235.30,1254.00,2599460
YESBANK,2016-10-14,15:30:00,1260.00,1268.00,1244.15,1263.45,1981808
YESBANK,2016-10-17,15:30:00,1264.40,1267.00,1242.25,1251.00,1318321
YESBANK,2016-10-18,15:30:00,1255.00,1296.80,1255.00,1293.00,2573878
YESBANK,2016-10-19,15:30:00,1297.95,1308.55,1277.25,1289.00,2865411
YESBANK,2016-10-20,15:30:00,1301.00,1323.65,1296.80,1310.00,5791112
YESBANK,2016-10-21,15:30:00,1314.05,1320.00,1297.00,1315.20,2610272
