symbol,date,time,open,high,low,close,volume
ACC,2016-08-31,14:50:00,1712.20,1712.50,1711.95,1712.00,1675
ACC,2016-08-31,14:51:00,1712.00,1712.00,1711.15,1711.25,1191
ACC,2016-08-31,14:52:00,1711.55,1711.55,1707.20,1709.95,2833
ACC,2016-08-31,14:53:00,1709.95,1710.00,1709.30,1710.00,526
ACC,2016-08-31,14:54:00,1710.00,1710.00,1709.00,1709.55,1003
ACC,2016-08-31,14:55:00,1709.55,1710.00,1709.20,1710.00,1787
ACC,2016-08-31,14:56:00,1710.00,1710.00,1708.80,1710.00,808
ACC,2016-08-31,14:57:00,1710.00,1710.00,1709.90,1710.00,1627
ACC,2016-08-31,14:58:00,1710.00,1711.00,1709.35,1710.00,1396
ACC,2016-08-31,14:59:00,1710.00,1710.00,1709.85,1710.00,1076
ACC,2016-08-31,15:00:00,1710.00,1710.00,1709.85,1709.90,1222
ACC,2016-08-31,15:01:00,1709.95,1709.95,1708.00,1708.90,3124
ACC,2016-08-31,15:02:00,1708.85,1708.90,1707.20,1708.00,3351
ACC,2016-08-31,15:03:00,1708.00,1708.00,1707.70,1707.85,1613
ACC,2016-08-31,15:04:00,1707.85,1707.85,1707.35,1707.60,2949
ACC,2016-08-31,15:05:00,1707.60,1707.70,1707.60,1707.60,2866
ACC,2016-08-31,15:06:00,1707.65,1707.65,1707.45,1707.50,2387
ACC,2016-08-31,15:07:00,1707.50,1707.70,1707.45,1707.70,3623
ACC,2016-08-31,15:08:00,1707.60,1707.70,1707.20,1707.25,2852
ACC,2016-08-31,15:09:00,1707.25,1707.70,1706.45,1707.65,4177
ACC,2016-08-31,15:10:00,1707.70,1709.90,1707.65,1708.15,4820
ACC,2016-08-31,15:11:00,1708.15,1709.15,1708.15,1708.95,2339
ACC,2016-08-31,15:12:00,1708.95,1708.95,1708.35,1708.50,2438
ACC,2016-08-31,15:13:00,1708.55,1708.95,1708.50,1708.85,3147
ACC,2016-08-31,15:14:00,1709.20,1709.35,1708.95,1709.25,3034
ACC,2016-08-31,15:15:00,1709.30,1709.45,1708.75,1709.25,6782
ACC,2016-08-31,15:16:00,1709.25,1709.25,1707.05,1707.20,6701
ACC,2016-08-31,15:17:00,1707.30,1708.30,1706.00,1708.25,5128
ACC,2016-08-31,15:18:00,1708.25,1709.45,1708.20,1709.30,4444
ACC,2016-08-31,15:19:00,1709.45,1713.00,1709.45,1713.00,4955
ACC,2016-08-31,15:20:00,1713.00,1713.00,1711.90,1712.50,5779
ACC,2016-08-31,15:21:00,1712.55,1713.00,1712.00,1712.70,6979
ACC,2016-08-31,15:22:00,1712.70,1712.70,1711.60,1711.60,5632
ACC,2016-08-31,15:23:00,1711.35,1712.65,1711.35,1712.00,6001
ACC,2016-08-31,15:24:00,1711.50,1711.50,1710.10,1710.25,4640
ACC,2016-08-31,15:25:00,1710.25,1711.00,1710.25,1710.95,5581
