symbol,date,time,open,high,low,close,volume
ASIANPAINT,2016-08-31,14:50:00,1160.50,1160.50,1160.10,1160.10,4028
ASIANPAINT,2016-08-31,14:51:00,1160.15,1160.95,1160.15,1160.70,2412
ASIANPAINT,2016-08-31,14:52:00,1160.70,1160.70,1160.00,1160.10,4870
ASIANPAINT,2016-08-31,14:53:00,1160.15,1160.40,1160.15,1160.25,2707
ASIANPAINT,2016-08-31,14:54:00,1160.30,1161.00,1159.90,1160.15,5464
ASIANPAINT,2016-08-31,14:55:00,1160.15,1160.60,1160.10,1160.60,2138
ASIANPAINT,2016-08-31,14:56:00,1160.65,1161.35,1160.15,1161.10,2425
ASIANPAINT,2016-08-31,14:57:00,1161.10,1161.35,1160.00,1160.25,6189
ASIANPAINT,2016-08-31,14:58:00,1160.25,1161.05,1160.25,1160.70,3354
ASIANPAINT,2016-08-31,14:59:00,1160.70,1160.95,1160.40,1160.45,3567
ASIANPAINT,2016-08-31,15:00:00,1160.45,1160.80,1160.00,1160.10,5156
ASIANPAINT,2016-08-31,15:01:00,1160.20,1160.20,1158.85,1158.95,11616
ASIANPAINT,2016-08-31,15:02:00,1159.00,1159.00,1155.70,1155.80,18618
ASIANPAINT,2016-08-31,15:03:00,1155.85,1156.40,1155.00,1155.05,19740
ASIANPAINT,2016-08-31,15:04:00,1155.05,1155.05,1154.55,1154.55,20498
ASIANPAINT,2016-08-31,15:05:00,1154.55,1155.30,1154.50,1155.20,18410
ASIANPAINT,2016-08-31,15:06:00,1155.20,1155.20,1154.60,1154.95,14764
ASIANPAINT,2016-08-31,15:07:00,1154.95,1154.95,1154.30,1154.60,17147
ASIANPAINT,2016-08-31,15:08:00,1154.90,1155.25,1154.90,1154.90,15714
ASIANPAINT,2016-08-31,15:09:00,1155.10,1158.00,1155.10,1157.70,17622
ASIANPAINT,2016-08-31,15:10:00,1157.75,1157.95,1157.55,1157.85,16229
ASIANPAINT,2016-08-31,15:11:00,1157.85,1158.60,1156.70,1157.75,24384
ASIANPAINT,2016-08-31,15:12:00,1157.75,1158.00,1157.70,1158.00,17011
ASIANPAINT,2016-08-31,15:13:00,1158.00,1159.00,1157.90,1158.90,21368
ASIANPAINT,2016-08-31,15:14:00,1159.00,1159.15,1158.15,1158.30,14741
ASIANPAINT,2016-08-31,15:15:00,1158.20,1158.20,1157.60,1157.70,15075
ASIANPAINT,2016-08-31,15:16:00,1157.65,1158.35,1157.65,1158.25,18736
ASIANPAINT,2016-08-31,15:17:00,1158.25,1158.30,1158.15,1158.20,19050
ASIANPAINT,2016-08-31,15:18:00,1158.25,1158.35,1158.20,1158.35,14925
ASIANPAINT,2016-08-31,15:19:00,1158.15,1160.00,1158.15,1159.80,20304
ASIANPAINT,2016-08-31,15:20:00,1160.00,1160.00,1159.80,1159.95,19120
ASIANPAINT,2016-08-31,15:21:00,1159.90,1161.35,1159.90,1160.85,22499
ASIANPAINT,2016-08-31,15:22:00,1160.85,1162.20,1160.85,1162.10,22574
ASIANPAINT,2016-08-31,15:23:00,1162.00,1162.00,1160.20,1160.20,12338
ASIANPAINT,2016-08-31,15:24:00,1160.20,1160.20,1158.20,1158.30,17258
ASIANPAINT,2016-08-31,15:25:00,1158.30,1158.30,1157.20,1157.25,17274
ASIANPAINT,2016-08-31,15:26:00,1157.20,1157.20,1156.65,1156.70,20130
ASIANPAINT,2016-08-31,15:27:00,1156.75,1157.05,1156.20,1157.05,17726
ASIANPAINT,2016-08-31,15:28:00,1157.00,1159.70,1157.00,1159.70,11954
ASIANPAINT,2016-08-31,15:29:00,1159.70,1161.50,1159.25,1159.25,18864
ASIANPAINT,2016-08-31,15:30:00,1160.45,1162.00,1157.30,1160.00,5407
ASIANPAINT,2016-09-01,09:16:00,1159.85,1161.50,1157.00,1158.45,3656
ASIANPAINT,2016-09-01,09:17:00,1158.60,1158.60,1154.85,1155.90,4714
ASIANPAINT,2016-09-01,09:18:00,1156.00,1157.00,1155.05,1156.30,2065
ASIANPAINT,2016-09-01,09:19:00,1156.40,1159.40,1156.40,1159.00,1887
ASIANPAINT,2016-09-01,09:20:00,1159.05,1160.95,1158.65,1160.80,4962
ASIANPAINT,2016-09-01,09:21:00,1160.80,1164.00,1160.80,1163.00,3108
ASIANPAINT,2016-09-01,09:22:00,1162.65,1163.00,1159.60,1160.30,4607
ASIANPAINT,2016-09-01,09:23:00,1160.00,1160.00,1158.75,1159.40,1144
ASIANPAINT,2016-09-01,09:24:00,1159.80,1160.45,1159.10,1159.75,852
ASIANPAINT,2016-09-01,09:25:00,1159.45,1159.95,1159.30,1159.65,233
ASIANPAINT,2016-09-01,09:26:00,1159.35,1159.60,1158.45,1159.35,926
ASIANPAINT,2016-09-01,09:27:00,1159.35,1159.35,1158.00,1158.80,933
ASIANPAINT,2016-09-01,09:28:00,1158.75,1158.85,1157.40,1157.80,799
