symbol,date,time,open,high,low,close,volume
BAJAJ-AUTO,2016-08-31,14:50:00,2984.00,2984.00,2982.10,2982.30,640
BAJAJ-AUTO,2016-08-31,14:51:00,2983.10,2986.00,2982.30,2985.05,821
BAJAJ-AUTO,2016-08-31,14:52:00,2987.00,2994.75,2985.00,2994.75,1302
BAJAJ-AUTO,2016-08-31,14:53:00,2993.80,2993.80,2987.00,2989.25,1411
BAJAJ-AUTO,2016-08-31,14:54:00,2989.95,2989.95,2987.45,2988.40,918
BAJAJ-AUTO,2016-08-31,14:55:00,2988.40,2990.00,2987.65,2990.00,410
BAJAJ-AUTO,2016-08-31,14:56:00,2989.95,2989.95,2986.15,2987.85,695
BAJAJ-AUTO,2016-08-31,14:57:00,2987.85,2987.85,2984.25,2984.25,435
BAJAJ-AUTO,2016-08-31,14:58:00,2984.85,2986.55,2984.40,2984.40,420
BAJAJ-AUTO,2016-08-31,14:59:00,2985.25,2985.25,2984.40,2984.40,299
BAJAJ-AUTO,2016-08-31,15:00:00,2987.00,2987.55,2984.55,2984.75,936
BAJAJ-AUTO,2016-08-31,15:01:00,2984.75,2984.75,2984.55,2984.60,3339
BAJAJ-AUTO,2016-08-31,15:02:00,2984.60,2984.60,2982.50,2982.55,2427
BAJAJ-AUTO,2016-08-31,15:03:00,2982.55,2982.55,2980.00,2980.90,4518
BAJAJ-AUTO,2016-08-31,15:04:00,2980.90,2980.90,2980.00,2980.75,3978
BAJAJ-AUTO,2016-08-31,15:05:00,2980.75,2980.75,2980.00,2980.35,2989
BAJAJ-AUTO,2016-08-31,15:06:00,2980.45,2980.45,2976.00,2976.00,6743
BAJAJ-AUTO,2016-08-31,15:07:00,2976.85,2976.85,2975.00,2975.00,5009
BAJAJ-AUTO,2016-08-31,15:08:00,2975.00,2975.05,2972.80,2972.80,5115
BAJAJ-AUTO,2016-08-31,15:09:00,2972.80,2972.80,2971.00,2971.10,4448
BAJAJ-AUTO,2016-08-31,15:10:00,2971.10,2971.10,2970.00,2970.05,5903
BAJAJ-AUTO,2016-08-31,15:11:00,2970.05,2970.75,2970.00,2970.25,4275
BAJAJ-AUTO,2016-08-31,15:12:00,2970.25,2970.80,2970.00,2970.80,4306
BAJAJ-AUTO,2016-08-31,15:13:00,2970.80,2970.80,2970.30,2970.40,3642
BAJAJ-AUTO,2016-08-31,15:14:00,2970.40,2972.15,2969.90,2972.15,5888
BAJAJ-AUTO,2016-08-31,15:15:00,2972.00,2975.55,2972.00,2973.30,3665
BAJAJ-AUTO,2016-08-31,15:16:00,2973.30,2973.50,2970.65,2970.70,2981
BAJAJ-AUTO,2016-08-31,15:17:00,2970.65,2970.75,2969.95,2970.65,5441
BAJAJ-AUTO,2016-08-31,15:18:00,2970.65,2971.35,2970.25,2971.35,3280
BAJAJ-AUTO,2016-08-31,15:19:00,2971.35,2977.00,2971.35,2977.00,3544
BAJAJ-AUTO,2016-08-31,15:20:00,2977.00,2977.00,2976.80,2976.90,4099
