symbol,date,time,open,high,low,close,volume
BOSCHLTD,2016-08-31,14:50:00,24329.60,24329.60,24324.95,24324.95,17
BOSCHLTD,2016-08-31,14:51:00,24324.95,24324.95,24311.00,24324.95,32
BOSCHLTD,2016-08-31,14:52:00,24324.95,24324.95,24310.15,24318.25,28
BOSCHLTD,2016-08-31,14:53:00,24310.15,24318.25,24310.10,24314.15,15
BOSCHLTD,2016-08-31,14:54:00,24314.15,24314.15,24313.90,24313.90,20
BOSCHLTD,2016-08-31,14:55:00,24313.90,24313.90,24313.85,24313.90,27
BOSCHLTD,2016-08-31,14:56:00,24313.90,24313.90,24310.00,24313.85,21
BOSCHLTD,2016-08-31,14:57:00,24313.90,24313.90,24311.95,24311.95,11
BOSCHLTD,2016-08-31,14:58:00,24311.95,24350.00,24311.50,24326.25,177
BOSCHLTD,2016-08-31,14:59:00,24347.60,24349.90,24336.75,24348.40,22
BOSCHLTD,2016-08-31,15:00:00,24348.40,24348.40,24328.65,24331.65,25
BOSCHLTD,2016-08-31,15:01:00,24331.60,24331.60,24320.50,24326.75,271
BOSCHLTD,2016-08-31,15:02:00,24326.05,24326.05,24252.00,24254.10,706
BOSCHLTD,2016-08-31,15:03:00,24252.50,24321.10,24252.50,24281.80,507
BOSCHLTD,2016-08-31,15:04:00,24280.90,24299.80,24268.65,24268.65,368
BOSCHLTD,2016-08-31,15:05:00,24267.40,24267.40,24252.15,24262.80,333
BOSCHLTD,2016-08-31,15:06:00,24277.95,24278.00,24232.00,24241.90,223
BOSCHLTD,2016-08-31,15:07:00,24240.10,24240.10,24192.35,24203.60,464
BOSCHLTD,2016-08-31,15:08:00,24198.70,24199.60,24160.05,24184.55,460
BOSCHLTD,2016-08-31,15:09:00,24174.55,24175.35,24150.00,24150.00,254
BOSCHLTD,2016-08-31,15:10:00,24150.05,24164.35,24126.10,24164.35,477
BOSCHLTD,2016-08-31,15:11:00,24165.50,24264.80,24141.90,24264.80,513
BOSCHLTD,2016-08-31,15:12:00,24258.95,24258.95,24217.95,24217.95,258
BOSCHLTD,2016-08-31,15:13:00,24208.45,24208.45,24130.70,24131.60,530
BOSCHLTD,2016-08-31,15:14:00,24131.60,24131.60,24115.00,24115.00,356
BOSCHLTD,2016-08-31,15:15:00,24125.60,24125.60,24101.25,24108.25,210
BOSCHLTD,2016-08-31,15:16:00,24107.70,24128.70,24100.05,24100.15,480
BOSCHLTD,2016-08-31,15:17:00,24107.75,24134.50,24101.05,24127.60,329
BOSCHLTD,2016-08-31,15:18:00,24127.70,24176.60,24121.65,24132.45,483
BOSCHLTD,2016-08-31,15:19:00,24127.60,24127.60,24110.00,24110.00,249
BOSCHLTD,2016-08-31,15:20:00,24110.00,24118.95,24085.20,24104.00,528
BOSCHLTD,2016-08-31,15:21:00,24110.90,24124.60,24093.15,24119.00,437
BOSCHLTD,2016-08-31,15:22:00,24119.10,24119.10,24090.00,24090.00,373
BOSCHLTD,2016-08-31,15:23:00,24129.30,24129.30,24093.00,24095.10,318
BOSCHLTD,2016-08-31,15:24:00,24095.15,24110.55,24085.00,24085.05,313
BOSCHLTD,2016-08-31,15:25:00,24085.00,24099.95,24075.00,24099.60,497
