symbol,date,time,open,high,low,close,volume
COALINDIA,2016-08-31,14:50:00,333.50,333.50,333.25,333.30,6349
COALINDIA,2016-08-31,14:51:00,333.35,333.35,333.25,333.30,9155
COALINDIA,2016-08-31,14:52:00,333.30,333.40,333.20,333.25,12557
COALINDIA,2016-08-31,14:53:00,333.50,333.75,333.30,333.45,6908
COALINDIA,2016-08-31,14:54:00,333.50,333.50,333.30,333.40,12513
COALINDIA,2016-08-31,14:55:00,333.45,333.70,333.40,333.65,10815
COALINDIA,2016-08-31,14:56:00,333.65,334.25,333.65,334.20,58008
COALINDIA,2016-08-31,14:57:00,334.35,334.35,334.00,334.05,2670
COALINDIA,2016-08-31,14:58:00,334.25,334.25,334.00,334.05,2346
COALINDIA,2016-08-31,14:59:00,334.05,334.15,334.00,334.05,6979
COALINDIA,2016-08-31,15:00:00,334.05,334.15,334.00,334.10,8599
COALINDIA,2016-08-31,15:01:00,334.05,334.05,333.85,333.90,40271
COALINDIA,2016-08-31,15:02:00,333.95,333.95,333.70,333.70,29892
COALINDIA,2016-08-31,15:03:00,333.65,333.70,333.25,333.40,40500
COALINDIA,2016-08-31,15:04:00,333.35,333.40,333.20,333.35,47485
COALINDIA,2016-08-31,15:05:00,333.35,333.35,333.15,333.30,38187
COALINDIA,2016-08-31,15:06:00,333.25,333.30,333.15,333.25,37200
COALINDIA,2016-08-31,15:07:00,333.25,333.40,333.20,333.30,34700
COALINDIA,2016-08-31,15:08:00,333.30,333.30,333.15,333.30,40501
COALINDIA,2016-08-31,15:09:00,333.30,333.30,333.05,333.10,26514
COALINDIA,2016-08-31,15:10:00,333.05,333.10,332.60,332.85,51507
COALINDIA,2016-08-31,15:11:00,332.85,333.40,332.80,333.35,40144
COALINDIA,2016-08-31,15:12:00,333.35,333.55,333.30,333.35,42170
COALINDIA,2016-08-31,15:13:00,333.50,333.95,333.20,333.85,48259
COALINDIA,2016-08-31,15:14:00,333.85,333.85,333.60,333.60,50911
COALINDIA,2016-08-31,15:15:00,333.65,333.65,333.20,333.50,58081
COALINDIA,2016-08-31,15:16:00,333.50,333.50,332.85,333.05,40309
COALINDIA,2016-08-31,15:17:00,333.00,333.00,332.10,332.10,40215
COALINDIA,2016-08-31,15:18:00,332.10,332.45,332.00,332.35,57709
COALINDIA,2016-08-31,15:19:00,332.35,333.20,332.10,333.20,46874
COALINDIA,2016-08-31,15:20:00,333.20,333.55,333.00,333.55,47220
COALINDIA,2016-08-31,15:21:00,333.55,333.55,333.50,333.50,51347
COALINDIA,2016-08-31,15:22:00,333.55,334.10,333.40,334.00,67363
COALINDIA,2016-08-31,15:23:00,334.05,334.10,334.00,334.10,70761
COALINDIA,2016-08-31,15:24:00,334.10,334.35,334.00,334.05,70551
COALINDIA,2016-08-31,15:25:00,334.10,334.10,334.00,334.05,60738
COALINDIA,2016-08-31,15:26:00,334.05,334.30,333.65,334.25,66299
COALINDIA,2016-08-31,15:27:00,334.30,334.30,334.25,334.30,42879
COALINDIA,2016-08-31,15:28:00,334.30,334.55,334.25,334.55,31626
COALINDIA,2016-08-31,15:29:00,334.50,334.75,334.50,334.60,25642
COALINDIA,2016-08-31,15:30:00,334.60,335.00,334.60,335.00,18605
COALINDIA,2016-09-01,09:15:00,334.40,334.40,334.40,334.40,100
COALINDIA,2016-09-01,09:16:00,334.80,335.10,334.10,334.90,8787
COALINDIA,2016-09-01,09:17:00,334.70,335.00,334.35,334.90,8951
COALINDIA,2016-09-01,09:18:00,335.00,335.50,334.95,335.30,9310
COALINDIA,2016-09-01,09:19:00,335.25,335.40,335.00,335.25,4015
COALINDIA,2016-09-01,09:20:00,335.20,335.35,335.20,335.20,2710
COALINDIA,2016-09-01,09:21:00,335.30,335.30,335.10,335.15,405
COALINDIA,2016-09-01,09:22:00,335.20,335.35,335.10,335.10,3357
COALINDIA,2016-09-01,09:23:00,335.30,335.30,335.15,335.25,982
COALINDIA,2016-09-01,09:24:00,335.25,335.35,335.20,335.20,11284
COALINDIA,2016-09-01,09:25:00,335.20,335.30,334.85,334.85,3898
COALINDIA,2016-09-01,09:26:00,334.80,335.00,334.65,335.00,6355
COALINDIA,2016-09-01,09:27:00,335.00,335.35,335.00,335.35,3079
COALINDIA,2016-09-01,09:28:00,335.20,335.35,335.05,335.05,1469
COALINDIA,2016-09-01,09:29:00,335.05,335.05,335.00,335.05,871
COALINDIA,2016-09-01,09:30:00,335.00,335.05,334.90,335.00,343
COALINDIA,2016-09-01,09:31:00,334.90,335.25,334.75,335.15,2532
COALINDIA,2016-09-01,09:32:00,335.05,335.25,335.05,335.25,1581
COALINDIA,2016-09-01,09:33:00,335.25,335.25,335.00,335.10,5014
COALINDIA,2016-09-01,09:34:00,335.10,335.25,335.10,335.20,1321
COALINDIA,2016-09-01,09:35:00,335.25,335.25,335.10,335.10,1462
COALINDIA,2016-09-01,09:36:00,335.15,335.15,335.00,335.15,674
COALINDIA,2016-09-01,09:37:00,335.15,335.15,335.10,335.15,1055
COALINDIA,2016-09-01,09:38:00,335.10,335.10,335.00,335.10,916
COALINDIA,2016-09-01,09:39:00,335.15,335.35,335.10,335.35,4105
COALINDIA,2016-09-01,09:40:00,335.25,335.35,335.20,335.25,1253
COALINDIA,2016-09-01,09:41:00,335.25,335.25,335.00,335.00,813
COALINDIA,2016-09-01,09:42:00,335.10,335.20,335.00,335.10,2075
COALINDIA,2016-09-01,09:43:00,335.00,335.10,335.00,335.00,536
COALINDIA,2016-09-01,09:44:00,335.00,335.05,334.80,334.90,933
COALINDIA,2016-09-01,09:45:00,334.80,334.80,334.60,334.60,722
COALINDIA,2016-09-01,09:46:00,334.60,334.60,334.25,334.25,3186
COALINDIA,2016-09-01,09:47:00,334.25,334.35,334.25,334.30,1173
COALINDIA,2016-09-01,09:48:00,334.35,334.50,334.35,334.50,1666
COALINDIA,2016-09-01,09:49:00,334.35,334.50,334.35,334.35,1405
COALINDIA,2016-09-01,09:50:00,334.45,334.70,334.40,334.40,3013
COALINDIA,2016-09-01,09:51:00,334.50,334.75,334.45,334.70,1501
COALINDIA,2016-09-01,09:52:00,334.55,334.75,334.50,334.70,725
