symbol,date,time,open,high,low,close,volume
DRREDDY,2016-08-31,14:50:00,3094.85,3095.40,3094.65,3095.10,1173
DRREDDY,2016-08-31,14:51:00,3095.10,3095.10,3088.05,3089.05,3852
DRREDDY,2016-08-31,14:52:00,3089.15,3094.10,3087.20,3093.60,1749
DRREDDY,2016-08-31,14:53:00,3094.50,3097.00,3091.20,3096.95,2141
DRREDDY,2016-08-31,14:54:00,3098.20,3098.90,3096.65,3098.15,1494
DRREDDY,2016-08-31,14:55:00,3098.15,3102.35,3098.15,3102.35,2280
DRREDDY,2016-08-31,14:56:00,3102.00,3102.35,3100.00,3100.25,905
DRREDDY,2016-08-31,14:57:00,3100.25,3100.45,3100.00,3100.05,1659
DRREDDY,2016-08-31,14:58:00,3100.05,3100.50,3100.05,3100.30,1561
DRREDDY,2016-08-31,14:59:00,3100.50,3101.75,3100.40,3101.75,1153
DRREDDY,2016-08-31,15:00:00,3101.00,3103.70,3101.00,3102.90,1406
DRREDDY,2016-08-31,15:01:00,3102.40,3102.90,3100.00,3100.15,4067
DRREDDY,2016-08-31,15:02:00,3100.15,3100.15,3097.10,3098.80,10086
DRREDDY,2016-08-31,15:03:00,3098.80,3100.00,3093.60,3094.85,7555
DRREDDY,2016-08-31,15:04:00,3094.80,3094.80,3088.60,3088.75,5851
DRREDDY,2016-08-31,15:05:00,3089.70,3090.50,3089.10,3089.50,7371
DRREDDY,2016-08-31,15:06:00,3089.50,3092.95,3089.40,3092.90,7645
DRREDDY,2016-08-31,15:07:00,3092.90,3092.90,3092.20,3092.20,4796
DRREDDY,2016-08-31,15:08:00,3092.20,3092.20,3086.50,3087.25,5511
DRREDDY,2016-08-31,15:09:00,3087.25,3087.25,3080.40,3081.15,8171
DRREDDY,2016-08-31,15:10:00,3081.10,3081.15,3079.80,3081.15,7832
DRREDDY,2016-08-31,15:11:00,3081.70,3082.00,3081.35,3081.40,7359
DRREDDY,2016-08-31,15:12:00,3081.40,3083.65,3081.35,3083.20,8020
DRREDDY,2016-08-31,15:13:00,3083.15,3084.30,3081.95,3084.20,7587
DRREDDY,2016-08-31,15:14:00,3084.15,3085.25,3083.60,3085.25,6962
DRREDDY,2016-08-31,15:15:00,3086.00,3086.00,3085.00,3085.65,5829
DRREDDY,2016-08-31,15:16:00,3085.35,3085.45,3084.10,3085.00,7787
DRREDDY,2016-08-31,15:17:00,3085.05,3089.95,3085.00,3089.90,6949
DRREDDY,2016-08-31,15:18:00,3089.95,3089.95,3089.05,3089.05,5544
DRREDDY,2016-08-31,15:19:00,3088.95,3093.35,3088.95,3093.15,9476
DRREDDY,2016-08-31,15:20:00,3093.15,3093.15,3090.65,3092.30,6962
DRREDDY,2016-08-31,15:21:00,3092.30,3092.30,3090.00,3090.35,6630
DRREDDY,2016-08-31,15:22:00,3090.30,3090.30,3090.00,3090.05,7891
DRREDDY,2016-08-31,15:23:00,3090.05,3091.00,3090.05,3090.60,7260
DRREDDY,2016-08-31,15:24:00,3090.60,3092.00,3090.00,3092.00,7813
DRREDDY,2016-08-31,15:25:00,3092.10,3095.90,3092.10,3094.55,6094
DRREDDY,2016-08-31,15:26:00,3094.50,3094.55,3094.40,3094.40,6964
DRREDDY,2016-08-31,15:27:00,3094.40,3094.45,3092.00,3092.00,7200
DRREDDY,2016-08-31,15:28:00,3092.00,3096.00,3092.00,3095.95,5718
DRREDDY,2016-08-31,15:29:00,3097.00,3099.35,3092.00,3096.55,6189
DRREDDY,2016-08-31,15:30:00,3095.10,3100.00,3091.65,3095.00,3072
DRREDDY,2016-09-01,09:15:00,3070.05,3070.05,3070.05,3070.05,2
DRREDDY,2016-09-01,09:16:00,3068.25,3078.90,3068.25,3078.90,4617
DRREDDY,2016-09-01,09:17:00,3078.95,3079.00,3068.00,3068.00,2806
DRREDDY,2016-09-01,09:18:00,3066.30,3073.85,3066.30,3073.85,1300
DRREDDY,2016-09-01,09:19:00,3073.20,3076.00,3073.20,3076.00,1556
DRREDDY,2016-09-01,09:20:00,3076.00,3076.00,3071.00,3071.00,2497
DRREDDY,2016-09-01,09:21:00,3072.95,3074.55,3071.65,3074.45,1338
DRREDDY,2016-09-01,09:22:00,3074.45,3077.95,3073.20,3074.90,806
DRREDDY,2016-09-01,09:23:00,3074.00,3075.75,3073.10,3075.75,266
DRREDDY,2016-09-01,09:24:00,3075.75,3078.75,3075.60,3078.75,329
DRREDDY,2016-09-01,09:25:00,3078.05,3078.05,3070.80,3070.80,751
DRREDDY,2016-09-01,09:26:00,3070.00,3070.00,3068.00,3069.55,1153
DRREDDY,2016-09-01,09:27:00,3068.00,3073.80,3068.00,3073.00,815
DRREDDY,2016-09-01,09:28:00,3073.60,3075.15,3073.30,3075.15,876
DRREDDY,2016-09-01,09:29:00,3074.00,3075.30,3074.00,3074.55,794
DRREDDY,2016-09-01,09:30:00,3077.00,3077.00,3074.25,3075.15,395
DRREDDY,2016-09-01,09:31:00,3075.00,3075.00,3071.05,3071.05,528
DRREDDY,2016-09-01,09:32:00,3071.00,3071.45,3070.55,3071.00,480
DRREDDY,2016-09-01,09:33:00,3071.00,3073.10,3071.00,3072.30,355
DRREDDY,2016-09-01,09:34:00,3072.65,3072.65,3072.00,3072.05,549
DRREDDY,2016-09-01,09:35:00,3072.05,3073.20,3070.85,3070.85,515
DRREDDY,2016-09-01,09:36:00,3070.85,3070.85,3070.00,3070.05,751
DRREDDY,2016-09-01,09:37:00,3072.00,3076.80,3072.00,3076.70,3620
DRREDDY,2016-09-01,09:38:00,3075.00,3076.55,3074.60,3075.65,671
DRREDDY,2016-09-01,09:39:00,3075.40,3077.40,3075.40,3077.35,538
DRREDDY,2016-09-01,09:40:00,3076.50,3079.00,3076.50,3079.00,2904
DRREDDY,2016-09-01,09:41:00,3077.10,3078.65,3075.25,3075.25,705
DRREDDY,2016-09-01,09:42:00,3075.20,3076.30,3075.00,3076.30,790
DRREDDY,2016-09-01,09:43:00,3075.00,3076.40,3075.00,3075.25,312
DRREDDY,2016-09-01,09:44:00,3075.15,3077.35,3075.10,3075.85,342
DRREDDY,2016-09-01,09:45:00,3075.95,3076.45,3075.00,3075.00,708
DRREDDY,2016-09-01,09:46:00,3075.00,3075.00,3075.00,3075.00,794
DRREDDY,2016-09-01,09:47:00,3075.00,3075.05,3075.00,3075.00,879
DRREDDY,2016-09-01,09:48:00,3075.05,3075.05,3075.00,3075.00,344
DRREDDY,2016-09-01,09:49:00,3075.00,3075.05,3075.00,3075.00,376
DRREDDY,2016-09-01,09:50:00,3075.00,3077.65,3075.00,3077.65,802
DRREDDY,2016-09-01,09:51:00,3077.00,3077.00,3075.45,3076.00,298
DRREDDY,2016-09-01,09:52:00,3076.00,3076.00,3075.00,3075.00,664
DRREDDY,2016-09-01,09:53:00,3075.00,3075.05,3075.00,3075.05,417
DRREDDY,2016-09-01,09:54:00,3075.00,3075.05,3075.00,3075.05,223
