symbol,date,time,open,high,low,close,volume
EICHERMOT,2016-08-31,14:50:00,23002.35,23002.35,22985.80,22992.05,522
EICHERMOT,2016-08-31,14:51:00,22991.95,22992.20,22957.00,22957.00,107
EICHERMOT,2016-08-31,14:52:00,22950.50,22960.80,22942.20,22944.20,118
EICHERMOT,2016-08-31,14:53:00,22944.20,22975.45,22943.30,22972.65,130
EICHERMOT,2016-08-31,14:54:00,22970.75,22972.05,22956.30,22956.40,86
EICHERMOT,2016-08-31,14:55:00,22956.40,22964.40,22956.30,22964.40,25
EICHERMOT,2016-08-31,14:56:00,22964.40,22989.80,22964.25,22987.85,94
EICHERMOT,2016-08-31,14:57:00,22987.85,22987.85,22942.30,22944.00,216
EICHERMOT,2016-08-31,14:58:00,22944.00,22944.00,22901.00,22901.00,440
EICHERMOT,2016-08-31,14:59:00,22904.95,22904.95,22900.00,22901.10,433
EICHERMOT,2016-08-31,15:00:00,22901.80,22920.55,22901.80,22903.45,375
EICHERMOT,2016-08-31,15:01:00,22903.35,22903.40,22903.25,22903.35,2192
EICHERMOT,2016-08-31,15:02:00,22903.35,22903.35,22896.30,22896.30,1860
EICHERMOT,2016-08-31,15:03:00,22896.30,22896.90,22874.35,22875.50,1717
EICHERMOT,2016-08-31,15:04:00,22875.50,22875.50,22842.00,22848.30,2089
EICHERMOT,2016-08-31,15:05:00,22848.15,22848.15,22811.85,22813.15,2337
EICHERMOT,2016-08-31,15:06:00,22819.00,22819.00,22775.05,22775.05,1742
EICHERMOT,2016-08-31,15:07:00,22767.60,22774.95,22730.75,22730.75,2019
EICHERMOT,2016-08-31,15:08:00,22733.65,22733.65,22695.80,22695.80,2326
EICHERMOT,2016-08-31,15:09:00,22695.00,22695.00,22666.50,22673.55,2116
EICHERMOT,2016-08-31,15:10:00,22673.55,22673.55,22670.40,22670.95,1759
EICHERMOT,2016-08-31,15:11:00,22670.90,22670.90,22668.90,22669.85,2146
EICHERMOT,2016-08-31,15:12:00,22669.85,22750.00,22669.85,22749.95,2349
EICHERMOT,2016-08-31,15:13:00,22751.40,22792.90,22749.35,22773.90,1920
EICHERMOT,2016-08-31,15:14:00,22776.50,22776.50,22749.55,22749.60,2748
EICHERMOT,2016-08-31,15:15:00,22749.20,22749.20,22708.75,22710.95,2100
EICHERMOT,2016-08-31,15:16:00,22710.35,22735.50,22706.55,22735.50,3622
EICHERMOT,2016-08-31,15:17:00,22733.95,22765.15,22733.95,22756.90,2129
EICHERMOT,2016-08-31,15:18:00,22757.00,22757.00,22756.65,22756.70,1918
EICHERMOT,2016-08-31,15:19:00,22756.70,22756.80,22754.00,22754.00,2147
