symbol,date,time,open,high,low,close,volume
GAIL,2016-08-31,14:50:00,386.95,387.75,386.95,387.50,3549
GAIL,2016-08-31,14:51:00,387.55,387.60,387.05,387.15,1271
GAIL,2016-08-31,14:52:00,387.40,388.00,387.15,387.75,5287
GAIL,2016-08-31,14:53:00,387.75,388.00,387.65,387.85,2825
GAIL,2016-08-31,14:54:00,388.00,388.00,387.35,387.55,3114
GAIL,2016-08-31,14:55:00,387.75,387.85,387.15,387.15,8616
GAIL,2016-08-31,14:56:00,387.30,387.65,387.25,387.65,1471
GAIL,2016-08-31,14:57:00,387.75,387.90,387.15,387.15,3123
GAIL,2016-08-31,14:58:00,387.45,387.75,387.25,387.65,1160
GAIL,2016-08-31,14:59:00,387.80,387.85,387.50,387.75,6872
GAIL,2016-08-31,15:00:00,387.85,388.00,387.60,388.00,3158
GAIL,2016-08-31,15:01:00,387.90,388.00,386.95,386.95,23178
GAIL,2016-08-31,15:02:00,386.85,386.85,385.80,385.80,24176
GAIL,2016-08-31,15:03:00,385.80,386.40,385.75,386.30,29671
GAIL,2016-08-31,15:04:00,386.30,386.30,385.35,385.45,38795
GAIL,2016-08-31,15:05:00,385.40,386.50,385.35,386.10,31423
GAIL,2016-08-31,15:06:00,386.05,386.35,385.80,386.15,30922
GAIL,2016-08-31,15:07:00,386.05,386.05,386.00,386.05,18627
GAIL,2016-08-31,15:08:00,386.00,386.05,385.55,385.55,36378
GAIL,2016-08-31,15:09:00,385.60,385.60,384.30,384.30,32604
GAIL,2016-08-31,15:10:00,384.35,384.35,384.10,384.25,24788
GAIL,2016-08-31,15:11:00,384.25,384.40,384.00,384.05,23671
GAIL,2016-08-31,15:12:00,384.00,384.05,383.60,383.65,26670
GAIL,2016-08-31,15:13:00,383.65,383.65,383.25,383.60,26680
GAIL,2016-08-31,15:14:00,383.60,383.60,383.20,383.30,27683
GAIL,2016-08-31,15:15:00,383.30,383.30,382.90,382.90,15326
GAIL,2016-08-31,15:16:00,382.90,382.90,382.20,382.40,32749
GAIL,2016-08-31,15:17:00,382.45,382.55,382.05,382.15,28808
GAIL,2016-08-31,15:18:00,382.25,382.40,382.15,382.25,22598
GAIL,2016-08-31,15:19:00,382.20,382.20,381.80,382.00,24756
GAIL,2016-08-31,15:20:00,382.00,383.50,382.00,383.50,24107
GAIL,2016-08-31,15:21:00,383.50,383.55,382.20,382.55,26851
GAIL,2016-08-31,15:22:00,382.55,382.55,382.00,382.25,27265
GAIL,2016-08-31,15:23:00,382.35,382.45,382.00,382.15,26964
GAIL,2016-08-31,15:24:00,382.10,382.25,382.00,382.10,17166
GAIL,2016-08-31,15:25:00,382.10,382.45,382.00,382.30,29689
GAIL,2016-08-31,15:26:00,382.30,382.40,382.00,382.10,24258
GAIL,2016-08-31,15:27:00,382.10,382.20,382.05,382.10,22524
GAIL,2016-08-31,15:28:00,382.00,382.75,381.80,382.75,15223
GAIL,2016-08-31,15:29:00,382.80,383.60,382.50,383.60,17357
GAIL,2016-08-31,15:30:00,383.10,383.60,382.80,382.80,3757
GAIL,2016-09-01,09:16:00,383.10,383.80,383.10,383.50,2106
GAIL,2016-09-01,09:17:00,383.60,383.80,383.60,383.80,3165
GAIL,2016-09-01,09:18:00,383.80,384.90,383.80,384.90,5402
GAIL,2016-09-01,09:19:00,384.90,385.15,384.75,385.15,3716
GAIL,2016-09-01,09:20:00,385.15,385.40,385.00,385.10,3881
GAIL,2016-09-01,09:21:00,385.20,385.90,385.15,385.65,6913
GAIL,2016-09-01,09:22:00,385.65,385.80,385.40,385.50,2177
GAIL,2016-09-01,09:23:00,385.40,385.65,385.25,385.50,1140
GAIL,2016-09-01,09:24:00,385.45,385.80,385.00,385.10,4179
GAIL,2016-09-01,09:25:00,385.00,385.80,385.00,385.50,5735
GAIL,2016-09-01,09:26:00,385.15,385.55,385.00,385.55,2251
GAIL,2016-09-01,09:27:00,385.65,385.80,385.65,385.80,1827
GAIL,2016-09-01,09:28:00,385.95,386.00,385.75,385.75,1617
GAIL,2016-09-01,09:29:00,385.75,385.95,385.70,385.80,994
GAIL,2016-09-01,09:30:00,385.80,385.95,385.75,385.90,3696
GAIL,2016-09-01,09:31:00,385.95,386.05,385.75,386.05,3505
GAIL,2016-09-01,09:32:00,386.10,386.80,386.10,386.75,14575
GAIL,2016-09-01,09:33:00,386.75,387.60,386.45,386.80,23568
GAIL,2016-09-01,09:34:00,386.80,387.60,386.60,387.60,13073
GAIL,2016-09-01,09:35:00,387.60,388.45,387.35,388.45,7983
GAIL,2016-09-01,09:36:00,388.45,388.65,388.20,388.60,17892
GAIL,2016-09-01,09:37:00,388.60,388.90,388.55,388.75,8513
GAIL,2016-09-01,09:38:00,388.75,388.95,388.70,388.75,8509
GAIL,2016-09-01,09:39:00,388.75,388.85,388.35,388.45,4165
GAIL,2016-09-01,09:40:00,388.50,388.80,388.45,388.55,7016
GAIL,2016-09-01,09:41:00,388.45,388.80,388.30,388.80,3377
GAIL,2016-09-01,09:42:00,388.60,388.85,388.45,388.50,6959
GAIL,2016-09-01,09:43:00,388.50,388.50,388.20,388.30,2330
GAIL,2016-09-01,09:44:00,388.20,388.35,387.70,387.70,3151
GAIL,2016-09-01,09:45:00,387.75,387.75,387.05,387.20,2852
GAIL,2016-09-01,09:46:00,387.20,387.30,386.45,387.05,10927
GAIL,2016-09-01,09:47:00,387.15,388.00,387.15,387.85,5998
GAIL,2016-09-01,09:48:00,387.90,388.10,387.25,388.05,19179
GAIL,2016-09-01,09:49:00,388.00,388.10,387.60,387.95,4895
GAIL,2016-09-01,09:50:00,387.95,388.20,387.90,388.10,1021
GAIL,2016-09-01,09:51:00,388.10,388.15,388.00,388.00,675
