symbol,date,time,open,high,low,close,volume
HDFC,2016-08-31,14:50:00,1402.00,1402.00,1400.45,1400.55,5650
HDFC,2016-08-31,14:51:00,1400.55,1400.55,1400.00,1400.20,12166
HDFC,2016-08-31,14:52:00,1400.20,1400.30,1399.40,1400.15,37866
HDFC,2016-08-31,14:53:00,1400.00,1400.75,1400.00,1400.75,26590
HDFC,2016-08-31,14:54:00,1401.25,1401.25,1400.00,1400.00,9697
HDFC,2016-08-31,14:55:00,1400.20,1400.95,1400.15,1400.60,7125
HDFC,2016-08-31,14:56:00,1400.65,1401.45,1400.60,1401.20,9508
HDFC,2016-08-31,14:57:00,1401.20,1401.30,1401.00,1401.10,7780
HDFC,2016-08-31,14:58:00,1401.05,1401.20,1401.00,1401.05,5823
HDFC,2016-08-31,14:59:00,1401.05,1401.95,1401.00,1401.35,10428
HDFC,2016-08-31,15:00:00,1402.00,1402.00,1401.00,1401.10,9745
HDFC,2016-08-31,15:01:00,1401.10,1401.10,1401.00,1401.00,74105
HDFC,2016-08-31,15:02:00,1401.05,1401.05,1401.00,1401.05,68093
HDFC,2016-08-31,15:03:00,1401.00,1401.10,1400.95,1401.05,87168
HDFC,2016-08-31,15:04:00,1401.00,1401.05,1401.00,1401.05,98939
HDFC,2016-08-31,15:05:00,1401.05,1401.10,1401.00,1401.05,80133
HDFC,2016-08-31,15:06:00,1401.10,1401.10,1401.00,1401.00,83718
HDFC,2016-08-31,15:07:00,1401.00,1401.05,1401.00,1401.05,92401
HDFC,2016-08-31,15:08:00,1401.05,1401.10,1400.95,1401.10,74387
HDFC,2016-08-31,15:09:00,1401.10,1403.85,1401.10,1403.45,71518
HDFC,2016-08-31,15:10:00,1404.00,1404.50,1403.45,1404.50,72898
HDFC,2016-08-31,15:11:00,1404.50,1405.00,1404.50,1404.95,70839
HDFC,2016-08-31,15:12:00,1404.95,1405.60,1404.95,1405.10,74503
HDFC,2016-08-31,15:13:00,1405.15,1405.40,1405.15,1405.20,56954
HDFC,2016-08-31,15:14:00,1405.30,1405.30,1405.20,1405.25,73475
HDFC,2016-08-31,15:15:00,1405.20,1406.00,1405.20,1406.00,75375
HDFC,2016-08-31,15:16:00,1406.20,1406.35,1406.00,1406.35,69218
HDFC,2016-08-31,15:17:00,1406.35,1406.40,1406.35,1406.40,59897
HDFC,2016-08-31,15:18:00,1406.35,1406.40,1406.30,1406.35,80543
