symbol,date,time,open,high,low,close,volume
HDFCBANK,2016-08-31,14:50:00,1288.95,1289.20,1288.10,1288.90,6871
HDFCBANK,2016-08-31,14:51:00,1289.00,1289.30,1288.60,1289.30,8951
HDFCBANK,2016-08-31,14:52:00,1289.45,1289.45,1288.45,1289.45,13284
HDFCBANK,2016-08-31,14:53:00,1289.45,1290.65,1289.00,1290.15,40346
HDFCBANK,2016-08-31,14:54:00,1290.65,1290.65,1289.90,1290.00,7423
HDFCBANK,2016-08-31,14:55:00,1290.00,1290.40,1289.55,1290.00,8014
HDFCBANK,2016-08-31,14:56:00,1290.35,1290.40,1290.00,1290.25,7570
HDFCBANK,2016-08-31,14:57:00,1290.40,1290.40,1289.65,1290.30,7296
HDFCBANK,2016-08-31,14:58:00,1290.15,1290.30,1289.95,1290.25,14731
HDFCBANK,2016-08-31,14:59:00,1290.25,1290.25,1289.95,1290.20,10274
HDFCBANK,2016-08-31,15:00:00,1290.40,1290.40,1290.00,1290.00,15729
HDFCBANK,2016-08-31,15:01:00,1290.60,1290.60,1289.55,1290.00,19504
HDFCBANK,2016-08-31,15:02:00,1290.50,1290.50,1289.75,1290.00,10862
HDFCBANK,2016-08-31,15:03:00,1290.55,1290.55,1289.60,1290.50,15049
HDFCBANK,2016-08-31,15:04:00,1290.65,1290.65,1289.70,1290.20,9149
HDFCBANK,2016-08-31,15:05:00,1290.30,1290.30,1289.55,1290.10,9335
HDFCBANK,2016-08-31,15:06:00,1290.00,1290.25,1287.25,1287.40,7999
HDFCBANK,2016-08-31,15:07:00,1287.95,1288.80,1287.00,1288.35,19906
HDFCBANK,2016-08-31,15:08:00,1289.10,1289.35,1287.80,1288.25,20576
HDFCBANK,2016-08-31,15:09:00,1288.00,1288.80,1287.55,1288.80,11127
HDFCBANK,2016-08-31,15:10:00,1288.80,1289.45,1288.10,1289.35,8106
HDFCBANK,2016-08-31,15:11:00,1289.80,1289.80,1288.80,1289.75,6490
HDFCBANK,2016-08-31,15:12:00,1289.80,1290.45,1288.80,1288.80,11682
HDFCBANK,2016-08-31,15:13:00,1289.00,1289.15,1287.30,1289.10,22069
HDFCBANK,2016-08-31,15:14:00,1289.00,1290.70,1289.00,1289.60,21164
HDFCBANK,2016-08-31,15:15:00,1290.35,1290.35,1289.45,1290.30,11698
HDFCBANK,2016-08-31,15:16:00,1290.00,1290.80,1288.55,1289.35,15289
HDFCBANK,2016-08-31,15:17:00,1289.95,1290.40,1289.05,1290.40,7124
HDFCBANK,2016-08-31,15:18:00,1290.40,1290.60,1289.90,1290.55,18175
HDFCBANK,2016-08-31,15:19:00,1290.50,1290.80,1290.35,1290.80,10562
HDFCBANK,2016-08-31,15:20:00,1290.80,1291.55,1290.50,1291.50,3705
HDFCBANK,2016-08-31,15:21:00,1291.50,1291.85,1291.00,1291.60,10176
HDFCBANK,2016-08-31,15:22:00,1291.60,1292.80,1291.50,1292.75,15161
HDFCBANK,2016-08-31,15:23:00,1292.75,1293.55,1292.50,1292.95,11555
HDFCBANK,2016-08-31,15:24:00,1293.00,1293.50,1292.25,1292.65,13077
HDFCBANK,2016-08-31,15:25:00,1293.20,1293.35,1291.50,1292.60,7027
HDFCBANK,2016-08-31,15:26:00,1292.85,1294.90,1291.75,1294.40,53887
HDFCBANK,2016-08-31,15:27:00,1294.40,1295.00,1293.70,1293.85,47121
HDFCBANK,2016-08-31,15:28:00,1294.00,1294.00,1291.80,1291.80,7277
HDFCBANK,2016-08-31,15:29:00,1291.70,1293.80,1290.00,1292.45,59798
HDFCBANK,2016-08-31,15:30:00,1292.60,1293.05,1289.15,1291.00,21961
HDFCBANK,2016-09-01,09:15:00,1287.40,1287.40,1287.40,1287.40,54
HDFCBANK,2016-09-01,09:16:00,1286.55,1286.95,1284.70,1285.00,6657
HDFCBANK,2016-09-01,09:17:00,1284.95,1284.95,1279.40,1280.00,5658
HDFCBANK,2016-09-01,09:18:00,1280.00,1280.90,1279.90,1280.90,2274
HDFCBANK,2016-09-01,09:19:00,1280.95,1282.25,1280.95,1281.95,2337
HDFCBANK,2016-09-01,09:20:00,1281.80,1282.35,1281.25,1281.60,4400
HDFCBANK,2016-09-01,09:21:00,1281.40,1283.00,1281.30,1282.80,3083
HDFCBANK,2016-09-01,09:22:00,1282.90,1284.45,1282.85,1284.00,4458
HDFCBANK,2016-09-01,09:23:00,1284.00,1284.00,1282.40,1283.00,5035
HDFCBANK,2016-09-01,09:24:00,1282.75,1283.10,1282.10,1282.70,3500
HDFCBANK,2016-09-01,09:25:00,1282.75,1282.75,1282.00,1282.45,2005
HDFCBANK,2016-09-01,09:26:00,1282.45,1284.50,1282.40,1284.00,1706
HDFCBANK,2016-09-01,09:27:00,1284.00,1284.80,1283.40,1284.80,2547
HDFCBANK,2016-09-01,09:28:00,1283.20,1284.70,1283.20,1284.00,5586
HDFCBANK,2016-09-01,09:29:00,1284.00,1284.45,1283.40,1283.40,2847
HDFCBANK,2016-09-01,09:30:00,1283.80,1283.80,1280.95,1282.05,14167
HDFCBANK,2016-09-01,09:31:00,1281.30,1282.50,1281.15,1281.50,2521
HDFCBANK,2016-09-01,09:32:00,1281.50,1282.00,1281.50,1281.95,891
HDFCBANK,2016-09-01,09:33:00,1281.95,1281.95,1281.25,1281.95,1580
HDFCBANK,2016-09-01,09:34:00,1281.95,1281.95,1281.00,1281.55,2138
HDFCBANK,2016-09-01,09:35:00,1281.50,1281.50,1280.15,1280.90,3463
HDFCBANK,2016-09-01,09:36:00,1280.90,1280.90,1280.15,1280.20,1568
HDFCBANK,2016-09-01,09:37:00,1280.10,1280.90,1280.00,1280.40,1094
HDFCBANK,2016-09-01,09:38:00,1281.00,1281.00,1279.45,1279.80,2788
HDFCBANK,2016-09-01,09:39:00,1279.80,1280.00,1279.00,1279.35,2914
HDFCBANK,2016-09-01,09:40:00,1279.90,1280.25,1279.70,1279.90,2517
HDFCBANK,2016-09-01,09:41:00,1279.85,1280.20,1279.35,1279.60,1952
HDFCBANK,2016-09-01,09:42:00,1280.00,1280.20,1279.25,1279.95,4249
HDFCBANK,2016-09-01,09:43:00,1279.50,1279.90,1279.40,1279.40,4130
HDFCBANK,2016-09-01,09:44:00,1279.40,1279.80,1279.20,1279.55,2101
HDFCBANK,2016-09-01,09:45:00,1279.30,1280.30,1279.30,1280.30,5360
HDFCBANK,2016-09-01,09:46:00,1280.05,1280.95,1280.00,1280.00,5214
HDFCBANK,2016-09-01,09:47:00,1280.00,1280.40,1279.25,1279.25,3926
HDFCBANK,2016-09-01,09:48:00,1279.15,1279.45,1278.75,1278.80,3620
HDFCBANK,2016-09-01,09:49:00,1278.25,1278.70,1277.50,1277.85,1346
HDFCBANK,2016-09-01,09:50:00,1278.00,1278.75,1276.40,1276.40,7781
HDFCBANK,2016-09-01,09:51:00,1276.20,1277.15,1276.00,1277.10,13807
HDFCBANK,2016-09-01,09:52:00,1277.25,1277.65,1276.30,1277.00,2544
HDFCBANK,2016-09-01,09:53:00,1276.95,1278.00,1276.95,1277.20,2012
HDFCBANK,2016-09-01,09:54:00,1277.40,1277.90,1276.75,1277.20,2170
HDFCBANK,2016-09-01,09:55:00,1277.80,1277.90,1277.25,1277.70,3378
HDFCBANK,2016-09-01,09:56:00,1277.90,1277.90,1277.20,1277.20,3128
HDFCBANK,2016-09-01,09:57:00,1277.50,1277.50,1276.80,1277.00,1115
HDFCBANK,2016-09-01,09:58:00,1277.00,1277.05,1276.35,1276.60,4282
HDFCBANK,2016-09-01,09:59:00,1277.05,1277.20,1276.40,1276.70,1327
HDFCBANK,2016-09-01,10:00:00,1276.95,1277.00,1276.55,1277.00,2681
HDFCBANK,2016-09-01,10:01:00,1276.70,1277.00,1276.70,1276.95,2169
HDFCBANK,2016-09-01,10:02:00,1276.95,1277.85,1276.50,1277.00,9346
HDFCBANK,2016-09-01,10:03:00,1277.00,1277.00,1276.60,1277.00,2025
HDFCBANK,2016-09-01,10:04:00,1277.00,1277.00,1276.80,1277.00,996
HDFCBANK,2016-09-01,10:05:00,1277.00,1277.60,1276.50,1277.10,5683
HDFCBANK,2016-09-01,10:06:00,1277.70,1278.10,1277.45,1277.45,2940
HDFCBANK,2016-09-01,10:07:00,1278.15,1278.65,1277.75,1278.00,2183
HDFCBANK,2016-09-01,10:08:00,1277.75,1278.25,1277.20,1277.95,1160
HDFCBANK,2016-09-01,10:09:00,1277.95,1277.95,1277.25,1277.75,949
HDFCBANK,2016-09-01,10:10:00,1277.95,1277.95,1277.20,1277.85,415
HDFCBANK,2016-09-01,10:11:00,1277.85,1278.70,1277.85,1278.50,1840
HDFCBANK,2016-09-01,10:12:00,1278.85,1279.20,1278.30,1278.30,767
HDFCBANK,2016-09-01,10:13:00,1278.30,1279.25,1278.30,1279.25,1459
HDFCBANK,2016-09-01,10:14:00,1278.75,1279.25,1278.60,1279.00,549
HDFCBANK,2016-09-01,10:15:00,1279.00,1279.35,1278.50,1279.00,2584
HDFCBANK,2016-09-01,10:16:00,1279.05,1279.35,1279.05,1279.10,296
HDFCBANK,2016-09-01,10:17:00,1279.35,1279.95,1279.00,1279.45,8356
HDFCBANK,2016-09-01,10:18:00,1279.40,1279.50,1279.00,1279.40,1813
HDFCBANK,2016-09-01,10:19:00,1279.35,1279.35,1279.00,1279.00,1999
HDFCBANK,2016-09-01,10:20:00,1279.00,1280.00,1279.00,1280.00,1729
HDFCBANK,2016-09-01,10:21:00,1280.00,1280.50,1280.00,1280.50,2090
HDFCBANK,2016-09-01,10:22:00,1280.15,1281.45,1280.10,1281.00,1754
HDFCBANK,2016-09-01,10:23:00,1281.00,1281.60,1281.00,1281.60,1337
HDFCBANK,2016-09-01,10:24:00,1281.60,1282.90,1281.60,1282.10,2803
HDFCBANK,2016-09-01,10:25:00,1282.70,1282.70,1280.70,1281.10,14773
HDFCBANK,2016-09-01,10:26:00,1281.85,1281.95,1281.35,1281.55,344
HDFCBANK,2016-09-01,10:27:00,1281.55,1281.65,1281.25,1281.30,562
HDFCBANK,2016-09-01,10:28:00,1281.35,1281.65,1281.00,1281.10,1381
HDFCBANK,2016-09-01,10:29:00,1281.10,1281.10,1280.70,1281.00,2789
HDFCBANK,2016-09-01,10:30:00,1280.95,1280.95,1280.70,1280.95,771
HDFCBANK,2016-09-01,10:31:00,1280.90,1280.90,1280.55,1280.70,1686
HDFCBANK,2016-09-01,10:32:00,1280.55,1281.00,1280.55,1281.00,846
HDFCBANK,2016-09-01,10:33:00,1281.05,1282.25,1281.05,1281.05,3663
HDFCBANK,2016-09-01,10:34:00,1281.05,1281.40,1280.95,1281.15,2219
HDFCBANK,2016-09-01,10:35:00,1281.00,1281.40,1280.35,1281.00,2043
HDFCBANK,2016-09-01,10:36:00,1281.20,1281.20,1280.00,1281.00,2041
