symbol,date,time,open,high,low,close,volume
ICICIBANK,2016-08-31,14:50:00,259.00,259.20,259.00,259.10,39487
ICICIBANK,2016-08-31,14:51:00,259.10,259.15,259.00,259.00,28769
ICICIBANK,2016-08-31,14:52:00,259.05,259.40,259.00,259.40,31540
ICICIBANK,2016-08-31,14:53:00,259.45,259.45,259.10,259.40,24092
ICICIBANK,2016-08-31,14:54:00,259.40,259.40,259.25,259.30,24885
ICICIBANK,2016-08-31,14:55:00,259.30,259.40,259.25,259.25,19647
ICICIBANK,2016-08-31,14:56:00,259.40,259.55,259.30,259.55,19249
ICICIBANK,2016-08-31,14:57:00,259.55,259.60,259.40,259.50,33169
ICICIBANK,2016-08-31,14:58:00,259.50,259.55,259.35,259.40,20257
ICICIBANK,2016-08-31,14:59:00,259.50,259.50,259.30,259.50,34786
ICICIBANK,2016-08-31,15:00:00,259.50,259.50,259.25,259.35,45818
ICICIBANK,2016-08-31,15:01:00,259.20,259.30,259.10,259.15,68036
ICICIBANK,2016-08-31,15:02:00,259.15,259.15,258.60,258.65,158094
ICICIBANK,2016-08-31,15:03:00,258.60,258.75,258.50,258.75,117112
ICICIBANK,2016-08-31,15:04:00,258.70,258.70,258.55,258.60,80609
ICICIBANK,2016-08-31,15:05:00,258.55,258.60,258.50,258.60,101082
ICICIBANK,2016-08-31,15:06:00,258.65,258.65,258.40,258.45,94094
ICICIBANK,2016-08-31,15:07:00,258.40,258.40,258.10,258.20,125820
ICICIBANK,2016-08-31,15:08:00,258.40,258.40,257.80,257.80,129651
ICICIBANK,2016-08-31,15:09:00,257.90,258.50,257.80,258.35,119375
ICICIBANK,2016-08-31,15:10:00,258.35,258.45,258.20,258.25,74261
ICICIBANK,2016-08-31,15:11:00,258.25,258.50,258.10,258.20,148909
ICICIBANK,2016-08-31,15:12:00,258.30,258.30,258.10,258.10,97830
ICICIBANK,2016-08-31,15:13:00,258.05,258.20,258.00,258.00,102184
ICICIBANK,2016-08-31,15:14:00,258.05,258.05,257.90,257.90,117532
ICICIBANK,2016-08-31,15:15:00,257.95,257.95,257.55,257.55,131241
ICICIBANK,2016-08-31,15:16:00,257.60,257.70,257.50,257.60,145869
ICICIBANK,2016-08-31,15:17:00,257.65,257.65,257.20,257.30,130240
ICICIBANK,2016-08-31,15:18:00,257.40,257.40,257.10,257.15,114588
ICICIBANK,2016-08-31,15:19:00,257.25,257.25,257.05,257.10,111321
ICICIBANK,2016-08-31,15:20:00,257.10,257.20,257.00,257.10,114740
ICICIBANK,2016-08-31,15:21:00,257.10,257.80,257.05,257.80,167079
ICICIBANK,2016-08-31,15:22:00,257.85,257.95,257.70,257.95,158938
ICICIBANK,2016-08-31,15:23:00,257.90,258.15,257.90,258.05,128911
ICICIBANK,2016-08-31,15:24:00,258.10,258.10,258.00,258.00,109969
ICICIBANK,2016-08-31,15:25:00,258.05,258.10,258.00,258.05,110786
ICICIBANK,2016-08-31,15:26:00,258.05,258.05,257.90,257.90,99239
ICICIBANK,2016-08-31,15:27:00,257.90,258.15,257.90,258.05,114827
ICICIBANK,2016-08-31,15:28:00,258.05,258.15,257.95,258.10,65902
ICICIBANK,2016-08-31,15:29:00,258.10,258.20,257.75,258.05,101807
ICICIBANK,2016-08-31,15:30:00,258.05,258.30,257.80,257.85,50156
ICICIBANK,2016-09-01,09:15:00,259.00,259.00,259.00,259.00,2087
ICICIBANK,2016-09-01,09:16:00,259.00,259.90,258.80,259.60,372920
ICICIBANK,2016-09-01,09:17:00,259.60,260.05,259.40,259.50,297817
ICICIBANK,2016-09-01,09:18:00,259.50,260.00,259.30,260.00,155026
ICICIBANK,2016-09-01,09:19:00,260.00,260.40,259.80,260.40,137209
ICICIBANK,2016-09-01,09:20:00,260.30,260.75,260.10,260.50,160405
ICICIBANK,2016-09-01,09:21:00,260.30,260.65,260.20,260.45,149048
ICICIBANK,2016-09-01,09:22:00,260.50,260.50,260.15,260.40,67752
ICICIBANK,2016-09-01,09:23:00,260.35,260.45,260.05,260.20,60093
ICICIBANK,2016-09-01,09:24:00,260.30,260.40,260.10,260.10,44700
ICICIBANK,2016-09-01,09:25:00,260.25,260.45,260.00,260.00,86402
ICICIBANK,2016-09-01,09:26:00,260.15,260.20,259.95,260.00,152242
ICICIBANK,2016-09-01,09:27:00,260.05,260.15,259.95,260.10,48209
ICICIBANK,2016-09-01,09:28:00,260.15,260.20,259.95,260.05,56516
ICICIBANK,2016-09-01,09:29:00,260.05,260.90,260.00,260.60,178806
