symbol,date,time,open,high,low,close,volume
INDUSINDBK,2016-08-31,14:50:00,1192.60,1192.95,1191.95,1191.95,4059
INDUSINDBK,2016-08-31,14:51:00,1192.00,1192.00,1190.60,1191.15,2756
INDUSINDBK,2016-08-31,14:52:00,1191.00,1191.60,1190.55,1191.60,1993
INDUSINDBK,2016-08-31,14:53:00,1191.60,1191.60,1190.10,1190.10,5494
INDUSINDBK,2016-08-31,14:54:00,1190.10,1190.50,1189.75,1190.00,8322
INDUSINDBK,2016-08-31,14:55:00,1189.90,1190.60,1189.90,1190.00,5041
INDUSINDBK,2016-08-31,14:56:00,1189.60,1190.50,1189.60,1190.50,4270
INDUSINDBK,2016-08-31,14:57:00,1190.50,1190.50,1190.00,1190.30,7044
INDUSINDBK,2016-08-31,14:58:00,1190.45,1190.50,1189.85,1190.40,3117
INDUSINDBK,2016-08-31,14:59:00,1190.40,1190.40,1189.55,1189.70,4503
INDUSINDBK,2016-08-31,15:00:00,1190.50,1190.50,1189.95,1190.00,2093
INDUSINDBK,2016-08-31,15:01:00,1190.00,1190.00,1189.55,1189.90,2596
INDUSINDBK,2016-08-31,15:02:00,1189.90,1190.00,1189.35,1189.55,5007
INDUSINDBK,2016-08-31,15:03:00,1189.55,1190.00,1189.20,1189.20,5841
INDUSINDBK,2016-08-31,15:04:00,1189.20,1189.50,1188.65,1188.70,8590
INDUSINDBK,2016-08-31,15:05:00,1189.20,1189.45,1188.70,1189.45,4802
INDUSINDBK,2016-08-31,15:06:00,1189.45,1189.45,1188.70,1188.70,6371
INDUSINDBK,2016-08-31,15:07:00,1189.00,1189.00,1187.75,1188.45,15110
INDUSINDBK,2016-08-31,15:08:00,1188.45,1188.45,1186.40,1186.50,6894
INDUSINDBK,2016-08-31,15:09:00,1186.45,1186.65,1185.15,1185.15,5334
INDUSINDBK,2016-08-31,15:10:00,1185.15,1186.00,1185.10,1185.70,3846
INDUSINDBK,2016-08-31,15:11:00,1185.85,1186.00,1184.80,1185.50,6234
INDUSINDBK,2016-08-31,15:12:00,1185.50,1186.90,1185.20,1186.80,7785
INDUSINDBK,2016-08-31,15:13:00,1186.55,1187.10,1186.00,1186.15,8344
INDUSINDBK,2016-08-31,15:14:00,1186.40,1186.40,1185.55,1185.55,2359
INDUSINDBK,2016-08-31,15:15:00,1185.60,1185.60,1184.20,1185.00,4538
INDUSINDBK,2016-08-31,15:16:00,1184.55,1186.00,1184.00,1186.00,10222
