symbol,date,time,open,high,low,close,volume
INFY,2016-08-31,14:50:00,1042.70,1042.75,1042.10,1042.25,13124
INFY,2016-08-31,14:51:00,1042.75,1042.75,1042.30,1042.60,4983
INFY,2016-08-31,14:52:00,1043.00,1043.00,1042.55,1042.65,6822
INFY,2016-08-31,14:53:00,1043.20,1043.95,1042.80,1043.95,6707
INFY,2016-08-31,14:54:00,1044.00,1044.00,1043.10,1043.15,12838
INFY,2016-08-31,14:55:00,1043.15,1043.15,1042.70,1042.95,6516
INFY,2016-08-31,14:56:00,1042.95,1043.10,1042.90,1043.10,7574
INFY,2016-08-31,14:57:00,1043.10,1043.10,1043.00,1043.00,8454
INFY,2016-08-31,14:58:00,1043.10,1043.10,1042.70,1042.80,5344
INFY,2016-08-31,14:59:00,1042.80,1042.90,1042.10,1042.70,11484
INFY,2016-08-31,15:00:00,1042.70,1042.80,1042.50,1042.55,16062
INFY,2016-08-31,15:01:00,1042.50,1042.55,1041.90,1041.95,111230
INFY,2016-08-31,15:02:00,1041.95,1043.00,1041.90,1043.00,95820
INFY,2016-08-31,15:03:00,1043.10,1044.20,1043.00,1044.15,107070
INFY,2016-08-31,15:04:00,1044.15,1045.05,1044.05,1045.05,118402
INFY,2016-08-31,15:05:00,1045.00,1045.05,1045.00,1045.00,95912
INFY,2016-08-31,15:06:00,1045.05,1045.05,1045.00,1045.00,80958
INFY,2016-08-31,15:07:00,1045.00,1045.05,1044.85,1044.90,84631
INFY,2016-08-31,15:08:00,1044.85,1044.90,1042.25,1042.60,66117
INFY,2016-08-31,15:09:00,1042.55,1042.55,1041.00,1041.05,84400
INFY,2016-08-31,15:10:00,1041.00,1041.00,1039.45,1039.60,86637
INFY,2016-08-31,15:11:00,1039.50,1039.60,1037.90,1037.90,75236
INFY,2016-08-31,15:12:00,1037.90,1037.95,1037.25,1037.25,71585
INFY,2016-08-31,15:13:00,1037.25,1037.25,1035.60,1036.00,83485
INFY,2016-08-31,15:14:00,1035.95,1036.00,1034.85,1034.85,132874
INFY,2016-08-31,15:15:00,1034.80,1034.85,1033.35,1033.40,67547
INFY,2016-08-31,15:16:00,1033.35,1033.40,1032.70,1032.70,96604
INFY,2016-08-31,15:17:00,1032.70,1032.75,1031.65,1031.65,94070
INFY,2016-08-31,15:18:00,1031.65,1031.65,1030.55,1030.55,68838
INFY,2016-08-31,15:19:00,1030.80,1030.80,1030.35,1030.35,88545
INFY,2016-08-31,15:20:00,1030.35,1030.40,1029.85,1029.85,129854
INFY,2016-08-31,15:21:00,1029.85,1029.90,1029.00,1029.00,83109
INFY,2016-08-31,15:22:00,1029.05,1029.05,1028.50,1028.50,104757
INFY,2016-08-31,15:23:00,1028.55,1028.55,1027.95,1028.00,110814
INFY,2016-08-31,15:24:00,1028.05,1030.75,1028.00,1029.65,134422
INFY,2016-08-31,15:25:00,1030.20,1030.20,1028.75,1028.85,86104
INFY,2016-08-31,15:26:00,1028.95,1029.05,1028.50,1028.55,87397
INFY,2016-08-31,15:27:00,1028.55,1032.85,1028.55,1032.80,88233
INFY,2016-08-31,15:28:00,1032.90,1034.70,1032.75,1034.70,57114
INFY,2016-08-31,15:29:00,1034.30,1034.40,1032.25,1032.60,42164
INFY,2016-08-31,15:30:00,1033.60,1034.20,1032.60,1033.85,11226
INFY,2016-09-01,09:15:00,1037.00,1037.00,1037.00,1037.00,204
INFY,2016-09-01,09:16:00,1038.10,1039.55,1037.00,1037.00,11130
INFY,2016-09-01,09:17:00,1037.25,1037.25,1034.05,1035.10,11194
INFY,2016-09-01,09:18:00,1035.20,1036.80,1034.70,1036.05,5974
INFY,2016-09-01,09:19:00,1035.75,1036.20,1033.25,1034.65,13286
INFY,2016-09-01,09:20:00,1034.20,1035.45,1034.20,1035.00,2827
INFY,2016-09-01,09:21:00,1035.05,1035.60,1034.50,1035.00,3434
INFY,2016-09-01,09:22:00,1035.35,1035.45,1034.00,1034.55,2113
INFY,2016-09-01,09:23:00,1034.55,1034.65,1033.25,1034.15,4712
INFY,2016-09-01,09:24:00,1034.35,1035.30,1034.20,1035.10,3257
INFY,2016-09-01,09:25:00,1035.10,1035.25,1034.20,1034.20,2578
INFY,2016-09-01,09:26:00,1034.35,1034.40,1034.00,1034.00,3617
INFY,2016-09-01,09:27:00,1034.00,1034.60,1034.00,1034.10,3638
INFY,2016-09-01,09:28:00,1034.40,1035.75,1034.20,1035.25,2236
INFY,2016-09-01,09:29:00,1035.30,1035.30,1035.00,1035.25,1593
INFY,2016-09-01,09:30:00,1035.20,1035.25,1034.35,1034.70,3562
INFY,2016-09-01,09:31:00,1034.95,1035.00,1034.30,1034.30,1807
INFY,2016-09-01,09:32:00,1034.30,1034.75,1034.25,1034.50,1151
INFY,2016-09-01,09:33:00,1034.60,1034.85,1034.00,1034.80,863
INFY,2016-09-01,09:34:00,1034.55,1035.20,1034.55,1035.15,2525
INFY,2016-09-01,09:35:00,1035.00,1035.40,1034.85,1035.25,2017
INFY,2016-09-01,09:36:00,1035.25,1035.55,1035.10,1035.55,4169
INFY,2016-09-01,09:37:00,1035.60,1036.80,1035.60,1036.60,2583
INFY,2016-09-01,09:38:00,1036.80,1037.60,1036.75,1037.45,6005
INFY,2016-09-01,09:39:00,1037.40,1037.60,1037.20,1037.25,2908
INFY,2016-09-01,09:40:00,1037.30,1037.45,1037.00,1037.10,2433
INFY,2016-09-01,09:41:00,1037.05,1037.95,1037.00,1037.60,5234
INFY,2016-09-01,09:42:00,1037.60,1038.60,1037.55,1037.60,2661
INFY,2016-09-01,09:43:00,1038.00,1038.00,1036.10,1036.60,3559
INFY,2016-09-01,09:44:00,1036.60,1037.50,1036.60,1036.65,2926
INFY,2016-09-01,09:45:00,1036.90,1037.00,1036.00,1036.00,4085
INFY,2016-09-01,09:46:00,1036.00,1036.20,1035.00,1035.00,3159
INFY,2016-09-01,09:47:00,1035.05,1036.00,1035.00,1035.35,1730
INFY,2016-09-01,09:48:00,1035.25,1035.60,1035.00,1035.05,1531
INFY,2016-09-01,09:49:00,1035.80,1035.80,1035.00,1035.00,1721
INFY,2016-09-01,09:50:00,1035.30,1035.30,1035.00,1035.05,1588
INFY,2016-09-01,09:51:00,1035.00,1035.40,1035.00,1035.10,814
INFY,2016-09-01,09:52:00,1035.10,1035.40,1035.00,1035.05,1210
INFY,2016-09-01,09:53:00,1035.10,1035.10,1034.05,1034.25,1967
INFY,2016-09-01,09:54:00,1034.30,1034.30,1034.00,1034.00,2684
INFY,2016-09-01,09:55:00,1034.20,1034.45,1034.00,1034.25,1271
INFY,2016-09-01,09:56:00,1034.25,1034.30,1034.00,1034.25,1727
INFY,2016-09-01,09:57:00,1034.30,1034.85,1034.15,1034.40,1453
INFY,2016-09-01,09:58:00,1034.80,1034.85,1034.50,1034.50,873
INFY,2016-09-01,09:59:00,1034.75,1034.75,1034.35,1034.35,878
INFY,2016-09-01,10:00:00,1034.40,1034.45,1034.15,1034.25,1244
INFY,2016-09-01,10:01:00,1034.25,1034.25,1034.10,1034.25,1117
INFY,2016-09-01,10:02:00,1034.20,1034.25,1033.55,1034.00,4360
INFY,2016-09-01,10:03:00,1034.05,1034.60,1033.65,1034.15,1811
INFY,2016-09-01,10:04:00,1034.15,1034.55,1034.00,1034.30,1293
INFY,2016-09-01,10:05:00,1034.30,1034.30,1034.25,1034.30,1943
INFY,2016-09-01,10:06:00,1034.30,1034.95,1034.30,1034.65,1484
INFY,2016-09-01,10:07:00,1034.60,1034.65,1034.25,1034.40,3180
INFY,2016-09-01,10:08:00,1034.30,1034.35,1034.20,1034.35,1336
INFY,2016-09-01,10:09:00,1034.35,1034.50,1034.20,1034.50,989
INFY,2016-09-01,10:10:00,1034.50,1034.50,1034.10,1034.20,2423
INFY,2016-09-01,10:11:00,1034.10,1034.35,1034.10,1034.30,1725
INFY,2016-09-01,10:12:00,1034.35,1034.40,1034.10,1034.35,1828
INFY,2016-09-01,10:13:00,1034.10,1034.40,1034.00,1034.10,3035
INFY,2016-09-01,10:14:00,1034.25,1034.40,1034.10,1034.10,566
INFY,2016-09-01,10:15:00,1034.30,1034.40,1034.10,1034.35,2042
INFY,2016-09-01,10:16:00,1034.35,1034.70,1034.30,1034.40,1528
INFY,2016-09-01,10:17:00,1034.40,1034.80,1034.35,1034.80,688
INFY,2016-09-01,10:18:00,1034.80,1034.95,1034.50,1034.90,2003
INFY,2016-09-01,10:19:00,1034.65,1035.25,1034.65,1035.00,1921
INFY,2016-09-01,10:20:00,1035.10,1035.25,1035.00,1035.20,677
INFY,2016-09-01,10:21:00,1035.20,1035.30,1035.00,1035.00,882
INFY,2016-09-01,10:22:00,1035.25,1035.30,1035.10,1035.30,840
INFY,2016-09-01,10:23:00,1035.30,1035.30,1035.25,1035.30,1306
INFY,2016-09-01,10:24:00,1035.25,1035.85,1035.25,1035.50,1204
INFY,2016-09-01,10:25:00,1035.75,1035.75,1035.25,1035.25,1245
INFY,2016-09-01,10:26:00,1035.60,1035.60,1035.25,1035.30,816
INFY,2016-09-01,10:27:00,1035.35,1035.35,1034.10,1034.15,4607
INFY,2016-09-01,10:28:00,1034.15,1034.15,1033.00,1033.10,13434
INFY,2016-09-01,10:29:00,1033.15,1033.80,1033.00,1033.65,4048
INFY,2016-09-01,10:30:00,1033.50,1033.65,1033.15,1033.50,1081
INFY,2016-09-01,10:31:00,1033.50,1033.60,1032.60,1033.50,11493
INFY,2016-09-01,10:32:00,1033.60,1034.30,1033.50,1034.30,12084
INFY,2016-09-01,10:33:00,1034.45,1035.00,1034.10,1034.80,5504
INFY,2016-09-01,10:34:00,1034.80,1034.80,1033.90,1033.90,2267
INFY,2016-09-01,10:35:00,1034.40,1034.40,1033.25,1033.40,1198
INFY,2016-09-01,10:36:00,1033.40,1033.40,1033.00,1033.10,1193
INFY,2016-09-01,10:37:00,1033.05,1033.40,1033.00,1033.15,1342
INFY,2016-09-01,10:38:00,1033.20,1033.40,1033.15,1033.15,727
INFY,2016-09-01,10:39:00,1033.25,1033.90,1033.25,1033.80,1986
INFY,2016-09-01,10:40:00,1033.70,1034.30,1033.70,1034.20,804
INFY,2016-09-01,10:41:00,1034.20,1034.70,1033.55,1034.70,3729
INFY,2016-09-01,10:42:00,1034.70,1034.70,1034.25,1034.45,1572
INFY,2016-09-01,10:43:00,1034.25,1034.85,1034.25,1034.60,2732
INFY,2016-09-01,10:44:00,1034.60,1034.70,1034.50,1034.50,2015
INFY,2016-09-01,10:45:00,1034.70,1034.70,1034.50,1034.65,733
INFY,2016-09-01,10:46:00,1034.65,1034.65,1034.25,1034.50,1501
INFY,2016-09-01,10:47:00,1034.45,1035.00,1034.40,1034.95,6493
INFY,2016-09-01,10:48:00,1034.95,1035.00,1034.70,1034.85,1866
INFY,2016-09-01,10:49:00,1034.75,1035.10,1034.05,1034.05,9157
INFY,2016-09-01,10:50:00,1034.50,1034.50,1033.05,1033.25,5862
INFY,2016-09-01,10:51:00,1033.25,1033.40,1033.05,1033.15,4338
INFY,2016-09-01,10:52:00,1033.25,1034.15,1033.20,1034.00,947
INFY,2016-09-01,10:53:00,1034.15,1034.70,1034.00,1034.70,1110
INFY,2016-09-01,10:54:00,1034.70,1034.75,1034.50,1034.55,1626
INFY,2016-09-01,10:55:00,1034.50,1034.70,1034.00,1034.00,3778
INFY,2016-09-01,10:56:00,1034.15,1034.50,1033.05,1033.35,8767
INFY,2016-09-01,10:57:00,1033.35,1033.70,1033.20,1033.45,1669
INFY,2016-09-01,10:58:00,1033.20,1033.95,1033.20,1033.90,1457
INFY,2016-09-01,10:59:00,1033.75,1034.55,1033.75,1034.45,1451
INFY,2016-09-01,11:00:00,1034.45,1034.45,1033.15,1033.15,886
INFY,2016-09-01,11:01:00,1033.35,1034.00,1033.35,1034.00,2049
INFY,2016-09-01,11:02:00,1033.45,1034.05,1033.45,1033.65,738
INFY,2016-09-01,11:03:00,1033.70,1034.00,1033.55,1033.80,772
INFY,2016-09-01,11:04:00,1034.00,1034.00,1033.35,1033.75,1103
INFY,2016-09-01,11:05:00,1033.95,1034.00,1033.15,1033.45,1687
INFY,2016-09-01,11:06:00,1033.45,1033.50,1033.20,1033.45,1128
INFY,2016-09-01,11:07:00,1033.40,1033.85,1033.40,1033.85,2126
INFY,2016-09-01,11:08:00,1033.85,1034.20,1033.55,1033.60,1020
INFY,2016-09-01,11:09:00,1033.60,1034.15,1033.40,1034.10,896
INFY,2016-09-01,11:10:00,1034.10,1034.30,1033.90,1034.00,3044
INFY,2016-09-01,11:11:00,1034.15,1034.40,1033.90,1034.40,1979
INFY,2016-09-01,11:12:00,1034.40,1034.40,1033.50,1033.95,2440
INFY,2016-09-01,11:13:00,1033.95,1034.30,1033.45,1033.90,1729
INFY,2016-09-01,11:14:00,1033.90,1034.15,1033.80,1034.10,843
INFY,2016-09-01,11:15:00,1034.10,1034.10,1033.55,1034.00,418
INFY,2016-09-01,11:16:00,1034.00,1034.15,1033.70,1033.85,563
INFY,2016-09-01,11:17:00,1033.85,1033.85,1033.50,1033.75,711
INFY,2016-09-01,11:18:00,1033.75,1034.10,1033.50,1033.50,1504
INFY,2016-09-01,11:19:00,1033.80,1033.80,1033.45,1033.70,1663
INFY,2016-09-01,11:20:00,1033.65,1033.70,1033.00,1033.60,4059
INFY,2016-09-01,11:21:00,1033.60,1033.60,1032.45,1032.90,6797
INFY,2016-09-01,11:22:00,1032.55,1033.15,1032.45,1032.50,3901
INFY,2016-09-01,11:23:00,1032.50,1032.55,1032.00,1032.25,8240
INFY,2016-09-01,11:24:00,1032.30,1032.70,1032.15,1032.70,1339
INFY,2016-09-01,11:25:00,1032.70,1032.70,1032.45,1032.65,1304
INFY,2016-09-01,11:26:00,1032.65,1032.70,1032.50,1032.70,1072
INFY,2016-09-01,11:27:00,1032.70,1032.70,1032.50,1032.60,1488
INFY,2016-09-01,11:28:00,1032.70,1033.10,1032.55,1032.90,1328
INFY,2016-09-01,11:29:00,1032.85,1033.40,1032.30,1032.90,2830
INFY,2016-09-01,11:30:00,1033.00,1033.00,1032.40,1032.40,3083
INFY,2016-09-01,11:31:00,1032.55,1033.15,1032.55,1032.65,3350
INFY,2016-09-01,11:32:00,1032.55,1032.80,1032.05,1032.60,4282
INFY,2016-09-01,11:33:00,1032.20,1033.00,1032.00,1032.70,8459
INFY,2016-09-01,11:34:00,1032.75,1034.00,1032.60,1033.90,7687
INFY,2016-09-01,11:35:00,1033.45,1034.30,1032.05,1032.35,6384
INFY,2016-09-01,11:36:00,1032.35,1033.15,1032.00,1033.05,3467
INFY,2016-09-01,11:37:00,1033.05,1033.75,1033.05,1033.75,578
INFY,2016-09-01,11:38:00,1033.70,1034.45,1033.70,1034.20,1120
INFY,2016-09-01,11:39:00,1034.10,1034.25,1034.00,1034.10,767
INFY,2016-09-01,11:40:00,1034.20,1034.20,1033.50,1033.85,2398
INFY,2016-09-01,11:41:00,1033.85,1034.00,1033.20,1034.00,3258
INFY,2016-09-01,11:42:00,1033.95,1033.95,1033.15,1033.35,1553
INFY,2016-09-01,11:43:00,1033.35,1034.00,1033.35,1033.95,2826
INFY,2016-09-01,11:44:00,1033.95,1034.20,1033.90,1034.00,1057
INFY,2016-09-01,11:45:00,1034.00,1034.20,1033.60,1033.85,653
INFY,2016-09-01,11:46:00,1033.85,1033.95,1033.30,1033.65,504
INFY,2016-09-01,11:47:00,1033.85,1033.85,1033.05,1033.25,764
INFY,2016-09-01,11:48:00,1033.25,1033.25,1033.00,1033.20,561
INFY,2016-09-01,11:49:00,1033.55,1033.80,1033.05,1033.35,511
INFY,2016-09-01,11:50:00,1033.50,1034.00,1033.50,1034.00,1369
INFY,2016-09-01,11:51:00,1034.00,1034.10,1032.95,1032.95,4151
INFY,2016-09-01,11:52:00,1032.90,1032.95,1032.10,1032.70,4372
INFY,2016-09-01,11:53:00,1032.75,1033.15,1032.70,1032.80,1347
INFY,2016-09-01,11:54:00,1032.80,1032.80,1032.50,1032.80,1109
INFY,2016-09-01,11:55:00,1033.15,1033.50,1032.80,1033.20,1753
INFY,2016-09-01,11:56:00,1033.30,1033.90,1033.20,1033.90,985
INFY,2016-09-01,11:57:00,1034.00,1034.95,1033.90,1034.25,4446
INFY,2016-09-01,11:58:00,1034.70,1035.00,1034.40,1034.60,2647
INFY,2016-09-01,11:59:00,1034.80,1035.00,1034.60,1034.85,1449
INFY,2016-09-01,12:00:00,1034.95,1035.65,1034.95,1035.60,2054
INFY,2016-09-01,12:01:00,1035.60,1035.65,1035.00,1035.55,3549
INFY,2016-09-01,12:02:00,1035.10,1035.50,1035.00,1035.10,1915
INFY,2016-09-01,12:03:00,1035.65,1035.65,1035.20,1035.60,976
INFY,2016-09-01,12:04:00,1035.60,1035.60,1035.05,1035.40,1609
INFY,2016-09-01,12:05:00,1035.35,1035.40,1035.15,1035.25,937
INFY,2016-09-01,12:06:00,1035.25,1035.40,1035.20,1035.35,1340
INFY,2016-09-01,12:07:00,1035.35,1035.35,1035.15,1035.35,905
INFY,2016-09-01,12:08:00,1035.30,1035.65,1035.25,1035.65,1264
INFY,2016-09-01,12:09:00,1035.50,1035.85,1035.50,1035.85,2190
