symbol,date,time,open,high,low,close,volume
LT,2016-08-31,14:50:00,1513.20,1513.95,1512.00,1512.90,15679
LT,2016-08-31,14:51:00,1512.90,1512.90,1511.20,1512.00,15261
LT,2016-08-31,14:52:00,1512.80,1514.00,1511.60,1514.00,13593
LT,2016-08-31,14:53:00,1514.00,1514.45,1512.25,1514.05,14462
LT,2016-08-31,14:54:00,1514.40,1515.00,1513.85,1514.20,21040
LT,2016-08-31,14:55:00,1514.95,1516.70,1514.20,1516.50,25663
LT,2016-08-31,14:56:00,1517.00,1517.95,1516.50,1517.90,15987
LT,2016-08-31,14:57:00,1517.80,1517.90,1516.00,1516.75,9656
LT,2016-08-31,14:58:00,1516.95,1516.95,1515.05,1515.50,25899
LT,2016-08-31,14:59:00,1515.50,1516.05,1515.00,1516.05,9193
LT,2016-08-31,15:00:00,1516.25,1517.00,1516.00,1516.05,8116
LT,2016-08-31,15:01:00,1516.65,1516.65,1515.45,1515.55,21372
LT,2016-08-31,15:02:00,1515.55,1515.55,1514.35,1514.55,17952
LT,2016-08-31,15:03:00,1514.55,1514.95,1513.10,1513.35,30994
LT,2016-08-31,15:04:00,1513.20,1513.25,1511.05,1511.40,25214
LT,2016-08-31,15:05:00,1511.45,1512.10,1510.95,1512.10,30078
LT,2016-08-31,15:06:00,1512.10,1512.85,1512.00,1512.00,16306
LT,2016-08-31,15:07:00,1512.00,1512.00,1511.00,1511.10,21406
LT,2016-08-31,15:08:00,1511.15,1511.15,1510.00,1510.10,20622
LT,2016-08-31,15:09:00,1510.10,1510.75,1509.90,1510.70,26849
LT,2016-08-31,15:10:00,1510.70,1510.70,1510.20,1510.35,20461
LT,2016-08-31,15:11:00,1510.35,1514.00,1510.10,1514.00,26329
LT,2016-08-31,15:12:00,1514.10,1516.40,1514.10,1516.15,31726
LT,2016-08-31,15:13:00,1516.20,1517.60,1516.15,1517.45,29929
LT,2016-08-31,15:14:00,1517.90,1517.90,1515.70,1516.35,23579
LT,2016-08-31,15:15:00,1515.95,1516.85,1514.40,1514.40,31587
LT,2016-08-31,15:16:00,1514.95,1514.95,1512.30,1512.80,31773
LT,2016-08-31,15:17:00,1512.75,1512.80,1512.15,1512.45,23630
LT,2016-08-31,15:18:00,1512.40,1513.85,1512.40,1513.50,21580
LT,2016-08-31,15:19:00,1513.65,1514.00,1512.70,1513.85,29141
LT,2016-08-31,15:20:00,1513.75,1514.00,1513.75,1513.75,23017
LT,2016-08-31,15:21:00,1513.80,1514.50,1513.70,1514.25,30028
LT,2016-08-31,15:22:00,1514.25,1515.00,1514.05,1514.05,27103
LT,2016-08-31,15:23:00,1513.95,1513.95,1513.30,1513.35,18962
LT,2016-08-31,15:24:00,1513.30,1513.30,1510.65,1511.55,28994
LT,2016-08-31,15:25:00,1511.05,1511.30,1510.70,1511.00,30787
LT,2016-08-31,15:26:00,1511.25,1511.75,1511.00,1511.05,17712
LT,2016-08-31,15:27:00,1511.00,1511.10,1510.35,1510.35,23848
LT,2016-08-31,15:28:00,1510.45,1510.80,1510.20,1510.60,12608
LT,2016-08-31,15:29:00,1510.70,1512.00,1510.00,1511.95,18058
LT,2016-08-31,15:30:00,1512.00,1512.00,1510.15,1512.00,5916
LT,2016-09-01,09:15:00,1511.80,1511.80,1511.80,1511.80,429
LT,2016-09-01,09:16:00,1511.45,1512.00,1508.10,1509.00,15236
LT,2016-09-01,09:17:00,1509.00,1509.45,1507.20,1507.95,12815
LT,2016-09-01,09:18:00,1507.90,1507.90,1505.00,1505.95,11108
LT,2016-09-01,09:19:00,1505.95,1508.70,1505.15,1508.70,19564
LT,2016-09-01,09:20:00,1509.20,1513.95,1509.15,1513.20,17406
LT,2016-09-01,09:21:00,1513.45,1516.90,1513.30,1516.10,20650
LT,2016-09-01,09:22:00,1516.15,1516.50,1512.70,1512.70,6519
LT,2016-09-01,09:23:00,1512.75,1513.00,1509.05,1513.00,7824
LT,2016-09-01,09:24:00,1512.90,1515.95,1512.90,1514.45,5637
LT,2016-09-01,09:25:00,1514.50,1515.90,1512.80,1512.80,4157
LT,2016-09-01,09:26:00,1512.95,1512.95,1511.00,1511.35,3123
LT,2016-09-01,09:27:00,1511.45,1511.90,1511.10,1511.15,1766
LT,2016-09-01,09:28:00,1511.95,1511.95,1508.30,1509.00,5465
LT,2016-09-01,09:29:00,1509.00,1509.95,1508.50,1508.50,2262
LT,2016-09-01,09:30:00,1508.75,1508.90,1507.00,1507.15,3581
LT,2016-09-01,09:31:00,1506.75,1507.70,1506.10,1507.05,5338
LT,2016-09-01,09:32:00,1507.00,1508.00,1507.00,1507.80,5023
LT,2016-09-01,09:33:00,1507.45,1507.65,1506.65,1506.65,2536
LT,2016-09-01,09:34:00,1506.70,1509.95,1506.70,1509.85,3409
LT,2016-09-01,09:35:00,1509.65,1509.85,1507.00,1507.15,3817
LT,2016-09-01,09:36:00,1507.00,1507.10,1506.10,1506.60,1545
LT,2016-09-01,09:37:00,1506.60,1508.30,1505.90,1508.30,3829
LT,2016-09-01,09:38:00,1508.30,1508.30,1507.20,1507.20,2039
LT,2016-09-01,09:39:00,1507.05,1507.65,1506.30,1506.90,1432
LT,2016-09-01,09:40:00,1506.90,1507.75,1506.70,1507.25,1482
LT,2016-09-01,09:41:00,1507.25,1508.75,1507.25,1507.90,1756
LT,2016-09-01,09:42:00,1507.90,1508.00,1505.90,1505.90,2202
LT,2016-09-01,09:43:00,1505.90,1505.90,1504.00,1504.85,5837
LT,2016-09-01,09:44:00,1504.85,1505.65,1504.15,1504.50,4293
LT,2016-09-01,09:45:00,1504.40,1504.40,1502.30,1503.10,4066
LT,2016-09-01,09:46:00,1503.10,1504.40,1502.50,1502.85,6264
LT,2016-09-01,09:47:00,1502.85,1503.90,1502.85,1503.30,3797
LT,2016-09-01,09:48:00,1503.95,1505.50,1503.45,1505.00,4126
LT,2016-09-01,09:49:00,1504.80,1505.15,1504.75,1504.80,738
LT,2016-09-01,09:50:00,1504.80,1505.75,1504.55,1505.65,2209
LT,2016-09-01,09:51:00,1505.65,1506.25,1505.50,1506.20,3638
LT,2016-09-01,09:52:00,1506.20,1506.85,1506.20,1506.25,3218
LT,2016-09-01,09:53:00,1506.40,1506.40,1505.60,1505.60,1152
LT,2016-09-01,09:54:00,1505.70,1505.80,1504.65,1505.25,1089
LT,2016-09-01,09:55:00,1505.65,1505.95,1505.00,1505.00,1970
LT,2016-09-01,09:56:00,1505.00,1505.00,1504.50,1504.85,915
LT,2016-09-01,09:57:00,1504.85,1507.00,1504.85,1506.25,1947
LT,2016-09-01,09:58:00,1506.50,1506.70,1504.05,1504.90,3827
LT,2016-09-01,09:59:00,1504.90,1505.00,1504.40,1504.60,1201
LT,2016-09-01,10:00:00,1504.80,1505.00,1504.00,1504.15,1151
LT,2016-09-01,10:01:00,1504.05,1504.15,1503.60,1504.00,620
LT,2016-09-01,10:02:00,1504.00,1504.95,1503.55,1504.70,1255
LT,2016-09-01,10:03:00,1504.75,1505.10,1504.75,1505.00,518
LT,2016-09-01,10:04:00,1505.10,1506.30,1505.10,1506.25,1078
LT,2016-09-01,10:05:00,1505.95,1507.40,1505.95,1507.25,1983
LT,2016-09-01,10:06:00,1507.25,1509.80,1507.25,1509.75,5958
LT,2016-09-01,10:07:00,1509.75,1509.75,1508.70,1508.80,2034
LT,2016-09-01,10:08:00,1508.75,1508.85,1506.90,1506.90,1437
LT,2016-09-01,10:09:00,1507.55,1507.55,1505.75,1505.75,1776
LT,2016-09-01,10:10:00,1506.10,1507.60,1505.70,1505.70,342
LT,2016-09-01,10:11:00,1506.30,1507.05,1505.70,1505.80,986
LT,2016-09-01,10:12:00,1505.80,1507.45,1505.60,1506.20,963
LT,2016-09-01,10:13:00,1507.00,1507.50,1506.40,1507.25,1575
LT,2016-09-01,10:14:00,1507.20,1507.20,1506.00,1506.10,1128
LT,2016-09-01,10:15:00,1506.05,1506.80,1506.05,1506.25,385
LT,2016-09-01,10:16:00,1506.20,1506.80,1505.60,1505.60,1622
LT,2016-09-01,10:17:00,1505.40,1506.15,1505.40,1505.60,648
LT,2016-09-01,10:18:00,1505.40,1506.00,1505.00,1505.90,2720
LT,2016-09-01,10:19:00,1505.40,1506.80,1505.25,1506.45,723
LT,2016-09-01,10:20:00,1506.80,1507.95,1505.75,1507.25,1382
LT,2016-09-01,10:21:00,1507.95,1507.95,1506.80,1507.65,634
LT,2016-09-01,10:22:00,1507.65,1508.40,1507.05,1508.00,2354
LT,2016-09-01,10:23:00,1507.70,1508.45,1506.10,1506.65,2041
LT,2016-09-01,10:24:00,1506.95,1507.95,1506.95,1507.05,1474
LT,2016-09-01,10:25:00,1507.05,1507.05,1505.10,1505.10,1502
LT,2016-09-01,10:26:00,1505.20,1505.65,1504.55,1505.25,1672
LT,2016-09-01,10:27:00,1505.40,1505.45,1503.75,1504.45,3932
LT,2016-09-01,10:28:00,1504.50,1504.50,1502.55,1503.85,15078
LT,2016-09-01,10:29:00,1504.25,1505.90,1503.80,1505.50,1287
