symbol,date,time,open,high,low,close,volume
LUPIN,2016-08-31,14:50:00,1487.90,1488.95,1486.85,1488.95,4308
LUPIN,2016-08-31,14:51:00,1488.95,1489.55,1487.00,1487.40,12852
LUPIN,2016-08-31,14:52:00,1487.85,1491.75,1487.50,1491.25,11976
LUPIN,2016-08-31,14:53:00,1490.15,1491.45,1490.05,1491.20,4664
LUPIN,2016-08-31,14:54:00,1491.25,1492.00,1490.05,1490.45,5563
LUPIN,2016-08-31,14:55:00,1490.85,1491.55,1490.10,1490.70,5312
LUPIN,2016-08-31,14:56:00,1491.00,1491.30,1488.75,1489.45,5731
LUPIN,2016-08-31,14:57:00,1489.40,1489.40,1486.05,1486.50,7576
LUPIN,2016-08-31,14:58:00,1487.00,1489.45,1486.50,1487.30,8478
LUPIN,2016-08-31,14:59:00,1487.55,1487.55,1486.00,1486.50,8502
LUPIN,2016-08-31,15:00:00,1487.65,1488.20,1486.50,1487.45,5045
LUPIN,2016-08-31,15:01:00,1487.35,1487.40,1483.00,1483.00,17540
LUPIN,2016-08-31,15:02:00,1483.55,1483.55,1482.15,1482.90,17778
LUPIN,2016-08-31,15:03:00,1483.00,1484.65,1482.50,1484.55,13014
LUPIN,2016-08-31,15:04:00,1484.65,1484.65,1482.05,1482.25,13255
LUPIN,2016-08-31,15:05:00,1482.50,1483.00,1481.40,1481.65,14878
LUPIN,2016-08-31,15:06:00,1481.60,1481.65,1480.00,1480.30,20435
LUPIN,2016-08-31,15:07:00,1480.50,1480.50,1478.70,1479.45,24590
LUPIN,2016-08-31,15:08:00,1479.45,1481.75,1479.45,1481.75,15946
LUPIN,2016-08-31,15:09:00,1481.10,1483.75,1480.95,1483.75,13985
LUPIN,2016-08-31,15:10:00,1484.30,1485.00,1482.55,1485.00,18082
LUPIN,2016-08-31,15:11:00,1485.40,1487.75,1485.00,1485.95,15530
LUPIN,2016-08-31,15:12:00,1485.35,1485.80,1483.60,1484.10,15459
LUPIN,2016-08-31,15:13:00,1484.40,1484.40,1481.55,1483.05,19413
LUPIN,2016-08-31,15:14:00,1483.50,1484.00,1482.00,1482.40,10601
LUPIN,2016-08-31,15:15:00,1482.45,1482.80,1481.80,1482.80,16535
LUPIN,2016-08-31,15:16:00,1484.25,1484.25,1482.75,1483.00,12673
LUPIN,2016-08-31,15:17:00,1482.95,1482.95,1481.00,1482.00,16526
LUPIN,2016-08-31,15:18:00,1481.80,1483.95,1481.00,1483.10,17547
LUPIN,2016-08-31,15:19:00,1483.10,1483.55,1481.55,1481.55,11323
LUPIN,2016-08-31,15:20:00,1482.05,1482.95,1481.05,1482.75,14461
LUPIN,2016-08-31,15:21:00,1482.70,1482.75,1480.65,1480.65,15586
LUPIN,2016-08-31,15:22:00,1480.70,1481.10,1480.00,1480.35,15609
LUPIN,2016-08-31,15:23:00,1480.30,1482.15,1480.00,1480.85,13558
LUPIN,2016-08-31,15:24:00,1480.85,1480.85,1480.40,1480.75,12701
LUPIN,2016-08-31,15:25:00,1481.00,1482.75,1480.80,1481.65,14688
LUPIN,2016-08-31,15:26:00,1482.00,1482.40,1481.75,1481.75,14862
LUPIN,2016-08-31,15:27:00,1482.20,1482.20,1481.00,1481.05,13045
LUPIN,2016-08-31,15:28:00,1481.00,1481.05,1480.00,1480.65,11509
LUPIN,2016-08-31,15:29:00,1480.70,1482.95,1480.10,1482.75,13048
LUPIN,2016-08-31,15:30:00,1481.95,1483.00,1481.00,1482.05,5824
LUPIN,2016-09-01,09:15:00,1485.40,1485.40,1485.40,1485.40,92
LUPIN,2016-09-01,09:16:00,1485.75,1489.00,1483.65,1487.45,15634
LUPIN,2016-09-01,09:17:00,1487.00,1488.00,1485.20,1486.35,7652
LUPIN,2016-09-01,09:18:00,1486.75,1488.95,1486.00,1488.95,7833
LUPIN,2016-09-01,09:19:00,1489.80,1493.25,1488.85,1493.25,6041
LUPIN,2016-09-01,09:20:00,1492.95,1495.00,1491.00,1492.95,10537
LUPIN,2016-09-01,09:21:00,1492.15,1494.45,1492.15,1494.25,5080
LUPIN,2016-09-01,09:22:00,1494.30,1494.65,1490.25,1491.15,3927
LUPIN,2016-09-01,09:23:00,1490.60,1490.60,1487.00,1487.20,8478
LUPIN,2016-09-01,09:24:00,1487.85,1491.00,1487.55,1489.10,4731
LUPIN,2016-09-01,09:25:00,1489.00,1491.50,1488.35,1491.50,4680
LUPIN,2016-09-01,09:26:00,1491.00,1493.00,1491.00,1492.55,4940
LUPIN,2016-09-01,09:27:00,1493.00,1493.00,1488.80,1489.75,6754
LUPIN,2016-09-01,09:28:00,1489.75,1491.40,1488.00,1491.30,4029
LUPIN,2016-09-01,09:29:00,1491.15,1493.20,1489.00,1490.00,31190
LUPIN,2016-09-01,09:30:00,1490.05,1491.20,1489.40,1491.05,11983
LUPIN,2016-09-01,09:31:00,1491.20,1491.50,1490.00,1490.75,3194
LUPIN,2016-09-01,09:32:00,1490.75,1491.10,1490.10,1490.40,15254
LUPIN,2016-09-01,09:33:00,1490.25,1490.95,1490.00,1490.25,1484
LUPIN,2016-09-01,09:34:00,1490.25,1491.10,1490.25,1491.00,4548
LUPIN,2016-09-01,09:35:00,1491.05,1491.30,1488.35,1488.35,3200
LUPIN,2016-09-01,09:36:00,1489.00,1490.00,1488.25,1490.00,3456
LUPIN,2016-09-01,09:37:00,1490.00,1490.00,1489.00,1489.15,1986
LUPIN,2016-09-01,09:38:00,1489.15,1490.00,1489.10,1489.40,1216
LUPIN,2016-09-01,09:39:00,1489.40,1490.60,1488.80,1490.10,3749
LUPIN,2016-09-01,09:40:00,1491.15,1491.50,1490.25,1491.15,2835
LUPIN,2016-09-01,09:41:00,1491.20,1491.50,1490.70,1491.30,1372
LUPIN,2016-09-01,09:42:00,1491.35,1491.55,1490.05,1490.05,4141
LUPIN,2016-09-01,09:43:00,1490.05,1491.00,1488.05,1488.05,9998
LUPIN,2016-09-01,09:44:00,1488.00,1488.10,1487.05,1487.40,3516
LUPIN,2016-09-01,09:45:00,1487.50,1487.50,1487.00,1487.00,972
LUPIN,2016-09-01,09:46:00,1487.05,1487.20,1485.35,1485.35,3341
LUPIN,2016-09-01,09:47:00,1485.95,1489.35,1485.95,1488.05,4473
LUPIN,2016-09-01,09:48:00,1488.20,1488.30,1487.15,1487.15,1061
LUPIN,2016-09-01,09:49:00,1487.70,1489.25,1487.00,1488.60,1592
LUPIN,2016-09-01,09:50:00,1488.60,1488.90,1488.00,1488.35,2622
LUPIN,2016-09-01,09:51:00,1488.35,1489.75,1488.10,1489.70,776
LUPIN,2016-09-01,09:52:00,1489.70,1490.25,1489.25,1489.55,1335
LUPIN,2016-09-01,09:53:00,1490.00,1491.00,1489.35,1490.90,2234
LUPIN,2016-09-01,09:54:00,1490.95,1491.50,1490.10,1490.65,3187
LUPIN,2016-09-01,09:55:00,1491.20,1492.00,1490.55,1491.20,1905
LUPIN,2016-09-01,09:56:00,1491.50,1491.50,1490.65,1491.10,770
LUPIN,2016-09-01,09:57:00,1491.20,1491.95,1490.70,1491.95,1008
LUPIN,2016-09-01,09:58:00,1491.95,1492.00,1491.35,1492.00,1114
LUPIN,2016-09-01,09:59:00,1492.00,1492.30,1490.85,1490.85,2676
LUPIN,2016-09-01,10:00:00,1491.45,1491.45,1489.85,1489.85,3914
LUPIN,2016-09-01,10:01:00,1490.40,1490.50,1489.80,1490.30,467
LUPIN,2016-09-01,10:02:00,1489.80,1489.90,1489.25,1489.80,1212
LUPIN,2016-09-01,10:03:00,1489.80,1490.20,1489.25,1489.90,608
LUPIN,2016-09-01,10:04:00,1490.45,1491.15,1490.10,1491.05,704
LUPIN,2016-09-01,10:05:00,1491.45,1491.50,1490.85,1491.05,676
LUPIN,2016-09-01,10:06:00,1491.30,1491.30,1490.25,1490.85,581
