symbol,date,time,open,high,low,close,volume
PNB,2016-08-31,14:51:00,128.85,128.85,128.70,128.75,17793
PNB,2016-08-31,14:52:00,128.70,128.80,128.65,128.80,41531
PNB,2016-08-31,14:53:00,128.80,128.90,128.80,128.85,41331
PNB,2016-08-31,14:54:00,128.80,128.85,128.75,128.80,26320
PNB,2016-08-31,14:55:00,128.75,128.90,128.70,128.90,32248
PNB,2016-08-31,14:56:00,128.90,129.00,128.85,128.95,14780
PNB,2016-08-31,14:57:00,128.95,129.00,128.85,128.90,26445
PNB,2016-08-31,14:58:00,128.90,128.95,128.80,128.85,12214
PNB,2016-08-31,14:59:00,128.80,128.95,128.80,128.90,25157
PNB,2016-08-31,15:00:00,128.90,129.00,128.85,128.85,17501
PNB,2016-08-31,15:01:00,128.85,128.95,128.85,128.85,20471
PNB,2016-08-31,15:02:00,128.85,128.90,128.60,128.70,100034
PNB,2016-08-31,15:03:00,128.60,128.65,128.55,128.60,36347
PNB,2016-08-31,15:04:00,128.60,128.60,128.35,128.35,73716
PNB,2016-08-31,15:05:00,128.40,128.40,128.25,128.30,65521
PNB,2016-08-31,15:06:00,128.30,128.35,128.10,128.10,69766
PNB,2016-08-31,15:07:00,128.10,128.20,128.00,128.10,67021
PNB,2016-08-31,15:08:00,128.10,128.10,127.65,127.80,129434
PNB,2016-08-31,15:09:00,127.75,127.85,127.70,127.85,58434
PNB,2016-08-31,15:10:00,127.85,127.90,127.70,127.85,32935
PNB,2016-08-31,15:11:00,127.75,127.80,127.60,127.80,67292
PNB,2016-08-31,15:12:00,127.80,127.80,127.60,127.65,34805
PNB,2016-08-31,15:13:00,127.60,127.70,127.30,127.45,82525
PNB,2016-08-31,15:14:00,127.40,127.45,127.20,127.30,50722
PNB,2016-08-31,15:15:00,127.25,127.30,127.15,127.30,39106
PNB,2016-08-31,15:16:00,127.25,127.30,127.10,127.15,47556
PNB,2016-08-31,15:17:00,127.10,127.15,126.85,126.90,99708
PNB,2016-08-31,15:18:00,126.90,126.95,126.80,126.90,39421
PNB,2016-08-31,15:19:00,126.90,126.90,126.70,126.85,69863
PNB,2016-08-31,15:20:00,126.90,127.10,126.85,127.10,86908
PNB,2016-08-31,15:21:00,127.10,127.25,127.05,127.25,71123
PNB,2016-08-31,15:22:00,127.25,127.25,127.05,127.10,55306
PNB,2016-08-31,15:23:00,127.10,127.20,127.05,127.05,48157
PNB,2016-08-31,15:24:00,127.10,127.15,127.00,127.10,32369
PNB,2016-08-31,15:25:00,127.05,127.15,127.05,127.15,37505
PNB,2016-08-31,15:26:00,127.20,127.30,127.15,127.25,50071
PNB,2016-08-31,15:27:00,127.25,127.25,127.05,127.10,23981
PNB,2016-08-31,15:28:00,127.05,127.15,127.00,127.10,35431
PNB,2016-08-31,15:29:00,127.00,127.10,126.95,127.10,50315
PNB,2016-08-31,15:30:00,127.10,127.25,127.10,127.15,40916
PNB,2016-09-01,09:16:00,127.20,127.20,127.15,127.15,41704
PNB,2016-09-01,09:17:00,127.15,127.25,126.80,126.80,69500
PNB,2016-09-01,09:18:00,126.85,127.10,126.75,127.05,44931
PNB,2016-09-01,09:19:00,127.00,127.70,127.00,127.70,60281
PNB,2016-09-01,09:20:00,127.70,127.90,127.65,127.65,57476
PNB,2016-09-01,09:21:00,127.65,128.05,127.60,128.05,69006
PNB,2016-09-01,09:22:00,128.00,128.10,127.70,127.90,56897
PNB,2016-09-01,09:23:00,127.90,127.90,127.65,127.70,19431
PNB,2016-09-01,09:24:00,127.90,128.00,127.70,127.75,49127
PNB,2016-09-01,09:25:00,127.75,127.85,127.55,127.70,41094
PNB,2016-09-01,09:26:00,127.65,127.80,127.55,127.70,21058
PNB,2016-09-01,09:27:00,127.65,127.75,127.65,127.65,14802
PNB,2016-09-01,09:28:00,127.65,127.75,127.60,127.65,83523
PNB,2016-09-01,09:29:00,127.60,128.00,127.60,127.80,74835
PNB,2016-09-01,09:30:00,127.80,127.80,127.50,127.50,27324
PNB,2016-09-01,09:31:00,127.55,127.60,127.40,127.45,30430
PNB,2016-09-01,09:32:00,127.40,127.45,127.25,127.35,12971
PNB,2016-09-01,09:33:00,127.30,127.45,127.10,127.25,15525
PNB,2016-09-01,09:34:00,127.30,127.50,127.30,127.50,17708
PNB,2016-09-01,09:35:00,127.50,127.50,127.30,127.40,12912
PNB,2016-09-01,09:36:00,127.45,127.50,127.40,127.50,13497
PNB,2016-09-01,09:37:00,127.40,127.55,127.35,127.50,8971
PNB,2016-09-01,09:38:00,127.45,127.80,127.45,127.75,19083
PNB,2016-09-01,09:39:00,127.75,127.90,127.70,127.90,26405
PNB,2016-09-01,09:40:00,127.90,128.10,127.80,127.80,25315
PNB,2016-09-01,09:41:00,127.80,127.95,127.80,127.85,9911
PNB,2016-09-01,09:42:00,127.80,127.90,127.70,127.85,8395
PNB,2016-09-01,09:43:00,127.80,127.80,127.45,127.55,30656
PNB,2016-09-01,09:44:00,127.55,127.70,127.40,127.40,19242
PNB,2016-09-01,09:45:00,127.40,127.50,127.25,127.40,27447
PNB,2016-09-01,09:46:00,127.40,127.50,127.30,127.35,23519
PNB,2016-09-01,09:47:00,127.45,127.70,127.40,127.65,11750
PNB,2016-09-01,09:48:00,127.60,127.70,127.55,127.55,11525
PNB,2016-09-01,09:49:00,127.65,127.75,127.60,127.70,4236
PNB,2016-09-01,09:50:00,127.70,127.75,127.65,127.70,18726
PNB,2016-09-01,09:51:00,127.70,127.80,127.65,127.70,13527
PNB,2016-09-01,09:52:00,127.65,127.70,127.50,127.50,11668
PNB,2016-09-01,09:53:00,127.50,127.50,127.40,127.40,15481
PNB,2016-09-01,09:54:00,127.55,127.55,127.45,127.45,14366
PNB,2016-09-01,09:55:00,127.45,127.50,127.30,127.45,18413
PNB,2016-09-01,09:56:00,127.45,127.60,127.40,127.60,9526
PNB,2016-09-01,09:57:00,127.55,127.70,127.50,127.70,16021
PNB,2016-09-01,09:58:00,127.70,127.75,127.55,127.55,22332
PNB,2016-09-01,09:59:00,127.60,127.60,127.50,127.55,6687
PNB,2016-09-01,10:00:00,127.55,127.60,127.50,127.50,5448
PNB,2016-09-01,10:01:00,127.55,127.65,127.50,127.65,1691
PNB,2016-09-01,10:02:00,127.55,127.70,127.55,127.70,12672
PNB,2016-09-01,10:03:00,127.70,128.00,127.70,127.95,28597
PNB,2016-09-01,10:04:00,127.95,128.00,127.85,127.90,20662
PNB,2016-09-01,10:05:00,127.85,127.90,127.80,127.90,6539
PNB,2016-09-01,10:06:00,127.80,127.95,127.80,127.90,10227
PNB,2016-09-01,10:07:00,127.90,127.95,127.70,127.70,25750
PNB,2016-09-01,10:08:00,127.75,127.80,127.65,127.75,6689
PNB,2016-09-01,10:09:00,127.65,127.80,127.65,127.70,13432
PNB,2016-09-01,10:10:00,127.70,127.80,127.65,127.70,2723
PNB,2016-09-01,10:11:00,127.65,127.90,127.65,127.85,13123
PNB,2016-09-01,10:12:00,127.85,127.85,127.70,127.70,3689
PNB,2016-09-01,10:13:00,127.70,127.80,127.70,127.70,6625
PNB,2016-09-01,10:14:00,127.70,127.75,127.70,127.70,1745
PNB,2016-09-01,10:15:00,127.75,127.80,127.65,127.75,2590
PNB,2016-09-01,10:16:00,127.75,127.80,127.70,127.75,4159
PNB,2016-09-01,10:17:00,127.75,127.75,127.70,127.70,4408
PNB,2016-09-01,10:18:00,127.75,127.80,127.65,127.70,8040
PNB,2016-09-01,10:19:00,127.70,127.80,127.70,127.75,1865
PNB,2016-09-01,10:20:00,127.75,127.80,127.75,127.75,4422
PNB,2016-09-01,10:21:00,127.80,127.80,127.70,127.80,3768
PNB,2016-09-01,10:22:00,127.80,127.90,127.75,127.75,10369
PNB,2016-09-01,10:23:00,127.75,127.85,127.75,127.75,2300
PNB,2016-09-01,10:24:00,127.75,127.90,127.75,127.75,5978
PNB,2016-09-01,10:25:00,127.75,127.90,127.70,127.70,26340
PNB,2016-09-01,10:26:00,127.65,127.70,127.60,127.65,4653
PNB,2016-09-01,10:27:00,127.65,127.70,127.60,127.60,10102
PNB,2016-09-01,10:28:00,127.60,127.70,127.55,127.55,2655
PNB,2016-09-01,10:29:00,127.55,127.70,127.55,127.60,7691
PNB,2016-09-01,10:30:00,127.60,127.70,127.60,127.65,1303
PNB,2016-09-01,10:31:00,127.70,127.70,127.60,127.60,865
PNB,2016-09-01,10:32:00,127.70,127.70,127.55,127.65,1891
PNB,2016-09-01,10:33:00,127.70,127.80,127.70,127.70,1250
PNB,2016-09-01,10:34:00,127.70,127.75,127.55,127.55,6443
PNB,2016-09-01,10:35:00,127.65,127.70,127.55,127.70,861
PNB,2016-09-01,10:36:00,127.60,127.70,127.55,127.70,3465
PNB,2016-09-01,10:37:00,127.60,127.65,127.55,127.65,3085
PNB,2016-09-01,10:38:00,127.55,127.65,127.55,127.65,3305
PNB,2016-09-01,10:39:00,127.70,127.70,127.65,127.65,3100
PNB,2016-09-01,10:40:00,127.65,127.70,127.55,127.70,3893
PNB,2016-09-01,10:41:00,127.60,127.70,127.55,127.70,3330
PNB,2016-09-01,10:42:00,127.70,127.70,127.55,127.60,1955
PNB,2016-09-01,10:43:00,127.65,127.70,127.55,127.55,10724
PNB,2016-09-01,10:44:00,127.65,127.65,127.55,127.55,2665
PNB,2016-09-01,10:45:00,127.55,127.60,127.55,127.60,10844
PNB,2016-09-01,10:46:00,127.55,127.55,127.55,127.55,3327
PNB,2016-09-01,10:47:00,127.50,127.55,127.40,127.50,37117
PNB,2016-09-01,10:48:00,127.60,127.80,127.60,127.75,22015
PNB,2016-09-01,10:49:00,127.75,127.80,127.65,127.70,4367
PNB,2016-09-01,10:50:00,127.60,127.75,127.60,127.75,1229
PNB,2016-09-01,10:51:00,127.65,127.80,127.65,127.75,7605
PNB,2016-09-01,10:52:00,127.75,127.75,127.45,127.45,3679
PNB,2016-09-01,10:53:00,127.50,127.75,127.45,127.60,10390
PNB,2016-09-01,10:54:00,127.70,127.70,127.60,127.65,1131
PNB,2016-09-01,10:55:00,127.55,127.60,127.45,127.45,9946
PNB,2016-09-01,10:56:00,127.40,127.45,127.30,127.30,16144
PNB,2016-09-01,10:57:00,127.30,127.40,127.30,127.40,15134
PNB,2016-09-01,10:58:00,127.45,127.50,127.45,127.50,828
PNB,2016-09-01,10:59:00,127.50,127.55,127.40,127.50,1419
PNB,2016-09-01,11:00:00,127.45,127.50,127.35,127.50,3428
PNB,2016-09-01,11:01:00,127.40,127.50,127.40,127.40,1445
PNB,2016-09-01,11:02:00,127.35,127.45,127.35,127.40,4675
PNB,2016-09-01,11:03:00,127.45,127.45,127.35,127.40,2646
PNB,2016-09-01,11:04:00,127.40,127.40,127.30,127.30,8694
PNB,2016-09-01,11:05:00,127.30,127.45,127.30,127.45,7677
PNB,2016-09-01,11:06:00,127.40,127.45,127.35,127.35,2841
PNB,2016-09-01,11:07:00,127.45,127.50,127.35,127.45,7027
PNB,2016-09-01,11:08:00,127.50,127.55,127.40,127.45,5486
PNB,2016-09-01,11:09:00,127.40,127.55,127.40,127.55,734
PNB,2016-09-01,11:10:00,127.55,127.55,127.45,127.55,994
PNB,2016-09-01,11:11:00,127.55,127.60,127.55,127.60,3135
PNB,2016-09-01,11:12:00,127.65,127.65,127.50,127.60,1048
PNB,2016-09-01,11:13:00,127.65,127.65,127.50,127.60,3060
PNB,2016-09-01,11:14:00,127.65,127.65,127.50,127.60,3917
PNB,2016-09-01,11:15:00,127.60,127.60,127.50,127.50,12349
PNB,2016-09-01,11:16:00,127.50,127.55,127.45,127.50,2196
PNB,2016-09-01,11:17:00,127.50,127.50,127.45,127.50,1984
PNB,2016-09-01,11:18:00,127.45,127.55,127.45,127.50,5440
PNB,2016-09-01,11:19:00,127.50,127.65,127.50,127.55,16042
PNB,2016-09-01,11:20:00,127.55,127.60,127.50,127.55,1346
PNB,2016-09-01,11:21:00,127.55,127.60,127.50,127.50,3232
PNB,2016-09-01,11:22:00,127.50,127.55,127.50,127.50,1717
PNB,2016-09-01,11:23:00,127.50,127.55,127.30,127.35,26558
PNB,2016-09-01,11:24:00,127.45,127.45,127.40,127.40,2507
PNB,2016-09-01,11:25:00,127.45,127.45,127.30,127.30,8217
PNB,2016-09-01,11:26:00,127.30,127.35,127.30,127.30,3951
PNB,2016-09-01,11:27:00,127.35,127.35,127.30,127.35,2765
PNB,2016-09-01,11:28:00,127.30,127.40,127.30,127.40,4815
PNB,2016-09-01,11:29:00,127.35,127.40,127.20,127.20,21466
PNB,2016-09-01,11:30:00,127.25,127.25,127.05,127.05,25630
PNB,2016-09-01,11:31:00,127.05,127.05,126.65,126.70,99522
PNB,2016-09-01,11:32:00,126.65,126.85,126.65,126.75,15394
PNB,2016-09-01,11:33:00,126.70,127.00,126.70,126.95,50730
