symbol,date,time,open,high,low,close,volume
SBIN,2016-08-31,14:50:00,255.10,255.15,254.95,254.95,17745
SBIN,2016-08-31,14:51:00,255.05,255.05,254.80,254.80,28568
SBIN,2016-08-31,14:52:00,254.90,254.95,254.65,254.90,94015
SBIN,2016-08-31,14:53:00,254.95,255.00,254.90,254.95,29556
SBIN,2016-08-31,14:54:00,254.90,255.00,254.80,254.85,24066
SBIN,2016-08-31,14:55:00,254.90,255.00,254.85,255.00,27895
SBIN,2016-08-31,14:56:00,255.00,255.00,254.90,255.00,34452
SBIN,2016-08-31,14:57:00,255.00,255.00,254.90,254.95,26168
SBIN,2016-08-31,14:58:00,254.90,254.95,254.80,254.90,29375
SBIN,2016-08-31,14:59:00,254.95,254.95,254.85,254.95,31679
SBIN,2016-08-31,15:00:00,255.00,255.05,254.85,254.95,43597
SBIN,2016-08-31,15:01:00,254.95,254.95,254.20,254.25,219100
SBIN,2016-08-31,15:02:00,254.20,254.40,254.10,254.20,182065
SBIN,2016-08-31,15:03:00,254.20,254.25,254.05,254.20,149544
SBIN,2016-08-31,15:04:00,254.15,254.20,253.90,253.95,168881
SBIN,2016-08-31,15:05:00,254.00,254.10,253.95,254.05,135180
SBIN,2016-08-31,15:06:00,254.05,254.05,253.45,253.60,139881
SBIN,2016-08-31,15:07:00,253.55,253.60,253.15,253.25,135982
SBIN,2016-08-31,15:08:00,253.25,253.25,252.85,253.05,206784
SBIN,2016-08-31,15:09:00,253.00,253.05,252.70,252.70,134716
SBIN,2016-08-31,15:10:00,252.70,252.70,252.55,252.65,127975
SBIN,2016-08-31,15:11:00,252.60,252.65,252.50,252.55,131881
SBIN,2016-08-31,15:12:00,252.50,252.70,252.30,252.55,198924
SBIN,2016-08-31,15:13:00,252.60,252.60,252.15,252.20,118667
SBIN,2016-08-31,15:14:00,252.15,252.20,251.80,251.85,148319
SBIN,2016-08-31,15:15:00,251.85,251.85,251.50,251.55,176892
SBIN,2016-08-31,15:16:00,251.55,252.15,251.50,252.10,261174
SBIN,2016-08-31,15:17:00,252.00,252.05,251.75,251.75,177286
SBIN,2016-08-31,15:18:00,251.75,251.80,251.60,251.65,112729
SBIN,2016-08-31,15:19:00,251.60,251.65,251.50,251.65,153419
SBIN,2016-08-31,15:20:00,251.60,252.15,251.60,252.15,127908
