symbol,date,time,open,high,low,close,volume
TATAMOTORS,2016-08-31,14:51:00,540.90,540.90,540.40,540.40,32322
TATAMOTORS,2016-08-31,14:52:00,540.40,540.40,540.00,540.05,174552
TATAMOTORS,2016-08-31,14:53:00,540.25,540.25,539.50,539.95,128515
TATAMOTORS,2016-08-31,14:54:00,539.85,540.00,539.30,540.00,26806
TATAMOTORS,2016-08-31,14:55:00,539.95,540.10,539.85,540.10,23432
TATAMOTORS,2016-08-31,14:56:00,540.25,540.40,540.25,540.35,27596
TATAMOTORS,2016-08-31,14:57:00,540.40,540.45,539.90,540.20,45618
TATAMOTORS,2016-08-31,14:58:00,540.30,540.35,540.00,540.30,29556
TATAMOTORS,2016-08-31,14:59:00,540.30,541.00,540.25,541.00,25174
TATAMOTORS,2016-08-31,15:00:00,541.10,541.25,540.75,541.00,45040
TATAMOTORS,2016-08-31,15:01:00,540.85,540.90,540.70,540.75,70566
TATAMOTORS,2016-08-31,15:02:00,540.70,540.70,539.80,539.90,85836
TATAMOTORS,2016-08-31,15:03:00,539.85,539.85,538.85,539.10,114130
TATAMOTORS,2016-08-31,15:04:00,539.20,539.20,538.35,538.50,117644
TATAMOTORS,2016-08-31,15:05:00,538.45,538.50,538.25,538.40,105301
TATAMOTORS,2016-08-31,15:06:00,538.30,538.40,537.45,537.45,102968
TATAMOTORS,2016-08-31,15:07:00,537.45,537.55,537.35,537.45,142632
TATAMOTORS,2016-08-31,15:08:00,537.40,537.40,537.05,537.10,101063
TATAMOTORS,2016-08-31,15:09:00,537.00,537.05,536.65,537.00,122618
TATAMOTORS,2016-08-31,15:10:00,537.00,537.35,537.00,537.35,102388
TATAMOTORS,2016-08-31,15:11:00,537.60,537.65,537.30,537.65,114486
TATAMOTORS,2016-08-31,15:12:00,537.55,537.75,537.50,537.70,101275
TATAMOTORS,2016-08-31,15:13:00,537.70,537.85,537.70,537.80,100770
TATAMOTORS,2016-08-31,15:14:00,537.80,537.85,537.80,537.80,88160
TATAMOTORS,2016-08-31,15:15:00,537.90,537.90,537.75,537.75,94159
TATAMOTORS,2016-08-31,15:16:00,537.80,537.80,537.25,537.55,131195
TATAMOTORS,2016-08-31,15:17:00,537.55,537.55,536.75,536.75,132459
TATAMOTORS,2016-08-31,15:18:00,536.85,536.85,536.45,536.50,94354
TATAMOTORS,2016-08-31,15:19:00,536.50,536.50,536.15,536.20,128481
TATAMOTORS,2016-08-31,15:20:00,536.15,536.20,536.00,536.00,101082
TATAMOTORS,2016-08-31,15:21:00,536.05,536.80,536.05,536.75,139586
TATAMOTORS,2016-08-31,15:22:00,536.80,536.85,536.75,536.85,98632
TATAMOTORS,2016-08-31,15:23:00,536.85,537.55,536.80,537.55,108940
TATAMOTORS,2016-08-31,15:24:00,537.55,538.00,537.55,538.00,105745
TATAMOTORS,2016-08-31,15:25:00,538.00,538.00,537.90,537.95,135542
TATAMOTORS,2016-08-31,15:26:00,537.90,537.95,537.90,537.90,95332
TATAMOTORS,2016-08-31,15:27:00,537.90,537.95,537.75,537.75,100601
TATAMOTORS,2016-08-31,15:28:00,537.75,538.50,537.75,538.15,91221
TATAMOTORS,2016-08-31,15:29:00,538.15,538.85,537.95,538.50,144109
TATAMOTORS,2016-08-31,15:30:00,538.50,538.70,537.70,538.00,50415
TATAMOTORS,2016-09-01,09:16:00,541.70,543.90,541.10,543.55,152948
TATAMOTORS,2016-09-01,09:17:00,543.20,543.50,542.45,542.65,78506
TATAMOTORS,2016-09-01,09:18:00,542.45,543.00,542.10,542.70,47490
TATAMOTORS,2016-09-01,09:19:00,543.00,545.00,542.95,545.00,98205
TATAMOTORS,2016-09-01,09:20:00,545.05,545.10,544.00,544.00,51784
TATAMOTORS,2016-09-01,09:21:00,544.25,544.80,543.70,544.60,57036
TATAMOTORS,2016-09-01,09:22:00,544.80,545.00,543.90,544.20,40123
TATAMOTORS,2016-09-01,09:23:00,544.00,544.10,543.00,543.15,45497
TATAMOTORS,2016-09-01,09:24:00,543.40,543.80,541.30,541.30,74159
TATAMOTORS,2016-09-01,09:25:00,541.30,542.40,541.30,542.20,48501
TATAMOTORS,2016-09-01,09:26:00,542.15,542.15,541.80,541.90,20977
TATAMOTORS,2016-09-01,09:27:00,541.90,542.15,541.55,541.85,28137
TATAMOTORS,2016-09-01,09:28:00,542.05,542.20,541.70,541.95,22785
TATAMOTORS,2016-09-01,09:29:00,542.00,542.85,541.95,542.40,20966
TATAMOTORS,2016-09-01,09:30:00,542.70,542.70,541.95,542.25,34920
TATAMOTORS,2016-09-01,09:31:00,542.25,542.25,541.50,541.80,32141
TATAMOTORS,2016-09-01,09:32:00,541.80,542.30,541.50,542.15,19910
TATAMOTORS,2016-09-01,09:33:00,542.05,542.50,541.90,542.40,20020
TATAMOTORS,2016-09-01,09:34:00,542.40,543.70,542.40,543.00,43243
TATAMOTORS,2016-09-01,09:35:00,543.20,543.30,542.45,542.45,15669
TATAMOTORS,2016-09-01,09:36:00,542.70,542.80,542.45,542.65,13068
TATAMOTORS,2016-09-01,09:37:00,542.65,543.00,542.60,542.90,29191
TATAMOTORS,2016-09-01,09:38:00,542.85,542.90,542.45,542.45,21860
TATAMOTORS,2016-09-01,09:39:00,542.55,542.55,542.10,542.10,10377
TATAMOTORS,2016-09-01,09:40:00,542.10,542.50,542.10,542.20,36731
TATAMOTORS,2016-09-01,09:41:00,542.30,542.45,542.20,542.30,7653
TATAMOTORS,2016-09-01,09:42:00,542.30,542.40,542.10,542.30,35063
TATAMOTORS,2016-09-01,09:43:00,542.45,542.45,541.50,541.60,46744
TATAMOTORS,2016-09-01,09:44:00,541.60,542.00,541.25,541.40,29756
TATAMOTORS,2016-09-01,09:45:00,541.40,541.55,541.10,541.10,39136
TATAMOTORS,2016-09-01,09:46:00,541.20,541.45,541.10,541.40,55193
TATAMOTORS,2016-09-01,09:47:00,541.40,541.95,541.40,541.90,23035
TATAMOTORS,2016-09-01,09:48:00,541.90,542.00,541.80,541.95,19000
TATAMOTORS,2016-09-01,09:49:00,541.90,542.10,541.85,541.90,20028
TATAMOTORS,2016-09-01,09:50:00,541.90,542.25,541.85,542.05,13043
TATAMOTORS,2016-09-01,09:51:00,542.05,542.30,542.00,542.00,7351
TATAMOTORS,2016-09-01,09:52:00,542.00,542.10,541.50,542.10,28688
TATAMOTORS,2016-09-01,09:53:00,542.00,542.10,541.70,542.00,10606
TATAMOTORS,2016-09-01,09:54:00,542.00,542.10,541.80,542.00,15599
TATAMOTORS,2016-09-01,09:55:00,542.00,542.10,542.00,542.00,4663
TATAMOTORS,2016-09-01,09:56:00,542.00,542.30,542.00,542.30,7945
TATAMOTORS,2016-09-01,09:57:00,542.30,542.65,542.25,542.60,13906
TATAMOTORS,2016-09-01,09:58:00,542.60,542.80,542.55,542.55,9306
TATAMOTORS,2016-09-01,09:59:00,542.65,542.65,542.00,542.05,23943
TATAMOTORS,2016-09-01,10:00:00,542.10,542.20,542.05,542.10,3498
TATAMOTORS,2016-09-01,10:01:00,542.05,542.15,542.00,542.05,5032
TATAMOTORS,2016-09-01,10:02:00,542.05,542.50,542.05,542.40,5854
TATAMOTORS,2016-09-01,10:03:00,542.30,542.60,542.30,542.50,12918
