symbol,date,time,open,high,low,close,volume
TATASTEEL,2016-08-31,14:51:00,372.90,373.05,372.70,372.80,8429
TATASTEEL,2016-08-31,14:52:00,372.70,372.85,372.45,372.80,10605
TATASTEEL,2016-08-31,14:53:00,372.80,372.95,372.75,372.85,7953
TATASTEEL,2016-08-31,14:54:00,372.95,373.00,372.85,372.85,12737
TATASTEEL,2016-08-31,14:55:00,372.95,373.00,372.85,372.90,6019
TATASTEEL,2016-08-31,14:56:00,372.95,372.95,372.45,372.55,10535
TATASTEEL,2016-08-31,14:57:00,372.55,372.65,372.00,372.10,23104
TATASTEEL,2016-08-31,14:58:00,372.15,372.30,371.50,371.80,33662
TATASTEEL,2016-08-31,14:59:00,371.90,372.15,371.70,372.00,19669
TATASTEEL,2016-08-31,15:00:00,372.00,372.40,371.85,372.15,8013
TATASTEEL,2016-08-31,15:01:00,372.10,372.15,371.25,371.35,30097
TATASTEEL,2016-08-31,15:02:00,371.35,371.45,370.50,370.70,48208
TATASTEEL,2016-08-31,15:03:00,370.75,371.30,370.65,371.20,33245
TATASTEEL,2016-08-31,15:04:00,371.15,371.30,370.95,370.95,31899
TATASTEEL,2016-08-31,15:05:00,370.95,370.95,370.55,370.70,34484
TATASTEEL,2016-08-31,15:06:00,370.65,370.70,370.20,370.25,41708
TATASTEEL,2016-08-31,15:07:00,370.30,370.50,370.15,370.40,35807
TATASTEEL,2016-08-31,15:08:00,370.40,370.40,370.20,370.25,23298
TATASTEEL,2016-08-31,15:09:00,370.25,370.65,370.20,370.65,35727
TATASTEEL,2016-08-31,15:10:00,370.65,370.65,370.30,370.45,31005
TATASTEEL,2016-08-31,15:11:00,370.45,370.55,370.25,370.30,36772
TATASTEEL,2016-08-31,15:12:00,370.20,370.45,370.20,370.40,34236
TATASTEEL,2016-08-31,15:13:00,370.45,370.45,370.15,370.25,38980
TATASTEEL,2016-08-31,15:14:00,370.20,370.20,370.00,370.10,48400
TATASTEEL,2016-08-31,15:15:00,370.10,370.10,369.40,369.40,52845
