symbol,date,time,open,high,low,close,volume
TECHM,2016-08-31,14:51:00,470.05,470.10,469.65,469.65,3402
TECHM,2016-08-31,14:52:00,470.05,470.20,469.65,470.20,2680
TECHM,2016-08-31,14:53:00,470.20,470.30,469.80,470.05,3442
TECHM,2016-08-31,14:54:00,470.20,470.30,470.00,470.25,1863
TECHM,2016-08-31,14:55:00,470.30,470.35,470.00,470.30,1576
TECHM,2016-08-31,14:56:00,470.35,470.35,470.00,470.30,1686
TECHM,2016-08-31,14:57:00,470.05,470.35,470.00,470.05,4077
TECHM,2016-08-31,14:58:00,470.20,470.25,470.00,470.25,1625
TECHM,2016-08-31,14:59:00,470.30,470.30,469.95,470.15,3437
TECHM,2016-08-31,15:00:00,470.15,470.30,469.30,469.95,5732
TECHM,2016-08-31,15:01:00,469.95,469.95,469.35,469.55,12723
TECHM,2016-08-31,15:02:00,469.55,469.55,469.00,469.10,7442
TECHM,2016-08-31,15:03:00,469.15,469.15,469.00,469.10,11979
TECHM,2016-08-31,15:04:00,469.10,469.10,468.55,468.75,7715
TECHM,2016-08-31,15:05:00,468.75,468.75,468.00,468.55,15540
TECHM,2016-08-31,15:06:00,468.30,468.60,468.15,468.15,6902
TECHM,2016-08-31,15:07:00,468.05,468.05,467.60,467.95,14264
TECHM,2016-08-31,15:08:00,467.95,467.95,467.70,467.95,12745
TECHM,2016-08-31,15:09:00,467.95,468.85,467.65,468.50,13015
TECHM,2016-08-31,15:10:00,468.55,468.75,468.35,468.75,9101
TECHM,2016-08-31,15:11:00,468.75,469.00,468.40,469.00,12072
TECHM,2016-08-31,15:12:00,468.95,469.20,468.70,469.20,9346
TECHM,2016-08-31,15:13:00,469.10,469.20,469.00,469.10,9021
TECHM,2016-08-31,15:14:00,469.20,469.20,468.75,468.90,8735
TECHM,2016-08-31,15:15:00,468.90,468.95,468.50,468.95,8306
TECHM,2016-08-31,15:16:00,468.95,469.10,468.75,469.10,12233
TECHM,2016-08-31,15:17:00,469.05,469.20,468.40,469.05,34033
TECHM,2016-08-31,15:18:00,469.00,469.10,468.65,468.70,6750
TECHM,2016-08-31,15:19:00,468.70,468.75,468.25,468.70,14033
TECHM,2016-08-31,15:20:00,468.70,470.00,468.50,469.85,24795
TECHM,2016-08-31,15:21:00,469.80,469.85,469.50,469.50,9594
TECHM,2016-08-31,15:22:00,469.55,469.55,468.60,468.65,14954
TECHM,2016-08-31,15:23:00,468.55,468.55,468.00,468.00,9139
TECHM,2016-08-31,15:24:00,468.10,468.25,467.85,468.25,13228
TECHM,2016-08-31,15:25:00,468.15,468.20,468.05,468.15,7915
TECHM,2016-08-31,15:26:00,468.20,469.15,468.15,469.05,11511
TECHM,2016-08-31,15:27:00,469.15,470.10,469.10,470.10,13852
TECHM,2016-08-31,15:28:00,469.95,470.30,469.95,470.30,7387
TECHM,2016-08-31,15:29:00,470.30,470.40,470.00,470.00,5190
TECHM,2016-08-31,15:30:00,470.05,470.40,470.00,470.40,8312
TECHM,2016-09-01,09:15:00,470.00,470.00,470.00,470.00,250
TECHM,2016-09-01,09:16:00,469.00,470.95,468.10,468.85,5006
TECHM,2016-09-01,09:17:00,468.85,468.95,468.00,468.00,4381
TECHM,2016-09-01,09:18:00,468.15,469.95,466.35,469.10,11825
TECHM,2016-09-01,09:19:00,468.95,468.95,468.40,468.65,1878
TECHM,2016-09-01,09:20:00,468.45,468.60,468.10,468.15,1428
TECHM,2016-09-01,09:21:00,468.10,468.50,467.40,468.20,8429
TECHM,2016-09-01,09:22:00,468.20,468.75,468.20,468.75,4700
TECHM,2016-09-01,09:23:00,468.65,468.70,468.50,468.50,1451
TECHM,2016-09-01,09:24:00,468.55,469.00,468.55,468.85,1809
TECHM,2016-09-01,09:25:00,468.80,469.35,468.75,469.20,3882
TECHM,2016-09-01,09:26:00,469.35,469.50,469.10,469.50,774
TECHM,2016-09-01,09:27:00,469.50,471.90,469.35,471.60,3415
TECHM,2016-09-01,09:28:00,471.90,472.00,471.10,472.00,4921
TECHM,2016-09-01,09:29:00,471.65,471.95,471.50,471.50,1016
TECHM,2016-09-01,09:30:00,471.50,471.50,471.10,471.10,1126
TECHM,2016-09-01,09:31:00,471.05,471.10,470.60,471.00,1758
TECHM,2016-09-01,09:32:00,471.00,471.40,470.95,471.10,4191
TECHM,2016-09-01,09:33:00,471.10,471.45,471.00,471.45,688
TECHM,2016-09-01,09:34:00,471.50,472.50,471.40,472.50,2376
TECHM,2016-09-01,09:35:00,472.20,472.65,472.20,472.65,3366
TECHM,2016-09-01,09:36:00,472.50,474.60,472.50,474.30,18373
TECHM,2016-09-01,09:37:00,474.55,474.80,474.15,474.35,6276
TECHM,2016-09-01,09:38:00,474.35,475.50,474.30,475.50,13443
TECHM,2016-09-01,09:39:00,475.60,476.00,475.60,475.80,11213
TECHM,2016-09-01,09:40:00,476.00,476.40,475.55,475.70,25474
TECHM,2016-09-01,09:41:00,475.50,475.85,475.35,475.45,6619
TECHM,2016-09-01,09:42:00,475.45,475.80,475.05,475.05,4790
TECHM,2016-09-01,09:43:00,475.05,475.05,474.60,474.60,4583
TECHM,2016-09-01,09:44:00,474.60,474.65,473.30,473.80,6127
TECHM,2016-09-01,09:45:00,473.65,473.75,473.20,473.65,4023
TECHM,2016-09-01,09:46:00,473.70,474.20,473.55,473.95,4024
TECHM,2016-09-01,09:47:00,474.00,474.00,473.85,473.90,4616
TECHM,2016-09-01,09:48:00,473.85,474.00,473.80,473.80,2785
TECHM,2016-09-01,09:49:00,473.80,474.00,473.60,473.65,4330
TECHM,2016-09-01,09:50:00,473.65,474.00,473.60,473.70,3031
TECHM,2016-09-01,09:51:00,473.50,473.70,473.50,473.70,5090
TECHM,2016-09-01,09:52:00,473.75,473.95,473.50,473.55,930
TECHM,2016-09-01,09:53:00,473.50,473.55,472.60,472.95,4739
TECHM,2016-09-01,09:54:00,472.70,473.25,472.70,473.25,1110
TECHM,2016-09-01,09:55:00,473.25,473.25,472.65,472.65,1870
