symbol,date,time,open,high,low,close,volume
ULTRACEMCO,2016-08-31,14:51:00,4053.95,4053.95,4047.50,4048.95,933
ULTRACEMCO,2016-08-31,14:52:00,4048.95,4048.95,4045.25,4048.35,331
ULTRACEMCO,2016-08-31,14:53:00,4049.80,4055.00,4046.90,4052.35,1122
ULTRACEMCO,2016-08-31,14:54:00,4053.00,4053.95,4052.40,4053.95,218
ULTRACEMCO,2016-08-31,14:55:00,4054.80,4054.80,4048.10,4049.75,785
ULTRACEMCO,2016-08-31,14:56:00,4049.90,4053.55,4049.45,4052.30,473
ULTRACEMCO,2016-08-31,14:57:00,4052.90,4052.90,4050.00,4052.00,383
ULTRACEMCO,2016-08-31,14:58:00,4053.00,4053.00,4049.45,4049.45,299
ULTRACEMCO,2016-08-31,14:59:00,4050.85,4051.90,4049.00,4049.10,166
ULTRACEMCO,2016-08-31,15:00:00,4049.15,4052.00,4049.15,4052.00,817
ULTRACEMCO,2016-08-31,15:01:00,4051.20,4051.95,4045.10,4045.10,1610
ULTRACEMCO,2016-08-31,15:02:00,4045.15,4045.15,4041.10,4042.25,2458
ULTRACEMCO,2016-08-31,15:03:00,4042.25,4042.25,4036.50,4038.70,3188
ULTRACEMCO,2016-08-31,15:04:00,4038.70,4038.70,4035.30,4035.50,3713
ULTRACEMCO,2016-08-31,15:05:00,4035.70,4035.80,4034.00,4035.00,2430
ULTRACEMCO,2016-08-31,15:06:00,4035.00,4037.65,4035.00,4037.00,2532
ULTRACEMCO,2016-08-31,15:07:00,4037.00,4037.00,4032.00,4032.90,2585
ULTRACEMCO,2016-08-31,15:08:00,4032.90,4032.90,4022.40,4022.95,3189
ULTRACEMCO,2016-08-31,15:09:00,4022.95,4027.40,4022.00,4027.00,4175
ULTRACEMCO,2016-08-31,15:10:00,4027.40,4031.25,4027.00,4030.85,2766
ULTRACEMCO,2016-08-31,15:11:00,4030.85,4030.85,4028.65,4029.10,3088
ULTRACEMCO,2016-08-31,15:12:00,4032.00,4032.00,4027.85,4028.05,1442
ULTRACEMCO,2016-08-31,15:13:00,4028.25,4028.25,4025.10,4025.15,3724
ULTRACEMCO,2016-08-31,15:14:00,4025.10,4025.15,4021.25,4021.50,3280
ULTRACEMCO,2016-08-31,15:15:00,4021.50,4022.50,4021.10,4021.45,2905
ULTRACEMCO,2016-08-31,15:16:00,4021.45,4027.30,4020.90,4026.05,3570
ULTRACEMCO,2016-08-31,15:17:00,4026.15,4029.05,4026.15,4027.40,2770
ULTRACEMCO,2016-08-31,15:18:00,4027.95,4028.00,4022.00,4022.00,2323
ULTRACEMCO,2016-08-31,15:19:00,4022.00,4029.95,4022.00,4028.00,3941
ULTRACEMCO,2016-08-31,15:20:00,4028.65,4029.65,4027.05,4028.35,3053
ULTRACEMCO,2016-08-31,15:21:00,4028.35,4028.35,4025.00,4025.65,3134
ULTRACEMCO,2016-08-31,15:22:00,4025.10,4030.00,4022.50,4027.85,5109
ULTRACEMCO,2016-08-31,15:23:00,4027.50,4027.85,4022.40,4023.80,2843
ULTRACEMCO,2016-08-31,15:24:00,4023.75,4024.95,4023.55,4024.90,3295
ULTRACEMCO,2016-08-31,15:25:00,4024.90,4027.50,4024.10,4024.10,3115
ULTRACEMCO,2016-08-31,15:26:00,4025.10,4025.35,4024.10,4024.60,2906
ULTRACEMCO,2016-08-31,15:27:00,4025.35,4029.40,4025.05,4028.25,2558
ULTRACEMCO,2016-08-31,15:28:00,4028.25,4034.95,4028.00,4031.00,2333
ULTRACEMCO,2016-08-31,15:29:00,4031.05,4032.00,4026.00,4027.15,2187
ULTRACEMCO,2016-08-31,15:30:00,4028.90,4029.95,4026.20,4029.35,295
ULTRACEMCO,2016-09-01,09:15:00,3963.20,3963.20,3963.20,3963.20,225
ULTRACEMCO,2016-09-01,09:16:00,3963.85,3996.75,3963.85,3979.70,30875
