symbol,date,time,open,high,low,close,volume
ACC,2016-06-28,15:30:00,1608.20,1610.35,1585.00,1599.50,220564
ACC,2016-06-29,15:30:00,1617.00,1617.00,1591.65,1601.50,566696
ACC,2016-06-30,15:30:00,1601.50,1624.95,1595.15,1623.95,434696
ACC,2016-07-01,15:30:00,1618.35,1626.05,1611.75,1619.55,189854
ACC,2016-07-04,15:30:00,1618.00,1625.95,1600.25,1601.60,150330
ACC,2016-07-05,15:30:00,1612.70,1614.60,1585.00,1587.00,244811
ACC,2016-07-07,15:30:00,1585.70,1609.75,1569.05,1609.00,299181
ACC,2016-07-08,15:30:00,1610.00,1610.05,1592.30,1600.00,200172
ACC,2016-07-11,15:30:00,1608.10,1623.85,1606.05,1615.00,133805
ACC,2016-07-12,15:30:00,1616.20,1629.95,1607.80,1620.00,144382
ACC,2016-07-13,15:30:00,1616.50,1625.30,1611.00,1616.00,204473
ACC,2016-07-14,15:30:00,1617.90,1629.00,1609.40,1627.00,151787
ACC,2016-07-15,15:30:00,1628.30,1644.30,1608.15,1616.00,202637
ACC,2016-07-18,15:30:00,1619.00,1619.00,1590.20,1594.90,182531
ACC,2016-07-19,15:30:00,1595.30,1611.90,1579.55,1611.90,292358
ACC,2016-07-20,15:30:00,1612.10,1640.00,1607.55,1639.75,340427
ACC,2016-07-21,15:30:00,1645.00,1718.00,1643.00,1704.00,883761
ACC,2016-07-22,15:30:00,1700.00,1702.85,1675.15,1675.15,321797
ACC,2016-07-25,15:30:00,1678.95,1693.75,1668.35,1673.30,296454
ACC,2016-07-26,15:30:00,1685.00,1709.95,1660.95,1671.00,856261
ACC,2016-07-27,15:30:00,1699.95,1699.95,1657.40,1668.00,360859
ACC,2016-07-28,15:30:00,1676.00,1690.65,1659.50,1680.00,408192
ACC,2016-07-29,15:30:00,1681.95,1717.95,1665.60,1690.20,290569
ACC,2016-08-01,15:30:00,1695.55,1703.50,1674.00,1687.50,164006
ACC,2016-08-02,15:30:00,1678.00,1688.80,1659.60,1670.00,158612
ACC,2016-08-03,15:30:00,1672.70,1684.80,1661.00,1666.00,118390
ACC,2016-08-04,15:30:00,1679.90,1684.90,1657.15,1669.85,131610
