symbol,date,time,open,high,low,close,volume
ADANIPORTS,2017-04-10,15:30:00,348.05,353.85,346.05,352.90,2222773
ADANIPORTS,2017-04-11,15:30:00,352.45,355.85,330.55,333.20,9397306
ADANIPORTS,2017-04-12,15:30:00,333.80,336.60,323.65,327.90,8100661
ADANIPORTS,2017-04-13,15:30:00,325.60,325.60,318.30,319.50,5730306
ADANIPORTS,2017-04-17,15:30:00,320.65,327.20,317.60,319.20,4219235
ADANIPORTS,2017-04-18,15:30:00,321.65,335.25,318.15,318.55,9315409
ADANIPORTS,2017-04-19,15:30:00,322.00,327.65,319.25,326.85,4403069
ADANIPORTS,2017-04-20,15:30:00,327.45,333.20,324.00,332.60,4439900
ADANIPORTS,2017-04-21,15:30:00,335.00,335.00,324.15,326.00,2517582
ADANIPORTS,2017-04-24,15:30:00,328.15,334.20,327.25,332.15,5048373
ADANIPORTS,2017-04-25,15:30:00,332.50,333.10,326.50,330.90,4330049
ADANIPORTS,2017-04-26,15:30:00,332.45,333.90,318.00,322.65,4078479
ADANIPORTS,2017-04-27,15:30:00,325.15,328.90,321.15,325.00,2983463
ADANIPORTS,2017-04-28,15:30:00,324.80,328.45,321.60,326.50,1808460
ADANIPORTS,2017-05-02,15:30:00,328.75,332.90,326.65,330.00,4233839
ADANIPORTS,2017-05-03,15:30:00,330.60,332.30,323.90,327.15,3271643
ADANIPORTS,2017-05-04,15:30:00,328.80,340.40,328.70,338.65,6728527
ADANIPORTS,2017-05-05,15:30:00,339.40,346.45,336.15,344.20,8196507
ADANIPORTS,2017-05-08,15:30:00,343.50,346.70,338.00,341.40,2462230
ADANIPORTS,2017-05-09,15:30:00,339.90,349.40,335.80,347.25,3459067
ADANIPORTS,2017-05-10,15:30:00,346.10,353.00,346.10,350.80,3207734
ADANIPORTS,2017-05-11,15:30:00,352.00,362.55,350.50,358.95,4604066
ADANIPORTS,2017-05-12,15:30:00,360.40,360.40,353.40,358.20,2958586
ADANIPORTS,2017-05-15,15:30:00,359.00,359.75,350.85,356.00,1530781
ADANIPORTS,2017-05-16,15:30:00,354.20,358.15,351.15,353.55,1321254
ADANIPORTS,2017-05-17,15:30:00,354.50,354.80,347.55,348.95,1239867
ADANIPORTS,2017-05-18,15:30:00,344.30,359.55,342.20,348.15,3618961
ADANIPORTS,2017-05-19,15:30:00,349.05,352.50,345.30,350.45,1302961
