symbol,date,time,open,high,low,close,volume
AMBUJACEM,2017-04-10,15:30:00,244.25,245.60,242.00,243.55,1886939
AMBUJACEM,2017-04-11,15:30:00,243.50,250.50,242.85,250.00,1952615
AMBUJACEM,2017-04-12,15:30:00,249.40,252.75,246.50,248.50,3115592
AMBUJACEM,2017-04-13,15:30:00,248.00,250.70,244.40,244.80,1148283
AMBUJACEM,2017-04-17,15:30:00,244.60,247.75,240.65,246.40,1336022
AMBUJACEM,2017-04-18,15:30:00,247.20,248.85,239.55,240.05,1923359
AMBUJACEM,2017-04-19,15:30:00,240.70,241.90,236.80,240.40,3524341
AMBUJACEM,2017-04-20,15:30:00,241.10,246.20,240.15,241.05,4090611
AMBUJACEM,2017-04-21,15:30:00,241.50,243.00,238.00,239.05,2063116
AMBUJACEM,2017-04-24,15:30:00,240.35,250.00,240.35,246.60,8783579
AMBUJACEM,2017-04-25,15:30:00,248.00,250.00,245.50,246.70,3652900
AMBUJACEM,2017-04-26,15:30:00,247.30,251.00,243.40,245.90,3337224
AMBUJACEM,2017-04-27,15:30:00,246.35,250.55,243.65,249.65,4294652
AMBUJACEM,2017-04-28,15:30:00,249.80,249.80,243.80,245.00,5255357
AMBUJACEM,2017-05-02,15:30:00,244.60,245.00,235.55,242.50,4524291
AMBUJACEM,2017-05-03,15:30:00,242.75,247.50,240.80,242.55,2293214
AMBUJACEM,2017-05-04,15:30:00,243.00,245.00,240.10,243.50,1670754
AMBUJACEM,2017-05-05,15:30:00,243.35,247.90,240.25,245.70,2543955
AMBUJACEM,2017-05-08,15:30:00,258.90,270.85,258.00,258.60,24262308
AMBUJACEM,2017-05-09,15:30:00,259.00,262.40,256.40,257.00,5049653
AMBUJACEM,2017-05-10,15:30:00,258.85,260.40,255.15,259.20,3553905
AMBUJACEM,2017-05-11,15:30:00,260.20,264.20,257.30,260.80,3705195
AMBUJACEM,2017-05-12,15:30:00,260.00,260.00,255.85,258.50,1880787
AMBUJACEM,2017-05-15,15:30:00,258.30,263.50,255.60,258.30,8669217
AMBUJACEM,2017-05-16,15:30:00,258.50,262.55,258.50,260.40,3788577
AMBUJACEM,2017-05-17,15:30:00,260.25,260.25,257.00,258.00,4352685
AMBUJACEM,2017-05-18,15:30:00,256.10,256.15,251.10,251.15,1506862
AMBUJACEM,2017-05-19,15:30:00,252.30,256.00,250.25,251.20,2197778
AMBUJACEM,2017-05-22,15:30:00,252.25,253.00,242.10,243.70,2517117
AMBUJACEM,2017-05-23,15:30:00,244.00,244.70,237.65,239.10,2556514
AMBUJACEM,2017-05-24,15:30:00,239.80,240.40,233.05,236.00,2125257
AMBUJACEM,2017-05-25,15:30:00,235.30,241.90,233.15,240.00,1912885
AMBUJACEM,2017-05-26,15:30:00,240.00,243.00,238.20,240.10,2050152
AMBUJACEM,2017-05-29,15:30:00,240.10,243.75,239.10,240.00,1067127
AMBUJACEM,2017-05-30,15:30:00,240.00,244.25,237.30,242.00,2348911
