symbol,date,time,open,high,low,close,volume
ASIANPAINT,2016-06-28,15:30:00,981.00,985.00,975.35,981.00,822749
ASIANPAINT,2016-06-29,15:30:00,978.25,999.30,978.25,993.40,711457
ASIANPAINT,2016-06-30,15:30:00,1004.85,1009.00,996.05,997.50,1039352
ASIANPAINT,2016-07-01,15:30:00,1002.80,1011.10,995.45,998.10,1314022
ASIANPAINT,2016-07-04,15:30:00,1008.00,1017.05,998.20,999.00,884699
ASIANPAINT,2016-07-05,15:30:00,1003.00,1004.85,983.35,984.50,523870
ASIANPAINT,2016-07-07,15:30:00,989.35,997.00,985.00,985.60,757053
ASIANPAINT,2016-07-08,15:30:00,992.90,1013.90,988.15,1010.55,1200518
ASIANPAINT,2016-07-11,15:30:00,1020.00,1033.00,1017.85,1024.05,1082293
ASIANPAINT,2016-07-12,15:30:00,1028.80,1037.90,1016.80,1021.00,1259777
ASIANPAINT,2016-07-13,15:30:00,1029.00,1029.00,1006.45,1007.00,1319911
ASIANPAINT,2016-07-14,15:30:00,1010.20,1025.50,1009.00,1016.65,754274
ASIANPAINT,2016-07-15,15:30:00,1018.20,1031.50,1018.20,1025.70,671924
ASIANPAINT,2016-07-18,15:30:00,1027.10,1044.90,1025.25,1029.95,721547
ASIANPAINT,2016-07-19,15:30:00,1031.00,1037.50,1021.20,1028.05,541334
ASIANPAINT,2016-07-20,15:30:00,1029.25,1036.40,1020.00,1025.30,529012
ASIANPAINT,2016-07-21,15:30:00,1029.80,1048.00,1026.55,1041.05,706661
ASIANPAINT,2016-07-22,15:30:00,1047.85,1054.00,1042.05,1047.00,502766
ASIANPAINT,2016-07-25,15:30:00,1049.30,1074.40,1047.15,1072.00,734354
ASIANPAINT,2016-07-26,15:30:00,1072.10,1074.95,1055.00,1062.00,562982
ASIANPAINT,2016-07-27,15:30:00,1069.90,1073.80,1052.20,1064.00,765267
ASIANPAINT,2016-07-28,15:30:00,1074.00,1153.80,1068.00,1125.30,5831636
ASIANPAINT,2016-07-29,15:30:00,1127.50,1137.70,1102.25,1113.00,1152956
ASIANPAINT,2016-08-01,15:30:00,1119.60,1134.00,1115.05,1120.85,864041
ASIANPAINT,2016-08-02,15:30:00,1129.70,1142.50,1118.65,1126.00,832931
ASIANPAINT,2016-08-03,15:30:00,1132.45,1147.15,1124.05,1145.00,1130691
ASIANPAINT,2016-08-04,15:30:00,1152.05,1154.60,1116.70,1126.05,1075876
ASIANPAINT,2016-08-05,15:30:00,1131.00,1145.30,1128.75,1140.90,543090
ASIANPAINT,2016-08-08,15:30:00,1153.00,1153.00,1136.00,1148.00,407801
ASIANPAINT,2016-08-09,15:30:00,1153.60,1154.95,1134.00,1143.90,541100
ASIANPAINT,2016-08-10,15:30:00,1142.10,1148.45,1128.10,1132.00,788849
ASIANPAINT,2016-08-11,15:30:00,1130.00,1147.50,1118.60,1146.00,651399
ASIANPAINT,2016-08-12,15:30:00,1143.00,1161.25,1125.40,1137.10,795382
ASIANPAINT,2016-08-16,15:30:00,1135.50,1147.80,1126.90,1129.80,921462
ASIANPAINT,2016-08-17,15:30:00,1115.00,1127.70,1108.15,1114.90,742834
ASIANPAINT,2016-08-18,15:30:00,1119.75,1119.75,1102.55,1105.10,1263890
ASIANPAINT,2016-08-19,15:30:00,1101.35,1126.90,1101.35,1115.70,864966
ASIANPAINT,2016-08-22,15:30:00,1121.00,1121.00,1105.00,1113.15,827995
ASIANPAINT,2016-08-23,15:30:00,1112.70,1129.65,1108.15,1129.05,684493
ASIANPAINT,2016-08-24,15:30:00,1130.00,1130.20,1115.60,1120.55,417969
ASIANPAINT,2016-08-25,15:30:00,1120.10,1126.50,1102.80,1105.20,554850
ASIANPAINT,2016-08-26,15:30:00,1106.25,1127.55,1091.05,1123.00,869672
ASIANPAINT,2016-08-29,15:30:00,1123.30,1124.65,1104.15,1108.55,452947
ASIANPAINT,2016-08-30,15:30:00,1115.00,1148.00,1110.00,1145.20,674826
ASIANPAINT,2016-08-31,15:30:00,1157.00,1173.90,1149.00,1160.00,1668417
ASIANPAINT,2016-09-01,15:30:00,1159.85,1164.05,1142.00,1160.95,621894
ASIANPAINT,2016-09-02,15:30:00,1158.95,1172.00,1151.30,1164.55,710106
ASIANPAINT,2016-09-06,15:30:00,1175.00,1213.90,1170.60,1212.00,1131704
ASIANPAINT,2016-09-07,15:30:00,1208.00,1209.00,1170.70,1178.50,1092266
ASIANPAINT,2016-09-08,15:30:00,1179.00,1190.00,1171.00,1180.00,888245
ASIANPAINT,2016-09-09,15:30:00,1181.90,1181.90,1168.00,1168.20,575102
ASIANPAINT,2016-09-12,15:30:00,1156.35,1163.00,1137.00,1155.00,465079
ASIANPAINT,2016-09-14,15:30:00,1150.10,1178.95,1150.10,1165.00,704633
ASIANPAINT,2016-09-15,15:30:00,1170.00,1175.50,1160.00,1173.70,616127
ASIANPAINT,2016-09-16,15:30:00,1173.60,1181.25,1152.00,1157.00,1136226
ASIANPAINT,2016-09-19,15:30:00,1157.20,1172.00,1157.20,1161.00,550698
ASIANPAINT,2016-09-20,15:30:00,1164.00,1173.70,1162.60,1163.30,966451
ASIANPAINT,2016-09-21,15:30:00,1165.90,1176.00,1165.90,1170.00,615798
ASIANPAINT,2016-09-22,15:30:00,1182.30,1197.00,1175.00,1189.00,913747
ASIANPAINT,2016-09-23,15:30:00,1201.00,1203.50,1185.00,1192.00,668223
ASIANPAINT,2016-09-26,15:30:00,1195.00,1195.00,1174.90,1181.50,817715
ASIANPAINT,2016-09-27,15:30:00,1184.20,1203.00,1184.20,1195.90,532323
ASIANPAINT,2016-09-28,15:30:00,1193.00,1201.00,1188.10,1193.50,566690
ASIANPAINT,2016-09-29,15:30:00,1194.35,1203.35,1160.00,1185.00,1125599
ASIANPAINT,2016-09-30,15:30:00,1167.00,1179.95,1156.00,1160.00,478253
ASIANPAINT,2016-10-03,15:30:00,1170.00,1199.00,1165.40,1197.00,747111
ASIANPAINT,2016-10-04,15:30:00,1202.00,1203.00,1179.40,1184.75,503642
ASIANPAINT,2016-10-05,15:30:00,1188.00,1224.00,1185.00,1206.25,1080751
ASIANPAINT,2016-10-06,15:30:00,1210.10,1222.40,1201.70,1210.00,746006
ASIANPAINT,2016-10-07,15:30:00,1208.00,1210.00,1180.80,1183.00,873434
ASIANPAINT,2016-10-10,15:30:00,1189.00,1219.00,1189.00,1211.00,570180
