symbol,date,time,open,high,low,close,volume
AXISBANK,2017-04-10,15:30:00,504.65,513.00,503.35,510.20,5986936
AXISBANK,2017-04-11,15:30:00,509.60,516.60,508.10,513.55,7406691
AXISBANK,2017-04-12,15:30:00,515.30,520.40,503.25,506.60,6161411
AXISBANK,2017-04-13,15:30:00,506.60,511.35,502.90,507.85,6216374
AXISBANK,2017-04-17,15:30:00,505.55,509.05,501.25,501.75,4070932
AXISBANK,2017-04-18,15:30:00,505.00,508.95,498.00,498.30,5450454
AXISBANK,2017-04-19,15:30:00,498.25,501.45,488.25,498.30,7447021
AXISBANK,2017-04-20,15:30:00,496.15,504.40,487.00,488.25,8153829
AXISBANK,2017-04-21,15:30:00,492.00,497.00,483.30,486.00,10301245
AXISBANK,2017-04-24,15:30:00,487.95,503.60,481.00,497.05,14182302
AXISBANK,2017-04-25,15:30:00,501.00,520.15,495.10,518.10,13778124
AXISBANK,2017-04-26,15:30:00,519.50,525.00,508.05,516.20,11516903
AXISBANK,2017-04-27,15:30:00,524.00,524.00,503.25,508.25,22108735
AXISBANK,2017-04-28,15:30:00,508.30,515.30,504.50,509.00,9287281
AXISBANK,2017-05-02,15:30:00,509.50,513.10,501.60,506.80,7539462
AXISBANK,2017-05-03,15:30:00,506.90,507.35,500.00,500.50,7220815
AXISBANK,2017-05-04,15:30:00,504.95,521.80,502.00,518.00,15719994
AXISBANK,2017-05-05,15:30:00,522.00,522.40,502.50,503.40,9440005
AXISBANK,2017-05-08,15:30:00,509.00,513.70,503.30,510.50,6834456
AXISBANK,2017-05-09,15:30:00,513.00,521.25,510.55,519.05,7872272
AXISBANK,2017-05-10,15:30:00,519.00,527.55,515.70,525.60,8812464
AXISBANK,2017-05-11,15:30:00,525.20,534.60,513.45,515.40,8962710
AXISBANK,2017-05-12,15:30:00,516.70,516.85,499.20,503.90,9934430
AXISBANK,2017-05-15,15:30:00,505.00,508.50,498.40,500.25,8806756
AXISBANK,2017-05-16,15:30:00,502.10,504.50,493.50,502.05,8610492
AXISBANK,2017-05-17,15:30:00,501.35,506.75,498.50,502.00,6443135
AXISBANK,2017-05-18,15:30:00,498.00,499.10,490.25,492.85,9227022
AXISBANK,2017-05-19,15:30:00,495.75,503.85,494.20,501.90,7611430
AXISBANK,2017-05-22,15:30:00,504.00,507.45,499.50,502.00,4970982
AXISBANK,2017-05-23,15:30:00,502.25,506.10,495.20,500.50,7549551
AXISBANK,2017-05-24,15:30:00,503.00,505.00,495.00,499.65,7271148
AXISBANK,2017-05-25,15:30:00,502.00,509.90,495.85,507.85,9157557
AXISBANK,2017-05-26,15:30:00,508.00,513.00,505.00,510.50,5995136
AXISBANK,2017-05-29,15:30:00,511.90,515.00,502.20,507.45,5441466
AXISBANK,2017-05-30,15:30:00,505.00,516.95,503.65,514.00,4725430
AXISBANK,2017-05-31,15:30:00,514.00,516.00,509.50,514.05,7263061
AXISBANK,2017-06-01,15:30:00,512.15,515.95,505.50,510.00,8105813
AXISBANK,2017-06-02,15:30:00,513.50,513.50,506.35,507.50,4474040
AXISBANK,2017-06-05,15:30:00,507.35,516.75,507.00,513.80,3858825
AXISBANK,2017-06-06,15:30:00,514.00,514.40,505.55,509.75,3866339
AXISBANK,2017-06-07,15:30:00,510.00,515.45,508.10,514.45,3389166
AXISBANK,2017-06-08,15:30:00,514.00,521.80,511.35,515.00,5980728
AXISBANK,2017-06-09,15:30:00,515.00,516.35,509.40,513.10,3242063
AXISBANK,2017-06-12,15:30:00,512.45,513.10,506.00,507.15,2360518
AXISBANK,2017-06-13,15:30:00,509.00,512.30,505.50,507.00,2181945
AXISBANK,2017-06-14,15:30:00,509.00,510.90,501.55,508.85,4648343
AXISBANK,2017-06-15,15:30:00,508.85,509.30,504.00,507.40,3425367
AXISBANK,2017-06-16,15:30:00,507.65,514.30,507.50,509.15,4999502
AXISBANK,2017-06-19,15:30:00,511.00,525.35,509.30,518.00,6844723
AXISBANK,2017-06-20,15:30:00,520.20,521.70,510.50,512.95,4388846
AXISBANK,2017-06-21,15:30:00,511.05,512.50,506.75,507.35,4346995
AXISBANK,2017-06-22,15:30:00,508.90,514.45,506.65,508.00,3463745
AXISBANK,2017-06-23,15:30:00,509.60,510.45,503.65,505.00,3548884
AXISBANK,2017-06-27,15:30:00,506.00,506.70,484.45,494.00,9842829
AXISBANK,2017-06-28,15:30:00,493.80,500.35,490.05,496.45,12691859
AXISBANK,2017-06-29,15:30:00,498.00,514.40,497.70,510.70,11855524
AXISBANK,2017-06-30,15:30:00,510.60,520.00,508.10,519.00,7600005
AXISBANK,2017-07-03,15:30:00,517.10,521.80,515.00,517.00,3701949
AXISBANK,2017-07-04,15:30:00,516.80,517.55,506.55,507.70,4086213
AXISBANK,2017-07-05,15:30:00,507.75,515.40,507.75,514.55,3154406
AXISBANK,2017-07-06,15:30:00,511.00,512.85,508.15,509.45,3514758
AXISBANK,2017-07-07,15:30:00,508.25,508.95,501.25,504.50,3509920
AXISBANK,2017-07-10,15:30:00,521.00,529.75,506.70,510.00,1245716
AXISBANK,2017-07-11,15:30:00,512.00,512.40,505.80,507.80,3928279
AXISBANK,2017-07-12,15:30:00,508.90,509.90,504.20,507.30,5504892
AXISBANK,2017-07-13,15:30:00,508.00,516.85,508.00,511.75,22231839
AXISBANK,2017-07-14,15:30:00,514.00,514.50,507.70,512.50,3160157
AXISBANK,2017-07-17,15:30:00,513.10,514.00,508.50,510.05,3169635
AXISBANK,2017-07-18,15:30:00,509.00,522.70,508.35,516.30,7864083
AXISBANK,2017-07-19,15:30:00,518.00,521.95,516.05,520.55,8119092
AXISBANK,2017-07-20,15:30:00,520.80,544.20,520.70,539.15,16391849
AXISBANK,2017-07-21,15:30:00,540.00,542.40,532.25,540.40,5567645
AXISBANK,2017-07-24,15:30:00,541.00,546.40,531.40,535.50,4779353
AXISBANK,2017-07-25,15:30:00,533.50,547.50,529.95,547.40,8181916
AXISBANK,2017-07-26,15:30:00,538.90,543.95,525.40,526.85,12085057
AXISBANK,2017-07-27,15:30:00,532.40,534.95,522.00,523.60,12290852
AXISBANK,2017-07-28,15:30:00,523.80,529.65,512.00,515.00,8268116
