symbol,date,time,open,high,low,close,volume
BAJAJ-AUTO,2017-04-10,15:30:00,2855.00,2857.45,2822.00,2835.00,128113
BAJAJ-AUTO,2017-04-11,15:30:00,2816.15,2834.75,2804.05,2820.00,266234
BAJAJ-AUTO,2017-04-12,15:30:00,2820.00,2849.50,2807.00,2836.00,324376
BAJAJ-AUTO,2017-04-13,15:30:00,2844.45,2868.50,2840.00,2841.00,372385
BAJAJ-AUTO,2017-04-17,15:30:00,2844.90,2858.75,2823.55,2847.50,145680
BAJAJ-AUTO,2017-04-18,15:30:00,2849.00,2862.70,2800.00,2810.20,272356
BAJAJ-AUTO,2017-04-19,15:30:00,2820.20,2831.00,2788.05,2817.65,142477
BAJAJ-AUTO,2017-04-20,15:30:00,2805.00,2848.45,2799.95,2830.00,127818
BAJAJ-AUTO,2017-04-21,15:30:00,2827.15,2843.20,2814.40,2825.95,169580
BAJAJ-AUTO,2017-04-24,15:30:00,2827.25,2871.20,2810.15,2869.95,172269
BAJAJ-AUTO,2017-04-25,15:30:00,2876.00,2900.00,2851.55,2882.60,272704
BAJAJ-AUTO,2017-04-26,15:30:00,2915.00,2915.00,2858.75,2877.60,165523
BAJAJ-AUTO,2017-04-27,15:30:00,2870.15,2914.95,2852.00,2858.70,312224
BAJAJ-AUTO,2017-04-28,15:30:00,2865.00,2902.00,2854.10,2871.00,136681
BAJAJ-AUTO,2017-05-02,15:30:00,2873.60,2920.00,2873.60,2900.00,154197
BAJAJ-AUTO,2017-05-03,15:30:00,2909.60,2943.90,2901.55,2928.10,176248
BAJAJ-AUTO,2017-05-04,15:30:00,2947.60,2947.60,2919.00,2940.00,183545
BAJAJ-AUTO,2017-05-05,15:30:00,2939.85,2939.85,2882.00,2882.00,146931
BAJAJ-AUTO,2017-05-08,15:30:00,2899.95,2908.40,2851.00,2853.05,140340
BAJAJ-AUTO,2017-05-09,15:30:00,2864.25,2887.30,2835.00,2874.95,274565
BAJAJ-AUTO,2017-05-10,15:30:00,2880.00,2908.95,2858.10,2905.00,150174
BAJAJ-AUTO,2017-05-11,15:30:00,2905.30,3005.45,2897.05,2993.70,416000
BAJAJ-AUTO,2017-05-12,15:30:00,3005.00,3018.45,2970.00,3000.00,414871
BAJAJ-AUTO,2017-05-15,15:30:00,3005.00,3022.85,2985.10,2998.25,106401
BAJAJ-AUTO,2017-05-16,15:30:00,2992.20,3029.00,2967.10,3015.50,159021
BAJAJ-AUTO,2017-05-17,15:30:00,3001.25,3047.50,3001.25,3041.00,303412
BAJAJ-AUTO,2017-05-18,15:30:00,3018.00,3033.00,2962.05,2965.00,513008
BAJAJ-AUTO,2017-05-19,15:30:00,2973.35,3019.00,2946.10,2970.10,246957
BAJAJ-AUTO,2017-05-22,15:30:00,2987.70,3003.95,2900.50,2910.00,209411
BAJAJ-AUTO,2017-05-23,15:30:00,2928.00,2928.00,2812.00,2812.50,482580
BAJAJ-AUTO,2017-05-24,15:30:00,2815.00,2866.35,2750.00,2780.00,307723
BAJAJ-AUTO,2017-05-25,15:30:00,2764.00,2833.75,2760.90,2824.00,389540
BAJAJ-AUTO,2017-05-26,15:30:00,2820.00,2835.00,2797.05,2808.00,237938
BAJAJ-AUTO,2017-05-29,15:30:00,2813.00,2850.90,2787.75,2844.00,155372
BAJAJ-AUTO,2017-05-30,15:30:00,2837.00,2863.95,2822.00,2859.90,98514
BAJAJ-AUTO,2017-05-31,15:30:00,2850.00,2866.00,2835.00,2839.60,430019
BAJAJ-AUTO,2017-06-01,15:30:00,2848.00,2888.25,2828.30,2835.70,246574
BAJAJ-AUTO,2017-06-02,15:30:00,2804.00,2870.00,2772.85,2869.25,381642
BAJAJ-AUTO,2017-06-05,15:30:00,2850.00,2930.45,2850.00,2895.30,297406
BAJAJ-AUTO,2017-06-06,15:30:00,2900.00,2920.00,2863.00,2873.75,136966
BAJAJ-AUTO,2017-06-07,15:30:00,2852.00,2897.55,2852.00,2875.00,131500
BAJAJ-AUTO,2017-06-08,15:30:00,2872.20,2895.00,2863.20,2871.70,142325
BAJAJ-AUTO,2017-06-09,15:30:00,2872.00,2879.00,2832.55,2861.25,178737
BAJAJ-AUTO,2017-06-12,15:30:00,2855.15,2866.40,2818.45,2830.95,365323
BAJAJ-AUTO,2017-06-13,15:30:00,2825.00,2857.00,2821.70,2830.45,146666
BAJAJ-AUTO,2017-06-14,15:30:00,2800.00,2838.95,2800.00,2820.00,157837
BAJAJ-AUTO,2017-06-15,15:30:00,2819.00,2848.20,2808.55,2810.00,131874
BAJAJ-AUTO,2017-06-16,15:30:00,2815.00,2829.70,2801.40,2806.00,209497
