symbol,date,time,open,high,low,close,volume
BANKBARODA,2017-04-10,15:30:00,169.75,172.15,168.20,171.25,6533837
BANKBARODA,2017-04-11,15:30:00,171.45,175.35,170.10,174.50,8135812
BANKBARODA,2017-04-12,15:30:00,174.15,175.65,171.20,172.35,6323133
BANKBARODA,2017-04-13,15:30:00,172.20,177.90,171.50,175.50,12377238
BANKBARODA,2017-04-17,15:30:00,178.00,178.10,175.25,175.90,6316890
BANKBARODA,2017-04-18,15:30:00,176.50,181.70,175.35,177.10,11000034
BANKBARODA,2017-04-19,15:30:00,177.00,177.20,173.30,174.90,6148670
BANKBARODA,2017-04-20,15:30:00,175.90,180.50,174.20,179.55,11566048
BANKBARODA,2017-04-21,15:30:00,179.65,180.05,174.50,175.35,6262395
BANKBARODA,2017-04-24,15:30:00,177.50,179.40,175.55,179.30,7576411
BANKBARODA,2017-04-25,15:30:00,180.00,183.45,178.75,181.50,8146288
BANKBARODA,2017-04-26,15:30:00,182.65,184.60,178.85,181.40,7967391
BANKBARODA,2017-04-27,15:30:00,181.95,184.00,180.05,181.60,6405353
BANKBARODA,2017-04-28,15:30:00,181.70,188.55,181.70,187.65,11823024
BANKBARODA,2017-05-02,15:30:00,188.00,191.60,185.70,188.90,11014407
BANKBARODA,2017-05-03,15:30:00,189.50,194.55,186.70,189.30,12842041
BANKBARODA,2017-05-04,15:30:00,194.00,196.75,192.25,195.95,14165960
BANKBARODA,2017-05-05,15:30:00,197.00,202.50,184.20,187.50,27045694
BANKBARODA,2017-05-08,15:30:00,187.60,191.60,185.30,188.75,9056363
BANKBARODA,2017-05-09,15:30:00,189.40,190.00,184.65,186.30,5765748
BANKBARODA,2017-05-10,15:30:00,187.00,188.40,185.05,185.70,5069404
BANKBARODA,2017-05-11,15:30:00,186.55,190.50,185.80,187.75,6927969
BANKBARODA,2017-05-12,15:30:00,188.00,191.20,184.85,186.00,9730497
BANKBARODA,2017-05-15,15:30:00,186.55,189.80,186.50,188.25,5384073
BANKBARODA,2017-05-16,15:30:00,188.25,195.00,186.40,193.50,10631909
BANKBARODA,2017-05-17,15:30:00,193.00,193.75,189.60,191.85,6975684
