symbol,date,time,open,high,low,close,volume
BHEL,2016-06-28,15:30:00,119.65,120.50,118.60,119.10,4449120
BHEL,2016-06-29,15:30:00,120.30,122.80,119.70,122.00,5925078
BHEL,2016-06-30,15:30:00,123.85,128.20,123.20,128.10,13145427
BHEL,2016-07-01,15:30:00,129.00,132.95,128.90,131.95,11649109
BHEL,2016-07-04,15:30:00,133.25,138.70,133.25,138.00,12509621
BHEL,2016-07-05,15:30:00,138.45,141.45,136.85,139.30,12272088
BHEL,2016-07-07,15:30:00,139.75,141.95,139.35,140.10,6505372
BHEL,2016-07-08,15:30:00,140.00,141.70,135.65,137.90,6827875
BHEL,2016-07-11,15:30:00,140.00,141.80,138.50,139.40,3167179
BHEL,2016-07-12,15:30:00,139.50,140.15,136.35,138.15,6351581
BHEL,2016-07-13,15:30:00,139.00,147.00,139.00,140.90,13073665
BHEL,2016-07-14,15:30:00,141.60,145.25,140.20,144.40,6654871
BHEL,2016-07-15,15:30:00,144.90,145.55,142.00,142.25,4424153
BHEL,2016-07-18,15:30:00,142.70,144.90,138.70,139.90,6239801
BHEL,2016-07-19,15:30:00,139.35,140.75,137.05,139.25,6190487
BHEL,2016-07-20,15:30:00,139.85,144.50,139.60,144.00,6133446
BHEL,2016-07-21,15:30:00,144.75,144.75,138.60,140.25,4721898
BHEL,2016-07-22,15:30:00,141.00,142.30,139.50,140.35,5511698
BHEL,2016-07-25,15:30:00,141.00,148.30,140.60,147.80,7323490
BHEL,2016-07-26,15:30:00,148.95,148.95,146.15,147.00,6725492
BHEL,2016-07-27,15:30:00,146.95,151.25,146.20,148.95,10411959
BHEL,2016-07-28,15:30:00,149.95,151.20,147.60,149.30,7224516
BHEL,2016-07-29,15:30:00,148.00,148.90,145.00,145.80,7471847
BHEL,2016-08-01,15:30:00,146.00,149.00,141.25,141.80,9346007
BHEL,2016-08-02,15:30:00,142.40,144.00,138.00,138.80,5629554
BHEL,2016-08-03,15:30:00,138.50,138.85,132.50,133.45,6156018
BHEL,2016-08-04,15:30:00,135.00,135.75,132.20,134.20,6300039
BHEL,2016-08-05,15:30:00,135.05,138.60,135.00,137.40,5236385
BHEL,2016-08-08,15:30:00,139.00,141.85,136.20,139.90,7585728
BHEL,2016-08-09,15:30:00,140.15,142.15,138.70,139.50,6219128
BHEL,2016-08-10,15:30:00,140.00,141.05,136.00,136.20,5793599
BHEL,2016-08-11,15:30:00,138.10,139.00,134.20,137.20,6098577
BHEL,2016-08-12,15:30:00,137.90,139.60,137.35,138.20,4733480
BHEL,2016-08-16,15:30:00,139.00,139.00,135.50,137.00,4901465
BHEL,2016-08-17,15:30:00,137.00,138.70,136.50,137.55,3085282
BHEL,2016-08-18,15:30:00,138.65,141.20,138.00,140.50,3891795
BHEL,2016-08-19,15:30:00,140.95,142.80,140.15,142.20,3788584
BHEL,2016-08-22,15:30:00,141.90,146.40,141.10,143.55,8409728
BHEL,2016-08-23,15:30:00,143.45,143.45,135.90,137.10,9763843
BHEL,2016-08-24,15:30:00,136.45,138.10,135.35,136.95,5087982
BHEL,2016-08-25,15:30:00,136.50,142.00,136.30,141.20,13325383
BHEL,2016-08-26,15:30:00,140.00,142.20,138.00,139.00,4432756
BHEL,2016-08-29,15:30:00,139.25,141.50,137.65,140.60,3901041
BHEL,2016-08-30,15:30:00,140.50,142.25,139.15,140.70,4345174
BHEL,2016-08-31,15:30:00,140.10,141.65,138.15,138.55,4848650
BHEL,2016-09-01,15:30:00,139.10,139.95,134.60,135.10,5065992
BHEL,2016-09-02,15:30:00,134.25,136.90,134.25,135.70,4706381
BHEL,2016-09-06,15:30:00,137.00,138.90,137.00,137.95,3761711
BHEL,2016-09-07,15:30:00,137.95,161.55,134.05,159.90,79287107
BHEL,2016-09-08,15:30:00,158.45,162.90,153.55,156.20,40482042
BHEL,2016-09-09,15:30:00,155.05,156.90,153.00,153.55,12309772
BHEL,2016-09-12,15:30:00,150.50,153.85,146.25,147.60,11723587
BHEL,2016-09-14,15:30:00,148.00,149.45,144.70,146.40,10833513
BHEL,2016-09-15,15:30:00,147.40,151.45,145.35,150.30,16496905
BHEL,2016-09-16,15:30:00,152.95,153.30,145.60,146.90,13625503
BHEL,2016-09-19,15:30:00,146.90,149.40,146.55,146.75,6780450
BHEL,2016-09-20,15:30:00,147.50,148.30,145.25,145.25,10277767
BHEL,2016-09-21,15:30:00,148.00,148.00,143.55,144.35,7132314
BHEL,2016-09-22,15:30:00,146.50,147.80,145.60,146.85,6075695
BHEL,2016-09-23,15:30:00,147.50,150.70,145.60,146.10,13606551
BHEL,2016-09-26,15:30:00,146.00,146.75,142.30,142.45,8015791
BHEL,2016-09-27,15:30:00,143.70,143.95,140.50,141.25,5911208
BHEL,2016-09-28,15:30:00,141.95,144.70,140.80,143.85,5655891
BHEL,2016-09-29,15:30:00,144.80,145.30,129.60,133.50,17649238
BHEL,2016-09-30,15:30:00,133.00,135.35,131.90,134.75,7896315
BHEL,2016-10-03,15:30:00,136.60,137.90,135.30,137.25,5971271
BHEL,2016-10-04,15:30:00,139.00,139.10,136.70,138.00,4890091
BHEL,2016-10-05,15:30:00,138.30,138.90,135.70,136.55,5046364
BHEL,2016-10-06,15:30:00,137.65,140.00,135.80,136.05,9079770
BHEL,2016-10-07,15:30:00,136.20,136.40,134.50,135.00,5229819
BHEL,2016-10-10,15:30:00,136.20,136.60,134.25,135.05,3726383
BHEL,2016-10-13,15:30:00,134.80,134.90,131.35,132.90,6260360
BHEL,2016-10-14,15:30:00,133.00,133.95,132.15,133.05,4047167
BHEL,2016-10-17,15:30:00,133.20,133.90,129.80,131.90,5174195
BHEL,2016-10-18,15:30:00,132.80,137.00,132.40,136.15,7898215
BHEL,2016-10-19,15:30:00,139.10,143.65,139.10,140.75,18683689
BHEL,2016-10-20,15:30:00,142.25,142.90,140.75,142.00,5790946
BHEL,2016-10-21,15:30:00,142.00,142.65,140.35,141.75,4626655
BHEL,2016-10-24,15:30:00,142.40,142.70,141.00,141.25,3387593
BHEL,2016-10-25,15:30:00,141.40,142.30,138.65,140.30,3889544
BHEL,2016-10-26,15:30:00,139.75,141.80,138.75,139.25,4901590
BHEL,2016-10-27,15:30:00,139.00,139.20,136.15,138.50,4595440
BHEL,2016-10-28,15:30:00,138.50,139.95,138.10,139.00,4573165
BHEL,2016-11-01,15:30:00,140.00,143.50,138.60,141.80,7068586
BHEL,2016-11-02,15:30:00,139.75,139.90,136.65,136.90,5166805
BHEL,2016-11-03,15:30:00,137.20,140.10,137.00,138.10,3726463
BHEL,2016-11-04,15:30:00,138.35,138.90,133.65,135.30,5276644
BHEL,2016-11-07,15:30:00,136.30,140.45,136.20,138.90,6543966
BHEL,2016-11-08,15:30:00,141.00,146.80,140.55,142.70,23554076
BHEL,2016-11-09,15:30:00,131.00,140.45,128.90,138.40,15564889
BHEL,2016-11-10,15:30:00,141.80,143.80,139.10,140.80,9071225
BHEL,2016-11-11,15:30:00,139.75,142.80,134.50,135.00,11877573
BHEL,2016-11-15,15:30:00,136.15,138.15,132.10,133.45,6199040
BHEL,2016-11-16,15:30:00,136.00,136.60,131.05,131.50,4980489
BHEL,2016-11-17,15:30:00,134.00,135.55,131.60,133.60,8308138
BHEL,2016-11-18,15:30:00,133.90,135.50,132.75,134.15,3343478
BHEL,2016-11-21,15:30:00,135.00,135.25,126.35,129.00,8053147
BHEL,2016-11-22,15:30:00,130.30,130.35,123.60,124.55,12473920
BHEL,2016-11-23,15:30:00,125.20,126.35,122.50,124.55,8953076
BHEL,2016-11-24,15:30:00,124.90,125.75,123.45,124.50,8297597
BHEL,2016-11-25,15:30:00,125.10,127.50,124.70,126.65,4798925
BHEL,2016-11-28,15:30:00,126.80,129.00,126.20,127.70,4133358
BHEL,2016-11-29,15:30:00,128.75,130.45,127.95,129.70,4680751
BHEL,2016-11-30,15:30:00,129.95,131.45,129.10,130.20,5803728
BHEL,2016-12-01,15:30:00,130.60,131.20,128.15,129.15,2867244
BHEL,2016-12-02,15:30:00,128.50,129.20,126.25,127.20,3167917
BHEL,2016-12-05,15:30:00,126.70,129.35,125.60,129.35,3681006
BHEL,2016-12-06,15:30:00,128.80,129.50,127.50,128.00,3655978
BHEL,2016-12-07,15:30:00,128.90,129.20,126.40,127.55,3802962
BHEL,2016-12-08,15:30:00,128.60,130.00,128.20,128.80,3469417
BHEL,2016-12-09,15:30:00,129.65,130.45,128.50,129.15,3909054
BHEL,2016-12-12,15:30:00,128.70,128.70,125.95,127.45,3537925
BHEL,2016-12-13,15:30:00,127.05,127.20,125.15,125.35,3394925
BHEL,2016-12-14,15:30:00,125.75,126.65,124.80,125.20,2874520
BHEL,2016-12-15,15:30:00,124.00,126.70,123.90,125.25,2916919
BHEL,2016-12-16,15:30:00,125.70,125.85,122.50,122.75,5392007
BHEL,2016-12-19,15:30:00,123.00,123.40,121.05,121.60,4867922
BHEL,2016-12-20,15:30:00,122.00,122.50,120.65,121.00,2626165
BHEL,2016-12-21,15:30:00,121.20,122.20,120.55,120.60,2447467
BHEL,2016-12-22,15:30:00,120.50,120.90,118.20,118.85,3640240
BHEL,2016-12-23,15:30:00,118.85,120.75,118.55,119.40,3385197
BHEL,2016-12-26,15:30:00,119.00,119.15,116.55,117.30,2984121
BHEL,2016-12-27,15:30:00,117.30,119.70,116.10,119.30,2516696
BHEL,2016-12-28,15:30:00,119.90,121.20,119.10,119.35,2472704
BHEL,2016-12-29,15:30:00,119.05,120.40,118.40,118.90,4847425
BHEL,2016-12-30,15:30:00,119.50,121.60,119.00,120.95,5018485
BHEL,2017-01-02,15:30:00,121.20,123.30,120.70,122.45,3236619
BHEL,2017-01-03,15:30:00,122.75,126.25,122.60,125.00,5189549
BHEL,2017-01-04,15:30:00,125.05,127.95,125.05,127.05,6436133
BHEL,2017-01-05,15:30:00,127.25,128.55,126.15,128.15,4042940
BHEL,2017-01-06,15:30:00,127.40,128.50,126.10,126.60,4221178
BHEL,2017-01-09,15:30:00,127.00,128.45,126.00,127.75,2883288
BHEL,2017-01-10,15:30:00,127.70,129.20,127.70,128.30,2587959
BHEL,2017-01-11,15:30:00,128.70,129.80,128.20,128.40,4304575
BHEL,2017-01-12,15:30:00,129.00,129.00,126.15,127.65,5194775
BHEL,2017-01-13,15:30:00,130.15,130.35,128.00,128.90,6075558
BHEL,2017-01-16,15:30:00,129.00,129.15,127.75,128.80,2887404
BHEL,2017-01-17,15:30:00,129.00,129.50,127.60,127.85,1995429
