symbol,date,time,open,high,low,close,volume
BOSCHLTD,2017-04-10,15:30:00,22872.20,23038.05,22649.00,22681.05,13573
BOSCHLTD,2017-04-11,15:30:00,22759.00,22850.00,22640.05,22700.00,11355
BOSCHLTD,2017-04-12,15:30:00,22681.00,23700.00,22650.00,23600.00,19311
BOSCHLTD,2017-04-13,15:30:00,23500.00,23650.00,23185.55,23203.10,22062
BOSCHLTD,2017-04-17,15:30:00,23210.00,23375.00,22657.75,22657.75,20492
BOSCHLTD,2017-04-18,15:30:00,22835.05,22980.00,22501.00,22575.00,9785
BOSCHLTD,2017-04-19,15:30:00,22749.95,22749.95,22401.00,22480.00,8491
BOSCHLTD,2017-04-20,15:30:00,22645.40,22645.40,22401.00,22609.95,9238
BOSCHLTD,2017-04-21,15:30:00,22610.00,22690.00,22331.50,22415.00,7336
BOSCHLTD,2017-04-24,15:30:00,22550.00,22550.00,22400.00,22460.00,5610
BOSCHLTD,2017-04-25,15:30:00,22510.00,22664.10,22434.70,22540.00,10323
BOSCHLTD,2017-04-26,15:30:00,22645.00,22899.00,22460.00,22610.00,17259
BOSCHLTD,2017-04-27,15:30:00,22699.00,22699.00,22401.00,22457.50,16619
BOSCHLTD,2017-04-28,15:30:00,22601.10,23080.00,22425.00,22899.95,12765
BOSCHLTD,2017-05-02,15:30:00,23099.95,23223.00,22705.00,23110.00,9130
BOSCHLTD,2017-05-03,15:30:00,22951.00,23350.00,22951.00,23290.00,11880
BOSCHLTD,2017-05-04,15:30:00,23300.00,23420.00,23050.10,23150.00,8831
BOSCHLTD,2017-05-05,15:30:00,23100.00,23749.85,23020.15,23450.00,16244
BOSCHLTD,2017-05-08,15:30:00,23498.00,23732.80,23291.00,23300.00,8014
BOSCHLTD,2017-05-09,15:30:00,23390.00,23470.00,23250.00,23340.00,6706
BOSCHLTD,2017-05-10,15:30:00,23499.00,23574.05,23125.25,23200.00,8245
BOSCHLTD,2017-05-11,15:30:00,23275.00,23813.65,23169.40,23500.00,10386
BOSCHLTD,2017-05-12,15:30:00,23590.00,23700.00,23376.20,23450.00,9758
BOSCHLTD,2017-05-15,15:30:00,23520.00,24300.00,23520.00,24135.00,20847
BOSCHLTD,2017-05-16,15:30:00,24130.00,24889.75,24016.10,24500.00,26450
BOSCHLTD,2017-05-17,15:30:00,24500.00,24555.65,24105.05,24198.00,19226
BOSCHLTD,2017-05-18,15:30:00,24100.00,24292.75,22500.00,23300.00,13498
BOSCHLTD,2017-05-19,15:30:00,23500.00,24100.00,22810.00,23000.00,14131
BOSCHLTD,2017-05-22,15:30:00,23010.00,23611.20,23000.00,23089.00,11933
BOSCHLTD,2017-05-23,15:30:00,23098.00,23395.95,22851.00,23167.00,9389
BOSCHLTD,2017-05-24,15:30:00,23300.00,23322.00,22760.00,22840.00,14687
BOSCHLTD,2017-05-25,15:30:00,22847.00,24078.90,22800.00,23300.00,63201
BOSCHLTD,2017-05-26,15:30:00,23599.45,23849.00,23244.10,23679.80,22780
BOSCHLTD,2017-05-29,15:30:00,23620.00,23800.00,23406.00,23585.10,12255
BOSCHLTD,2017-05-30,15:30:00,23574.95,23777.00,23445.00,23549.95,6787
BOSCHLTD,2017-05-31,15:30:00,23669.70,23669.80,23226.30,23311.55,20144
BOSCHLTD,2017-06-01,15:30:00,23127.00,23942.10,23127.00,23812.10,13256
BOSCHLTD,2017-06-02,15:30:00,23823.30,24275.10,23612.25,23625.05,15553
BOSCHLTD,2017-06-05,15:30:00,23750.00,23990.00,23736.85,23828.30,9094
BOSCHLTD,2017-06-06,15:30:00,23760.00,23915.55,23601.00,23700.00,6934
BOSCHLTD,2017-06-07,15:30:00,23700.00,23983.00,23700.00,23859.95,8851
