symbol,date,time,open,high,low,close,volume
BPCL,2017-04-10,15:30:00,453.33,469.90,453.33,464.70,7741542
BPCL,2017-04-11,15:30:00,469.30,475.70,466.80,474.40,5348888
BPCL,2017-04-12,15:30:00,475.60,481.10,465.50,478.67,3284840
BPCL,2017-04-13,15:30:00,480.57,494.63,474.03,485.93,4816965
BPCL,2017-04-17,15:30:00,486.00,492.00,479.10,483.53,2317008
BPCL,2017-04-18,15:30:00,483.67,491.03,481.43,482.27,2615272
BPCL,2017-04-19,15:30:00,482.27,487.80,474.47,483.10,2746041
BPCL,2017-04-20,15:30:00,483.50,486.57,480.00,480.83,1849893
BPCL,2017-04-21,15:30:00,482.97,484.90,475.47,477.60,1818399
BPCL,2017-04-24,15:30:00,477.47,480.00,470.70,477.60,2123874
BPCL,2017-04-25,15:30:00,478.00,494.50,478.00,493.50,3668848
BPCL,2017-04-26,15:30:00,494.60,496.60,481.70,486.00,1986456
BPCL,2017-04-27,15:30:00,487.87,492.30,482.50,490.67,1675718
BPCL,2017-04-28,15:30:00,492.67,493.13,477.83,483.50,2005066
BPCL,2017-05-02,15:30:00,484.67,495.33,480.83,494.20,3313906
BPCL,2017-05-03,15:30:00,496.00,502.37,485.67,491.40,3711117
BPCL,2017-05-04,15:30:00,494.00,494.00,479.90,488.20,2646592
BPCL,2017-05-05,15:30:00,490.00,496.70,480.00,483.10,3839194
BPCL,2017-05-08,15:30:00,484.00,486.40,473.40,476.50,2769770
BPCL,2017-05-09,15:30:00,478.33,482.00,473.57,480.67,1920567
BPCL,2017-05-10,15:30:00,485.20,486.67,480.30,486.13,2259860
BPCL,2017-05-11,15:30:00,488.17,490.27,483.33,487.50,2007280
BPCL,2017-05-12,15:30:00,487.07,490.63,483.33,488.67,1509681
BPCL,2017-05-15,15:30:00,489.77,490.67,482.00,486.00,1259512
BPCL,2017-05-16,15:30:00,484.67,490.00,482.00,488.83,1307282
BPCL,2017-05-17,15:30:00,488.60,489.33,482.33,484.70,1711544
BPCL,2017-05-18,15:30:00,481.50,485.00,474.00,475.10,1571612
BPCL,2017-05-19,15:30:00,476.83,481.63,466.67,469.00,1604319
BPCL,2017-05-22,15:30:00,467.33,467.33,457.70,465.00,2260406
BPCL,2017-05-23,15:30:00,462.80,470.70,458.90,466.70,2688990
BPCL,2017-05-24,15:30:00,468.67,477.80,460.83,477.80,3525033
BPCL,2017-05-25,15:30:00,476.47,488.67,471.33,482.03,5337696
BPCL,2017-05-26,15:30:00,481.40,502.63,468.67,502.00,5711457
BPCL,2017-05-29,15:30:00,502.67,512.83,498.00,498.63,6432402
BPCL,2017-05-30,15:30:00,495.83,496.63,483.80,493.33,3710562
BPCL,2017-05-31,15:30:00,493.47,498.77,492.00,492.93,3296247
BPCL,2017-06-01,15:30:00,492.93,497.87,485.97,491.33,2254998
BPCL,2017-06-02,15:30:00,492.53,493.33,481.90,482.33,1987678
BPCL,2017-06-05,15:30:00,483.33,491.73,482.43,485.33,2019716
BPCL,2017-06-06,15:30:00,487.33,490.67,482.43,484.23,2300478
BPCL,2017-06-07,15:30:00,484.67,484.93,474.00,478.03,4297544
BPCL,2017-06-08,15:30:00,483.23,485.67,470.13,470.33,3345774
BPCL,2017-06-09,15:30:00,472.80,474.23,463.67,468.70,2920164
BPCL,2017-06-12,15:30:00,469.90,471.10,466.00,467.70,2609052
BPCL,2017-06-13,15:30:00,471.13,472.43,464.90,465.33,1235648
BPCL,2017-06-14,15:30:00,466.00,466.80,459.60,461.03,2844516
