symbol,date,time,open,high,low,close,volume
CIPLA,2016-06-28,15:30:00,490.00,499.00,486.55,496.55,1775304
CIPLA,2016-06-29,15:30:00,498.80,504.00,496.05,501.60,1048438
CIPLA,2016-06-30,15:30:00,505.00,506.80,499.45,500.80,2152521
CIPLA,2016-07-01,15:30:00,502.00,510.00,499.85,509.40,1008068
CIPLA,2016-07-04,15:30:00,510.70,513.40,508.10,510.00,1055119
CIPLA,2016-07-05,15:30:00,510.20,511.10,502.70,507.25,689915
CIPLA,2016-07-07,15:30:00,505.50,517.35,504.05,517.10,2078580
CIPLA,2016-07-08,15:30:00,518.00,522.45,513.05,521.05,1828792
CIPLA,2016-07-11,15:30:00,525.40,528.25,520.00,520.90,1441960
CIPLA,2016-07-12,15:30:00,522.50,522.90,514.10,515.40,891315
CIPLA,2016-07-13,15:30:00,516.00,519.45,511.20,514.30,1202156
CIPLA,2016-07-14,15:30:00,515.90,516.60,507.00,511.05,1257722
CIPLA,2016-07-15,15:30:00,513.95,518.90,510.20,516.10,1004156
CIPLA,2016-07-18,15:30:00,517.05,517.30,505.30,506.80,1459230
CIPLA,2016-07-19,15:30:00,507.00,510.40,500.55,507.15,1027246
CIPLA,2016-07-20,15:30:00,507.45,519.40,505.25,518.45,3584904
CIPLA,2016-07-21,15:30:00,522.50,526.95,514.00,514.70,2274652
CIPLA,2016-07-22,15:30:00,516.00,522.90,512.35,522.35,1188747
CIPLA,2016-07-25,15:30:00,514.05,526.50,513.00,524.40,1337348
CIPLA,2016-07-26,15:30:00,527.50,530.15,521.75,525.00,2105457
CIPLA,2016-07-27,15:30:00,523.00,529.15,516.95,523.35,894972
CIPLA,2016-07-28,15:30:00,523.90,527.95,519.00,520.10,1347889
CIPLA,2016-07-29,15:30:00,522.40,535.50,520.00,528.25,1785352
CIPLA,2016-08-01,15:30:00,528.80,535.00,521.50,525.10,955999
CIPLA,2016-08-02,15:30:00,525.10,529.95,516.20,519.90,1009436
CIPLA,2016-08-03,15:30:00,517.00,534.90,515.30,527.90,1846161
CIPLA,2016-08-04,15:30:00,531.20,534.00,523.00,527.95,1564658
CIPLA,2016-08-05,15:30:00,530.90,534.60,527.25,531.90,699384
CIPLA,2016-08-08,15:30:00,533.90,541.20,531.95,535.00,852842
CIPLA,2016-08-09,15:30:00,537.80,540.00,530.15,532.00,886532
CIPLA,2016-08-10,15:30:00,532.50,533.95,519.50,520.95,809814
CIPLA,2016-08-11,15:30:00,521.50,525.50,517.90,524.45,761596
CIPLA,2016-08-12,15:30:00,524.00,526.40,512.10,512.90,2124886
CIPLA,2016-08-16,15:30:00,510.20,557.55,510.20,554.00,8817547
CIPLA,2016-08-17,15:30:00,552.00,564.00,547.20,549.30,3819727
CIPLA,2016-08-18,15:30:00,553.70,557.50,548.00,551.05,1434412
CIPLA,2016-08-19,15:30:00,552.85,560.55,552.50,556.00,1598177
CIPLA,2016-08-22,15:30:00,557.00,564.90,552.30,557.25,1218782
CIPLA,2016-08-23,15:30:00,557.60,557.75,552.05,555.00,874783
CIPLA,2016-08-24,15:30:00,559.80,572.00,553.85,566.90,2340210
CIPLA,2016-08-25,15:30:00,570.00,574.55,560.00,561.60,3471437
CIPLA,2016-08-26,15:30:00,567.50,571.70,562.35,567.20,2196070
CIPLA,2016-08-29,15:30:00,568.30,570.35,562.90,569.30,1085860
CIPLA,2016-08-30,15:30:00,570.00,581.45,567.70,580.30,1075723
CIPLA,2016-08-31,15:30:00,581.05,587.50,570.00,574.55,3596264
CIPLA,2016-09-01,15:30:00,575.00,581.30,571.00,578.00,960422
CIPLA,2016-09-02,15:30:00,580.30,581.10,571.50,578.00,880437
CIPLA,2016-09-06,15:30:00,585.00,586.30,576.00,578.15,1189215
