symbol,date,time,open,high,low,close,volume
COALINDIA,2017-04-10,15:30:00,284.90,288.60,284.75,286.20,5200102
COALINDIA,2017-04-11,15:30:00,286.50,290.40,286.15,289.00,4064823
COALINDIA,2017-04-12,15:30:00,288.25,291.85,288.00,290.00,4747753
COALINDIA,2017-04-13,15:30:00,288.90,291.55,288.55,291.50,3847263
COALINDIA,2017-04-17,15:30:00,291.00,291.00,285.20,285.40,1515055
COALINDIA,2017-04-18,15:30:00,283.00,284.50,278.70,279.20,4906059
COALINDIA,2017-04-19,15:30:00,278.50,283.40,276.10,282.70,3993645
COALINDIA,2017-04-20,15:30:00,283.90,284.00,278.10,279.55,3833330
COALINDIA,2017-04-21,15:30:00,280.95,281.70,276.40,277.00,3533868
COALINDIA,2017-04-24,15:30:00,279.45,279.45,276.30,277.05,4077534
COALINDIA,2017-04-25,15:30:00,278.00,278.90,277.15,278.40,2431359
COALINDIA,2017-04-26,15:30:00,278.90,280.70,276.00,276.20,2868393
COALINDIA,2017-04-27,15:30:00,276.85,277.90,273.10,273.55,2586925
COALINDIA,2017-04-28,15:30:00,274.15,278.25,274.15,276.80,2235812
COALINDIA,2017-05-02,15:30:00,278.70,278.70,273.85,274.70,2101731
COALINDIA,2017-05-03,15:30:00,277.40,280.20,275.00,280.00,2622769
COALINDIA,2017-05-04,15:30:00,280.00,281.60,279.00,280.05,2230934
COALINDIA,2017-05-05,15:30:00,282.00,284.45,278.05,278.65,5125398
COALINDIA,2017-05-08,15:30:00,281.00,281.00,278.20,279.15,1671179
COALINDIA,2017-05-09,15:30:00,279.40,280.15,276.00,278.20,2466355
COALINDIA,2017-05-10,15:30:00,277.70,279.30,277.10,278.70,1433509
COALINDIA,2017-05-11,15:30:00,279.90,280.00,273.75,274.55,4892432
COALINDIA,2017-05-12,15:30:00,274.60,278.05,274.60,276.70,2692014
COALINDIA,2017-05-15,15:30:00,277.25,278.50,277.25,277.40,2531633
COALINDIA,2017-05-16,15:30:00,277.40,277.70,274.50,276.55,2258317
COALINDIA,2017-05-17,15:30:00,275.20,278.00,275.00,275.95,2146326
COALINDIA,2017-05-18,15:30:00,275.00,278.40,275.00,276.00,1619249
COALINDIA,2017-05-19,15:30:00,278.40,283.65,275.75,276.10,4250348
COALINDIA,2017-05-22,15:30:00,277.35,277.75,273.50,274.00,1557880
COALINDIA,2017-05-23,15:30:00,273.90,274.80,267.15,267.80,2984399
COALINDIA,2017-05-24,15:30:00,268.30,270.25,261.00,261.90,3021594
COALINDIA,2017-05-25,15:30:00,263.80,266.25,262.75,265.90,4127507
COALINDIA,2017-05-26,15:30:00,266.00,269.25,265.90,268.10,1843278
COALINDIA,2017-05-29,15:30:00,270.00,271.00,265.75,266.55,3299175
COALINDIA,2017-05-30,15:30:00,259.80,268.60,259.50,267.75,4782782
COALINDIA,2017-05-31,15:30:00,268.00,268.90,262.00,263.10,3555129
COALINDIA,2017-06-01,15:30:00,263.00,266.10,262.75,266.05,1289229
COALINDIA,2017-06-02,15:30:00,265.35,270.25,265.35,268.20,2602919
COALINDIA,2017-06-05,15:30:00,267.45,267.90,263.70,264.55,3033579
COALINDIA,2017-06-06,15:30:00,265.00,265.30,262.00,262.40,1340588
COALINDIA,2017-06-07,15:30:00,263.00,265.00,262.50,264.15,1618299
COALINDIA,2017-06-08,15:30:00,264.60,264.75,262.10,262.30,1404808
COALINDIA,2017-06-09,15:30:00,264.00,264.50,261.00,261.20,1744203
COALINDIA,2017-06-12,15:30:00,261.95,262.50,260.10,260.30,1675846
COALINDIA,2017-06-13,15:30:00,260.00,260.40,258.50,259.10,1732288
COALINDIA,2017-06-14,15:30:00,259.50,259.75,256.10,256.85,1887257
COALINDIA,2017-06-15,15:30:00,256.80,256.95,253.00,254.50,3324587
COALINDIA,2017-06-16,15:30:00,254.90,257.20,253.95,255.05,3283821
COALINDIA,2017-06-19,15:30:00,256.25,256.95,251.50,254.10,2412135
COALINDIA,2017-06-20,15:30:00,254.45,255.00,253.00,253.85,1052345
COALINDIA,2017-06-21,15:30:00,253.70,253.75,250.10,250.50,3289233
COALINDIA,2017-06-22,15:30:00,250.50,251.65,245.20,245.40,3230390
COALINDIA,2017-06-23,15:30:00,245.70,247.80,243.10,245.20,3623117
COALINDIA,2017-06-27,15:30:00,245.10,246.60,244.00,244.35,2074212
COALINDIA,2017-06-28,15:30:00,246.00,247.20,244.55,246.00,3526585
COALINDIA,2017-06-29,15:30:00,246.80,247.80,244.60,245.05,2498353
COALINDIA,2017-06-30,15:30:00,244.70,245.90,243.50,244.50,2375289
COALINDIA,2017-07-03,15:30:00,245.35,249.50,242.60,249.00,2347837
COALINDIA,2017-07-04,15:30:00,250.50,250.50,246.20,247.00,1760337
COALINDIA,2017-07-05,15:30:00,248.80,249.00,246.25,247.30,1260907
COALINDIA,2017-07-06,15:30:00,247.50,252.80,247.10,251.50,2797532
COALINDIA,2017-07-07,15:30:00,250.05,252.95,250.05,250.55,1762982
COALINDIA,2017-07-10,15:30:00,255.00,259.35,251.50,258.30,719435
COALINDIA,2017-07-11,15:30:00,259.00,259.90,253.75,255.05,1813885
COALINDIA,2017-07-12,15:30:00,255.00,256.75,253.10,253.50,2640999
COALINDIA,2017-07-13,15:30:00,254.20,255.80,251.85,253.95,2303738
COALINDIA,2017-07-14,15:30:00,253.95,254.30,248.10,250.80,2907464
COALINDIA,2017-07-17,15:30:00,250.75,251.00,246.05,247.20,4445325
COALINDIA,2017-07-18,15:30:00,248.50,249.30,245.75,248.75,5338825
COALINDIA,2017-07-19,15:30:00,248.05,256.65,248.05,255.95,4270908
COALINDIA,2017-07-20,15:30:00,254.70,258.50,254.25,255.40,3923545
COALINDIA,2017-07-21,15:30:00,255.00,262.95,254.10,262.50,7715255
COALINDIA,2017-07-24,15:30:00,263.00,265.25,260.10,261.65,3359835
COALINDIA,2017-07-25,15:30:00,262.00,262.35,257.75,258.40,1812135
COALINDIA,2017-07-26,15:30:00,258.40,261.90,258.05,260.35,2199360
COALINDIA,2017-07-27,15:30:00,261.60,262.20,254.50,255.50,1950819
COALINDIA,2017-07-28,15:30:00,254.20,256.60,250.00,251.10,2641938
COALINDIA,2017-07-31,15:30:00,252.00,252.35,248.00,249.65,3580763
