symbol,date,time,open,high,low,close,volume
DRREDDY,2016-06-28,15:30:00,3240.00,3285.00,3235.15,3266.50,401840
DRREDDY,2016-06-29,15:30:00,3299.00,3321.95,3259.30,3274.00,424039
DRREDDY,2016-06-30,15:30:00,3328.20,3393.10,3316.00,3385.00,612595
DRREDDY,2016-07-01,15:30:00,3430.00,3505.75,3430.00,3482.10,549082
DRREDDY,2016-07-04,15:30:00,3555.60,3558.45,3418.30,3440.00,340516
DRREDDY,2016-07-05,15:30:00,3440.00,3480.05,3430.00,3446.50,316769
DRREDDY,2016-07-07,15:30:00,3469.90,3546.00,3468.00,3542.20,602096
DRREDDY,2016-07-08,15:30:00,3537.05,3572.00,3495.00,3562.15,214618
DRREDDY,2016-07-11,15:30:00,3582.00,3639.00,3573.60,3630.00,267863
DRREDDY,2016-07-12,15:30:00,3627.00,3631.90,3566.05,3600.00,281101
DRREDDY,2016-07-13,15:30:00,3605.00,3626.70,3555.00,3599.75,186326
DRREDDY,2016-07-14,15:30:00,3593.70,3602.15,3560.00,3577.65,217026
DRREDDY,2016-07-15,15:30:00,3581.00,3613.80,3563.75,3604.00,273690
DRREDDY,2016-07-18,15:30:00,3586.25,3610.00,3544.00,3560.95,227145
DRREDDY,2016-07-19,15:30:00,3567.00,3603.00,3563.05,3585.00,182944
DRREDDY,2016-07-20,15:30:00,3594.00,3689.85,3590.00,3663.95,302483
DRREDDY,2016-07-21,15:30:00,3664.00,3664.00,3595.40,3599.80,241834
DRREDDY,2016-07-22,15:30:00,3613.80,3641.70,3579.05,3587.90,317079
DRREDDY,2016-07-25,15:30:00,3570.00,3579.15,3465.00,3489.00,561154
DRREDDY,2016-07-26,15:30:00,3488.00,3517.95,3290.10,3304.75,1535245
DRREDDY,2016-07-27,15:30:00,3020.10,3069.40,2958.25,2964.00,4718843
DRREDDY,2016-07-28,15:30:00,2989.00,3018.80,2952.90,2962.95,1143813
DRREDDY,2016-07-29,15:30:00,2966.00,2977.00,2925.10,2930.00,689747
DRREDDY,2016-08-01,15:30:00,2953.00,3002.95,2948.10,2975.00,622422
DRREDDY,2016-08-02,15:30:00,2989.00,2999.00,2965.00,2978.00,409460
DRREDDY,2016-08-03,15:30:00,2974.50,2977.00,2930.00,2939.60,347593
DRREDDY,2016-08-04,15:30:00,2958.60,2981.80,2931.10,2964.05,300510
DRREDDY,2016-08-05,15:30:00,2982.45,3015.00,2970.75,3009.00,297666
DRREDDY,2016-08-08,15:30:00,3029.80,3044.75,3009.00,3035.85,403194
DRREDDY,2016-08-09,15:30:00,3040.00,3058.30,3021.05,3037.00,242010
DRREDDY,2016-08-10,15:30:00,3032.00,3032.00,2988.00,2998.00,249862
